field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes
field_schema_version,字段规范版本,基础标识,R1,enum,V0.2,填写字段规范版本,V0.2,用于区分字段规范版本和图谱数据版本
graph_version,图谱版本,基础标识,R1,string,,填写课程能力图谱数据版本,V2,图谱版本可与字段规范版本不同
node_id,节点ID,基础标识,R1,string,,必须稳定唯一且不可复用,P2T3-N05,遵守节点ID规则
node_name,节点后台名称,基础标识,R1,string,,使用专业但简洁的后台名称,判断移动性/邻区异常,后台字段不是学生端标题
node_layer,节点层级,层级与结构,R1,enum,basis;job_process;ability_unit;project_task;detail_capability;resource_activity;assessment,必须使用枚举,detail_capability,替代自然语言层级
node_status,节点状态,基础标识,R1,enum,draft;trial_split;baseline;review_ready;review_passed;revision_required;disabled;deprecated,标明节点当前生产状态,trial_split,不同于审核状态
sort_order,排序号,层级与结构,R2,integer,,同层级内排序,5,用于前端和图谱展示
parent_node_id,父节点ID,层级与结构,R2,string,,填写直属上级节点ID,AU-03,没有上级时填not_applicable
primary_job_process_id,主岗位工作过程ID,层级与结构,R1,enum,JP-01;JP-02;JP-03;JP-04;JP-05;JP-06;JP-07;not_applicable,填写唯一主挂接岗位过程,JP-07,V0.2替代V0.1的job_process_id主用途
secondary_job_process_ids,次级岗位工作过程ID,层级与结构,R2,string,JP-01;JP-02;JP-03;JP-04;JP-05;JP-06;JP-07;none;not_applicable,填写次级或承接岗位过程，多个值用英文分号分隔,JP-06,没有次级挂接时填none
primary_ability_unit_id,主能力单元ID,层级与结构,R1,enum,AU-01;AU-02;AU-03;AU-04;AU-05;AU-06;AU-07;AU-08;AU-09;AU-10;not_applicable,填写唯一主能力单元,AU-09,V0.2替代V0.1的ability_unit_id主用途
secondary_ability_unit_ids,次级能力单元ID,层级与结构,R2,string,AU-01;AU-02;AU-03;AU-04;AU-05;AU-06;AU-07;AU-08;AU-09;AU-10;none;not_applicable,填写次级、支撑或后续入口能力单元，多个值用英文分号分隔,AU-08;AU-10,没有次级挂接时填none
prerequisite_node_ids,前置节点ID,层级与结构,R1,string,,填写前置能力节点ID并用英文分号分隔,P2T3-N03;P2T3-N04,作为前端导航简表，准确关系以relation_records为准
next_node_ids,后续节点ID,层级与结构,R1,string,,填写后续能力节点ID并用英文分号分隔,P4T2-N04;P4T2-N07,作为前端导航简表，准确关系以relation_records为准
relation_types,关系类型摘要,层级与结构,R2,enum,aligns_to;requires;contains;supports;assesses;evidenced_by;remediates;extends;generated_from;needs_review;precedes;maps_to_task,填写本节点涉及的关系类型摘要,requires;precedes,仅作筛选摘要，不能替代relation_records
relation_records,结构化关系记录,层级与结构,R1,string,,按source>relation>target>note记录关系，多个记录用英文分号分隔,P2T3-N03>requires>P4T2-N03>指标读法支撑覆盖验证,V0.2新增，后续可拆为capability_relation表
