维度,P2-T3 5G网络测试数据分析,P4-T2 5G网络优化结果验证,P5-T3 5G全网性能提升验证,P6-T2 5G信令问题分析及优化,横向评审结论
任务角色,前置数据分析任务,单次优化结果验收任务,全网性能持续提升验证任务,复杂信令问题复盘任务,四任务构成从数据识读到复杂复盘的能力链条
主岗位过程,JP-03为主并进入JP-04,JP-06,JP-07,JP-07,JP-07需要区分AU-09持续提升和AU-10复杂复盘两个方向
主能力单元,AU-03为主并进入AU-05,AU-07为主并进入AU-08,AU-09,AU-10,AU-10已经由P6-T2完成首次任务级验证但仍需专业复核
节点数量,8,8,7,7,7到8个节点可覆盖核心综合任务；不应机械规定每个任务节点数相同
核心学生动作,整理测试数据；识读关键指标；判断覆盖和移动性异常；形成分析建议,判断优化前后是否改善；选择证据；写出验收结论并修正表达,确定验证口径；比较KPI变化；判断未闭环问题；形成全网性能提升验证报告,识别信令问题；串联流程证据；判断失败原因；提出优化建议；形成信令分析报告,学生动作从读懂材料逐步提升到依据证据作专业判断
评价产出,数据分析任务单；异常判断记录；整改建议；测试数据分析报告,覆盖/移动性/体验判断表；四段式验收结论；表达修正稿,KPI对比表；五类效果判断表；未闭环清单；全网性能提升验证报告,信令问题证据链；原因归类表；优化建议；信令问题分析报告,产出链条基本闭合但真实阈值和专业判断仍需专家复核
学习闭环位置,读数据和找异常,验收结果和修正表达,持续复测和未闭环入口,复杂复盘和优化建议,形成“数据分析 -> 结果验证 -> 持续提升 -> 复杂复盘”的主闭环
前序关系,作为后续P4/P5/P6的数据识读基础,依赖P2-T3的数据识读和异常判断,依赖P4-T2的验收结论并回看P2-T3指标识读,依赖P5-T3未闭环入口并需要P6-T1流程基础,跨任务关系已经可以支撑图谱而非目录式串联
后续关系,支撑P4-T2/P5-T3/P6-T2,支撑P5-T3和P6-T2部分证据判断,把未闭环问题导向AU-10/P6任务,反向修正P4/P5中的错误判断并形成复盘结论,P6-T2使AU-10从待验证变为有条件成立
资源形态,text_card；worksheet；table；chart；redrawn_image；report_template,text_card；table；chart；redrawn_image；interactive_animation；mini_game；worksheet；rubric,table；chart；simulation_case；redrawn_image；worksheet；report_template,text_card；simulation_case；redrawn_image；annotated_image；worksheet；table；report_template,资源类型覆盖文本表图练习报告模板但媒体资源仍是主要风险源
互动候选,matching；sorting；marking；drag_drop；adaptive_feedback,matching；marking；sorting；animation；mini_game；drag_drop；adaptive_feedback,matching；marking；sorting；drag_drop；adaptive_feedback,matching；sorting；marking；adaptive_feedback,互动不应追求形式数量；应服务于证据选择、流程排序、错误修正和报告生成
媒体治理风险,2个节点需重绘；整体中等风险,3个节点需重绘；3个高风险,4个节点需重绘；4个高风险,1个需标注；4个需重绘；6个高风险,越接近复杂专业截图风险越高；不能直接沿用原教材截图
专业复核风险,8个中等风险,5个中等风险；3个高风险,3个中等风险；4个高风险,1个中等风险；6个高风险,四任务仍处内部方法验证阶段；不能宣称专业审核通过
字段治理状态,V0.2；73字段；8行,V0.2；73字段；8行,V0.2；73字段；7行,V0.2；73字段；7行,四任务字段口径已统一；可进入V2图谱数据更新但不等于全书批量通过
课程能力图谱价值,验证前置数据链,验证单次验收链,验证持续提升链,验证复杂复盘链,V2按岗位工作过程组织的方向成立
当前判断,通过内部结构验证,通过内部结构验证并保留样章价值,AU-09有条件通过,AU-10有条件通过,综合结论为有条件通过；下一步应更新V2节点与映射表及图谱样本
