source_table,field_or_field_group,target_view,target_role,exposure_level,transform_rule,phase2_requirement
节点主数据,node_layer;parent_node_id,课程首页;项目视图;课程能力图谱,学生/教师/编辑,结构可见,"转为课程-项目-任务-能力节点层级，不直接显示字段名",用于生成项目四层级导航和任务入口
节点主数据,project_id;project_title;task_id;task_title,课程首页;项目视图;任务页,学生/教师/编辑,可见,"转为项目名称、任务名称、任务链位置",用于项目四P4-T1/P4-T2/P4-T3入口
节点主数据,primary_job_process_id;secondary_job_process_ids,课程能力图谱;项目视图,教师/编辑,半可见,"学生端转为工作过程语言，教师端可保留工作过程标签",用于说明项目四在优化实施链条中的位置
节点主数据,primary_ability_unit_id;secondary_ability_unit_ids,课程能力图谱;教师带教,教师/编辑,半可见,"学生端转为我正在练什么，教师端可显示能力单元",用于检查每个任务节点能力挂接完整性
节点主数据,student_title;student_learning_goal,任务页;资源卡,学生,可见,"转为学习段落标题和本步要学会什么",用于生成学生正文入口
节点主数据,student_action,任务页;学习活动,学生,可见,"转为学生要做的动作，避免写成后台动作",用于生成活动说明和操作步骤
节点主数据,student_output;assessment_output,任务页;学习单;评价区,学生/教师,可见,"转为提交物、完成标准和评价依据",用于生成学习单和评价产出
节点主数据,resource_card_ids;resource_type,资源中心;任务页资源区,学生/教师/编辑,可见,"转为资源卡、图表、动画、互动或媒体需求",用于建立资源清单和资源缺口
节点主数据,learning_activity_type,任务页;教师带教,学生/教师,可见,"转为阅读、标注、排序、判断、填写、复盘等学习活动",用于避免练习方式单一化
节点主数据,node_status;version_status;v03_maturity,出版编辑视图,编辑,后台可见,"只用于生产状态和版本治理，不进入学生端",用于阶段2门禁和版本说明
节点主数据,audit_status;review_required_type;risk_level,教师带教;出版编辑视图,教师/编辑,后台/教师提示,"学生端不显示原字段，必要时转为这部分还需教师确认",用于专业复核和风险提示
节点主数据,media_handling_status;professional_risk_type,资源中心;出版编辑视图,教师/编辑,后台/教师提示,"转为媒体需重绘、需标注、需替换、专业口径待复核",用于媒体治理清单
节点主数据,source_type;source_ref_id;source_files;notes,出版编辑视图,编辑,后台可见,"保留来源追溯，不进入学生主界面",用于内容溯源和审核
关系主数据,source_node_id;target_node_id;relation_type;relation_summary,课程能力图谱;项目视图,学生/教师/编辑,分层可见,"学生端只显示前后要学什么和为什么关联，教师/编辑端可看关系类型",用于项目四任务链和节点邻域
关系主数据,edge_scope;display_priority,课程能力图谱,教师/编辑,后台驱动,"决定默认显示核心关系还是总览关系",用于避免全量关系压到学生端
关系主数据,review_status,出版编辑视图,编辑,后台可见,"只显示给教师/编辑/专家",用于关系复核门禁
资源活动评价挂接,binding_type;binding_target_id;binding_target_title,资源中心;任务页;评价区,学生/教师/编辑,可见,"转为资源、活动、评价产出的清单和入口",用于生成P4项目资源包样本
资源活动评价挂接,student_action;student_output;assessment_output,任务页;学习单;教师带教,学生/教师,可见,"转为学生操作、提交物和教师验收点",用于三任务学习闭环
资源活动评价挂接,binding_status;audit_status;risk_level,资源中心;出版编辑视图,教师/编辑,后台/教师提示,"学生端不显示审核字段，必要时显示教师确认后使用",用于资源发布门禁
输入输出物治理,asset_name;asset_type;governance_role,path,出版编辑视图;资源中心,编辑,后台可见,"用于追踪输入材料、输出报告、样表和样章路径",用于阶段2产物治理
输入输出物治理,review_status;current_use;next_action,出版编辑视图,编辑,后台可见,"转为当前能否使用、下一步需做什么",用于阶段2治理收尾
