rank,task_id,task_title,project_id,task_type,ability_unit_focus,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P2-T1,任务1: DT/CQT测试准备和执行,P2,测试准备与执行类,AU-02 测试准备与测试执行,362,9,41,187,2,工具设备连接;现场测试执行;路线规划;数据采集记录;入场许可;学生实训安全,能检验V0.4是否能治理测试工具、设备连接、现场执行和测试数据采集类对象，并补齐P1信息采集到P2问题处理和数据分析之间的关键链路,测评信号过密，容易把能力节点拆成设备清单和操作步骤，必须控制颗粒度,推荐作为第四类普通任务增量验证对象,92
2,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,613,38,78,13,2,工程实施;天馈/无线/承载/核心网并行处理;变更记录;媒体重绘;专业责任边界,能检验V0.4对工程实施、参数变更、跨专业协同和优化动作边界的治理能力,专业与媒体风险高，原文图片多且分支复杂，直接作为第四类容易扩大治理负担,第二候选，建议在P2-T1后做专项验证,84
3,P3-T4,任务4：5G网络参数设置,P3,参数配置与变更记录类,AU-06 优化实施与变更记录;AU-04 网管、监控与参数信息管理,387,23,0,6,2,网管配置操作;邻区增删;参数变更;误操作风险;配置授权与回退记录,能检验V0.4是否能治理“检查”之外的参数配置和变更记录风险,与P3-T3同属参数链条，独立类型差异弱于P2-T1；专业复核和截图重绘压力较高,第三候选，暂不优先,81
4,P4-T3,任务3：5G网络优化报告输出,P4,报告输出与职业表达类,AU-08 优化报告与职业表达,308,3,17,16,6,报告结构;客户沟通表达;结论边界;发布口径;案例引用,能检验V0.4对学生正文、职业表达、报告模板和对外发布边界的治理能力,与P4-T2深样章距离较近，验证新风险不如P2-T1；更适合作为表达类专项验证,候选保留，暂不作为第四类首选,78
5,P1-T1,任务1：室内环境信息采集,P1,室内场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,481,37,74,5,0,室内场景信息;站点环境;图片/表格治理;采集记录,能补充P1-T3之外的室内信息采集对象，检验图片和环境表格治理,与P1-T3同属AU-01信息采集，类型差异不足；图片和表格较多,候选保留，暂缓,73
6,P1-T2,任务2：室外环境信息采集,P1,室外场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,378,37,4,6,0,室外场景信息;站点环境;采集路线;地图/图片治理,能补充室外场景采集对象，连接后续DT测试路线规划,与P1-T3同属AU-01，且案例信号弱；验证价值低于P2-T1,候选保留，暂缓,71
7,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,709,7,4,8,2,性能提升方案实施;优化动作边界;复测准备;专业策略风险,能检验V0.4对性能提升实施动作和复测闭环的治理能力,AU-09已有P5-T3验证，且该任务体量较大、专业策略复核要求高,候选保留，暂缓,70
8,P3-T2,任务2：5G网络运行监控,P3,运行监控与告警指标类,AU-04 网管、监控与参数信息管理,1125,27,343,4,2,监控表格;告警指标;大量表格治理;网管截图风险,能检验V0.4在大规模表格、监控指标和网管截图下是否稳定,原文体量和表格线索过大，不适合作为第四类轻量验证对象,暂缓，适合后续专项治理,68
9,P5-T1,任务1 5G全网性能指标采集,P5,全网指标采集类,AU-09 全网性能提升与复测,1224,15,0,14,2,全网KPI采集;数据源治理;指标口径;复测基线,能补齐P5-T3前置数据源和指标采集治理,体量过大且与P5-T3链路接近，第四类验证效率不高,暂缓,66
10,P3-T1,任务1：5G网管架构和功能,P3,网管架构与功能认知类,AU-04 网管、监控与参数信息管理,310,27,0,11,0,网管结构图;功能认知;工具界面;媒体治理,能检验架构图和网管功能类资源是否更适合作为资源层而非能力节点,更偏知识前置和资源卡，不适合优先验证普通任务增量,暂缓,63
11,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程基础类,AU-10 信令分析与复杂问题复盘,428,25,0,3,1,信令流程图;专业术语;流程标注;专家复核,能检验信令基础流程应作为能力节点还是资源前置,P6-T2已验证AU-10主任务；P6-T1专业门槛高且更偏前置知识,暂缓,61
12,P2-T3,任务3: 5G网络测试数据分析,P2,测试数据分析类,AU-03 测试问题处理与数据分析,316,16,0,54,2,测试指标;数据分析;问题归因;图表解释,已在V0.2/V2链路中作为代表任务试拆，能支撑P4-T2指标读法,已覆盖，不作为第四类普通任务候选,排除：已作为代表任务验证,0
13,P2-T2,任务2: 5G网络测试问题处理,P2,测试问题处理类,AU-03 测试问题处理与数据分析,125,1,21,72,2,问题处理;设备/软件/数据保存;现场协调,已作为普通任务增量验证并合并进入V0.3.1,已覆盖，不重复选择,排除：已验证,0
14,P3-T3,任务3：5G网络参数检查,P3,参数检查与配置管理类,AU-04 网管、监控与参数信息管理,967,39,79,6,2,参数检查;公式口径;网管截图;并列分支,已作为普通任务增量验证并合并进入V0.3.2,已覆盖，不重复选择,排除：已验证,0
15,P1-T3,任务3：投诉信息采集,P1,投诉信息采集与客户沟通类,AU-01 场景、站点与投诉信息采集,337,1,31,48,1,个人信息;客户沟通;服务承诺;投诉闭环,已作为普通任务增量验证并合并进入V0.3.3，且用于V0.4风险治理回填,已覆盖，不重复选择,排除：已验证,0
16,P4-T2,任务2：5G网络优化结果验证,P4,结果验证类,AU-07 优化结果验证,1252,63,28,12,3,深样章;学生正文;教师材料;媒体审查;平台门禁,已作为深样章和V0.4回填代表任务,不是第四类普通任务首选对象,排除：已深样章验证,0
17,P5-T3,任务3 5G全网性能提升验证,P5,性能提升验证类,AU-09 全网性能提升与复测,344,20,0,26,12,全网KPI对比;复测;未闭环指标;AU-10入口,已在V0.2/V2链路中试拆并用于AU-09验证,已覆盖代表链路，不作为第四类普通任务候选,排除：已代表性试拆,0
18,P6-T2,任务2 5G信令问题分析及优化,P6,信令问题分析与复杂复盘类,AU-10 信令分析与复杂问题复盘,308,15,0,5,1,信令分析;复杂问题复盘;专业专家复核,已在V0.2/V2链路中试拆并用于AU-10验证,已覆盖代表链路，不作为第四类普通任务候选,排除：已代表性试拆,0
