v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV0311-INC-P3T1-001,P3-T1,任务1：5G网管架构和功能,P3T1-N01,明确5G网管在网络优化中的作用,decomposes,任务拆分详细节点,P3-T1补拆进入明确5G网管在网络优化中的作用节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-002,P3-T1,任务1：5G网管架构和功能,P3T1-N02,识别5G网管架构层次与部署组成,decomposes,任务拆分详细节点,P3-T1补拆进入识别5G网管架构层次与部署组成节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-003,P3-T1,任务1：5G网管架构和功能,P3T1-N03,区分5G网管软硬件组成与部署边界,decomposes,任务拆分详细节点,P3-T1补拆进入区分5G网管软硬件组成与部署边界节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-004,P3-T1,任务1：5G网管架构和功能,P3T1-N04,识别5G网管功能组件与管理对象,decomposes,任务拆分详细节点,P3-T1补拆进入识别5G网管功能组件与管理对象节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-005,P3-T1,任务1：5G网管架构和功能,P3T1-N05,定位仿真实训系统中的典型任务入口,decomposes,任务拆分详细节点,P3-T1补拆进入定位仿真实训系统中的典型任务入口节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-006,P3-T1,任务1：5G网管架构和功能,P3T1-N06,建立功能入口与后续学习任务的映射,decomposes,任务拆分详细节点,P3-T1补拆进入建立功能入口与后续学习任务的映射节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-007,P3-T1,任务1：5G网管架构和功能,P3T1-N07,判断账号权限、数据范围与学习边界,decomposes,任务拆分详细节点,P3-T1补拆进入判断账号权限、数据范围与学习边界节点。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,1,candidate
EV0311-INC-P3T1-008,P3T1-N01,明确5G网管在网络优化中的作用,P3T1-N02,识别5G网管架构层次与部署组成,direct_progression,内部递进,明确5G网管在网络优化中的作用之后进入识别5G网管架构层次与部署组成。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,20,candidate
EV0311-INC-P3T1-009,P3T1-N02,识别5G网管架构层次与部署组成,P3T1-N03,区分5G网管软硬件组成与部署边界,direct_progression,内部递进,识别5G网管架构层次与部署组成之后进入区分5G网管软硬件组成与部署边界。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,21,candidate
EV0311-INC-P3T1-010,P3T1-N03,区分5G网管软硬件组成与部署边界,P3T1-N04,识别5G网管功能组件与管理对象,direct_progression,内部递进,区分5G网管软硬件组成与部署边界之后进入识别5G网管功能组件与管理对象。,P3-T1,P3-T1,v0311_increment,reports/P3-T1基于V0.3.11主数据补拆验证实施计划.md;reports/P3-T1基于V0.3.11主数据补拆验证报告.md,内部试拆,22,candidate
