binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV032A-INC-P1T3-001,P1T3-N01,完成投诉应答与处理边界判断,P1T3-C01,投诉类型与紧急程度判断卡,resource_card,P1,P1-T3,text_card;case_card;classification_table,case_intro;evidence_classification,阅读投诉描述，判断普通、紧急、升级、批量或重复投诉，并说明处理边界。,投诉受理与分类记录,投诉受理与分类记录,planned,pending_professional_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,投诉分类来自原文，但分类边界涉及运营商制度，需专业复核。
BV032A-INC-P1T3-002,P1T3-N01,完成投诉应答与处理边界判断,P1T3-C02,应答原则与升级边界卡,resource_card,P1,P1-T3,text_card;scenario_card;checklist,risk_checking;correction_revision,判断话术中是否存在推诿、越权承诺、未取得客户同意或未说明升级边界的问题。,投诉受理与分类记录,投诉受理与分类记录,planned,pending_editorial_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,重点治理服务表达和处理承诺，不把话术当作可直接背诵文本。
BV032A-INC-P1T3-003,P1T3-N01,完成投诉应答与处理边界判断,P1T3-W01,投诉受理分类单,assessment_output,P1,P1-T3,worksheet;rubric,evidence_classification;risk_checking,填写投诉来源、紧急程度、升级风险、首问责任和下一步记录要求。,投诉受理与分类记录,投诉受理与分类记录,planned,pending_professional_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,评价学生能否把投诉入口转化为可处理任务，而不是只背分类名称。
BV032A-INC-P1T3-004,P1T3-N02,核实投诉关键信息并填写信息单,P1T3-C03,投诉信息字段核对卡,resource_card,P1,P1-T3,text_card;checklist;worksheet,data_checking;risk_checking,从客户口述中提取时间、地点、业务类型、终端型号、号码、频率和影响范围。,用户投诉信息单,用户投诉信息单,planned,pending_editorial_review,high,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,把原文表格字段转为教学化字段核对，不直接裸用客户信息。
BV032A-INC-P1T3-005,P1T3-N02,核实投诉关键信息并填写信息单,P1T3-TBL01,用户投诉信息单教学化表格,resource_card,P1,P1-T3,table;worksheet;checklist,data_checking,按投诉人信息、投诉内容、受理记录和处理结果四类字段填写信息单。,用户投诉信息单,用户投诉信息单,planned,pending_editorial_review,high,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,需删除或脱敏真实姓名、地址、电话、工作单位、工单号等个人信息后才能用于正式样章。
BV032A-INC-P1T3-006,P1T3-N02,核实投诉关键信息并填写信息单,P1T3-PRIV01,个人信息脱敏与授权检查,resource_card,P1,P1-T3,checklist;risk_card,risk_checking,检查投诉信息单是否包含姓名、电话、地址、录音、工单号等敏感信息，并标注脱敏或授权要求。,用户投诉信息单,隐私与数据安全检查记录,planned,pending_editorial_review,high,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,这是P1-T3区别于纯技术任务的关键治理项，后续字段规范应考虑个人信息类型和授权状态字段。
BV032A-INC-P1T3-007,P1T3-N02,核实投诉关键信息并填写信息单,P1T3-W02,投诉信息记录单,assessment_output,P1,P1-T3,worksheet;rubric,data_checking;risk_checking,提交完整投诉信息记录，并说明哪些信息可进入后续测试分析，哪些信息需脱敏。,用户投诉信息单,用户投诉信息单,planned,pending_professional_review,high,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,评价重点是字段完整性、可分析性和隐私边界。
BV032A-INC-P1T3-008,P1T3-N03,现场核实投诉场景与业务现象,P1T3-C04,现场预约与上门核实流程卡,resource_card,P1,P1-T3,process_table;scenario_card;checklist,process_ordering;risk_checking,按预约、准备、身份说明、取得同意、现场核实、结果告知的顺序整理现场流程。,现场核实记录,现场核实记录,planned,pending_editorial_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,流程训练服务于现场核实，不等同于完整测试流程。
BV032A-INC-P1T3-009,P1T3-N03,现场核实投诉场景与业务现象,P1T3-C05,投诉现场业务现象观察表,resource_card,P1,P1-T3,table;checklist;worksheet,data_checking;case_analysis,观察并记录语音、视频、网页、覆盖环境、室分、阻挡和干扰等现场现象。,现场核实记录,现场核实记录,planned,pending_professional_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,现象记录不能直接等同于根因结论，需连接P2/P3/P4后续任务。
BV032A-INC-P1T3-010,P1T3-N03,现场核实投诉场景与业务现象,P1T3-W03,现场核实记录,assessment_output,P1,P1-T3,worksheet;rubric,data_checking;risk_checking,提交现场核实记录，说明投诉是否复现、业务现象是什么、还需要补充哪些测试。,现场核实记录,现场核实记录,planned,pending_professional_review,medium,reports/P1-T3详细能力节点主数据增量样表V0.3.2A.csv,评价学生是否能把客户感知转成可验证的现场记录。
