v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV03A-INC-P2T2-001,P2-T2,任务2：5G网络测试问题处理,P2T2-N01,判断测试异常现象与影响范围,decomposes,任务拆分详细节点,P2-T2补拆进入测试异常现象判断节点。,P2-T2,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,1,current
EV03A-INC-P2T2-002,P2-T1,任务1：DT/CQT测试准备和执行,P2T2-N01,判断测试异常现象与影响范围,precedes,直接递进,测试执行中出现异常后进入异常现象判断。,P2-T1,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,待专业复核,2,current
EV03A-INC-P2T2-003,P2T2-N01,判断测试异常现象与影响范围,P2T2-N02,按排查路径处理设备、软件与数据问题,precedes,直接递进,先确认异常现象和影响范围，再选择设备、软件或数据排查路径。,P2-T2,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,1,current
EV03A-INC-P2T2-004,P2T2-N02,按排查路径处理设备、软件与数据问题,P2T2-N03,完成现场协调与责任升级,precedes,直接递进,排查后仍需外部支撑或现场许可时进入协调升级。,P2-T2,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,1,current
EV03A-INC-P2T2-005,P2T2-N02,按排查路径处理设备、软件与数据问题,P2T2-N04,形成问题处理闭环记录与预案,precedes,直接递进,排查结果进入闭环记录和预案。,P2-T2,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,1,current
EV03A-INC-P2T2-006,P2T2-N03,完成现场协调与责任升级,P2T2-N04,形成问题处理闭环记录与预案,precedes,直接递进,协调结果进入闭环记录和预案。,P2-T2,P2-T2,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,1,current
EV03A-INC-P2T2-007,P2T2-N04,形成问题处理闭环记录与预案,P2T3-N01,明确分析任务与数据来源,supports,支撑判断,问题处理记录可作为后续数据分析任务来源和问题背景。,P2-T2,P2-T3,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,待专业复核,2,current
EV03A-INC-P2T2-008,P2T2-N02,按排查路径处理设备、软件与数据问题,P2T3-N02,完成LOG导入与报告导出,supports,支撑判断,数据保存和采集完整性检查支撑后续LOG导入与报告导出。,P2-T2,P2-T3,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,待专业复核,2,current
EV03A-INC-P2T2-009,P2T2-N01,判断测试异常现象与影响范围,AU-03,测试问题处理与数据分析,maps_to_ability,能力挂接,异常现象判断主挂AU-03，用于能力单元统计和资源组织。,P2-T2,,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,5,current
EV03A-INC-P2T2-010,P2T2-N02,按排查路径处理设备、软件与数据问题,AU-03,测试问题处理与数据分析,maps_to_ability,能力挂接,设备、软件和数据排查主挂AU-03，支撑后续数据分析。,P2-T2,,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,内部试拆,5,current
EV03A-INC-P2T2-011,P2T2-N03,完成现场协调与责任升级,AU-05,网络问题定位与方案制定,maps_to_ability,能力挂接,协调升级主挂AU-05，体现问题定位后的现场处理与闭环能力。,P2-T2,,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,待专业复核,5,current
EV03A-INC-P2T2-012,P2T2-N04,形成问题处理闭环记录与预案,AU-05,网络问题定位与方案制定,maps_to_ability,能力挂接,问题闭环记录主挂AU-05，用于评价问题闭环和预案形成能力。,P2-T2,,v03a_increment,reports/P2-T2增量补拆内部评审报告.md,待专业复核,5,current
