rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程识读与协议证据基础类,AU-10 信令分析与复杂问题复盘,task_skeleton_only,未详细拆分；P6-T2已验证复杂信令问题复盘但P6-T1基础信令流程尚未展开,信令流程、协议步骤、消息含义、异常入口、流程图重绘和低门槛解释尚未形成详细学习节点,428,25,0,3,1,信令流程图;协议消息;术语解释;媒体重绘;流程到问题映射;低门槛正文,能检验课程能力图谱是否能处理高专业门槛流程类知识，并为P6-T2复杂问题复盘提供前置基础,专业术语密度高；如果处理不好会变成协议名词堆叠或流程图展示，不容易转化为学生可学正文,推荐作为第九类普通任务增量验证对象；先出实施计划，不直接补拆,89
2,P5-T1,任务1 5G全网性能指标采集,P5,全网性能指标采集与口径确认类,AU-09 全网性能提升与复测,task_skeleton_only,未详细拆分；P5-T3已验证性能提升结果验证但P5-T1指标采集入口尚未展开,全网指标采集、统计口径、数据来源、采集周期、数据可信度和采集记录尚未详细验证,1224,15,0,14,2,全网指标;采集口径;数据来源;统计周期;指标解释;数据可信度;采集记录,能补齐P5-T3验证之前的数据入口，检验指标采集口径如何转化为资源、活动、评价和后续复测依据,体量大且专业口径强；容易把图谱做成指标清单或报表字段表，需先处理P6基础流程类验证价值,第二候选；适合在P6-T1后补齐P5项目入口,84
3,P3-T1,任务1：5G网管架构和功能,P3,网管架构认知与功能入口类,AU-04 网管、监控与参数信息管理,task_skeleton_only,未详细拆分；项目三复评确认它仍是P3项目剩余骨架但P3-T2、P3-T3、P3-T4主链已基本成立,网管架构、功能模块、账号权限入口、系统边界、厂家差异和低门槛认知尚未形成详细节点,310,27,0,11,0,网管架构;系统功能;账号边界;厂家差异;截图重绘;认知入口,能为P3-T2运行监控和P3-T4参数设置提供基础认知入口，减少学生直接面对网管界面的理解负担,偏基础认知，不直接扩展新项目链条；继续停留项目三会降低跨项目验证覆盖面,第三候选；适合后续作为P3项目入口补齐，不作为第九类首选,80
4,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施与过程记录类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,task_skeleton_only,未详细拆分；P4-T1已验证优化实施，P5-T3已验证提升结果，但P5-T2过程实施尚未展开,全网性能提升动作、过程记录、适用边界、多指标协同和复测交接尚未详细验证,709,7,4,8,2,提升实施;过程记录;适用边界;多指标协同;跨区域影响;复测交接,能连接P5-T1指标采集和P5-T3提升验证，形成P5项目内部链条,与P4-T1实施类主题重复度较高；若先于P5-T1会缺少指标采集入口,第四候选；待P5-T1后再考虑,78
5,P1-T1,任务1：室内环境信息采集,P1,室内场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集但室内环境和楼宇场景采集尚未展开,室内环境、楼宇结构、室分覆盖、现场照片、采集记录和位置隐私边界尚未详细验证,481,37,74,5,0,室内场景信息;站点环境;楼宇结构;图片治理;采集记录;隐私与位置边界,能补充P1-T3之外的室内场景采集对象，检验图片、位置、楼宇环境和采集记录治理,与P1-T3同属信息采集类；图片和位置边界治理负担较高，新增类型价值低于P6-T1和P5-T1,第五候选；建议后续与P1-T2合并规划,73
6,P1-T2,任务2：室外环境信息采集,P1,室外场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集但室外环境采集尚未展开,室外环境、站点周边、道路场景、位置边界、采集照片和现场记录尚未详细验证,378,37,4,6,0,室外场景;站点周边;道路信息;图片治理;位置边界;现场记录,能补充室外场景采集对象，检验现场信息采集和位置数据治理,与P1-T1高度相关；单独验证价值有限，适合与P1-T1形成场景采集专题,第六候选；建议与P1-T1合并规划,71
7,P3-T4,任务4：5G网络参数设置,P3,参数配置、授权变更与回退记录类,AU-04 网管、监控与参数信息管理;AU-06 优化实施与变更记录,detailed_nodes_merged_v038,已完成第八类普通任务增量验证并纳入V0.3.8当前推荐主数据,仍需专业复核、媒体审查、工程授权边界、学生正文和教学验证，但不再是新增验证首选,387,23,0,6,2,网管配置操作;邻区增删;参数变更;授权审批;误操作风险;回退记录;截图重绘;复测交接,已补齐项目三从运行监控到参数检查再到参数设置的闭环，并验证参数设置与变更证据可接入主数据,当前剩余问题属于外部门禁和后续正文生产，不宜重复作为第九类增量对象,已覆盖；不作为第九类普通任务首选,68
8,P3-T2,任务2：5G网络运行监控,P3,运行监控、告警筛选与指标看板类,AU-04 网管、监控与参数信息管理,detailed_nodes_merged_v037,已完成第七类普通任务增量验证并纳入V0.3.7和V0.3.8,仍需专业复核、媒体审查、数据安全和学生正文，但不再是新增验证首选,1125,27,343,4,2,网管监控;告警筛选;指标看板;大表治理;软件截图重绘;数据结构;学习记录回收,已验证大规模监控表、指标看板、告警证据与运行态数据如何进入主数据,已覆盖；重复验证会让项目三过度展开,已覆盖；作为P6-T1和后续任务的对照依据,64
9,P4-T3,任务3：5G网络优化报告输出,P4,报告输出与职业表达类,AU-08 优化报告与职业表达,detailed_nodes_merged_v036,已完成第六类普通任务增量验证并纳入V0.3.6至V0.3.8,报告证据链和职业表达仍需正文生产和专业复核，但结构验证已完成,308,3,17,16,6,报告结构;跨任务证据链;结论边界;职业表达;发布口径,已验证实施记录和验证结论如何组织为可评价报告产出,已覆盖；不应重复选择报告输出类任务,已覆盖，不作为第九类普通任务首选,62
10,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,detailed_nodes_merged_v035,已完成第五类普通任务增量验证并纳入V0.3.5至V0.3.8,工程实施记录、参数变更责任和媒体重绘仍需外部门禁，但结构验证已完成,613,38,78,13,2,优化实施;工程授权;变更记录;责任边界;媒体重绘,已验证优化实施和工程变更记录类任务可进入主数据,已覆盖；与P5-T2实施类存在主题重叠,已覆盖，不作为第九类普通任务首选,60
