binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV0312-INC-P1G-001,P1T1-N01,明确室内信息采集任务与用途,P1T1N01-C01,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,阅读室内采集情境，说明采集对象和后续使用场景。,室内采集任务说明卡,室内采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-002,P1T1-N01,明确室内信息采集任务与用途,P1T1N01-W01,室内采集任务说明卡,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,阅读室内采集情境，说明采集对象和后续使用场景。,室内采集任务说明卡,室内采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-003,P1T1-N01,明确室内信息采集任务与用途,P1T1N01-ACT01,室内明确室内信息采集任务与用途学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,阅读室内采集情境，说明采集对象和后续使用场景。,室内采集任务说明卡,室内采集任务说明卡,planned,pending_professional_media_data_review,medium,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-004,P1T1-N02,识别室内采集对象和字段类别,P1T1N02-C02,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,对照室内信息采集表，完成字段分类和用途说明。,室内采集字段分类表,室内采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-005,P1T1-N02,识别室内采集对象和字段类别,P1T1N02-W02,室内采集字段分类表,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,对照室内信息采集表，完成字段分类和用途说明。,室内采集字段分类表,室内采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-006,P1T1-N02,识别室内采集对象和字段类别,P1T1N02-ACT02,室内识别室内采集对象和字段类别学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,对照室内信息采集表，完成字段分类和用途说明。,室内采集字段分类表,室内采集字段分类表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-007,P1T1-N03,选择并使用室内采集工具,P1T1N03-C03,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,识别采集工具用途，完成工具选择和使用注意事项判断。,室内采集工具选择单,室内采集工具选择单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-008,P1T1-N03,选择并使用室内采集工具,P1T1N03-W03,室内采集工具选择单,worksheet,P1,P1-T1,worksheet,data_recording;quality_check,识别采集工具用途，完成工具选择和使用注意事项判断。,室内采集工具选择单,室内采集工具选择单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-009,P1T1-N03,选择并使用室内采集工具,P1T1N03-ACT03,室内选择并使用室内采集工具学习活动,learning_activity,P1,P1-T1,interactive_table,classification;boundary_checking,识别采集工具用途，完成工具选择和使用注意事项判断。,室内采集工具选择单,室内采集工具选择单,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
BV0312-INC-P1G-010,P1T1-N04,完成室内设备与配套信息采集记录,P1T1N04-C04,室内采集任务情境卡,resource_card,P1,P1-T1,task_card,case_intro;task_definition,在教学模拟材料中完成室内信息采集记录。,室内信息采集记录表,室内信息采集记录表,planned,pending_professional_media_data_review,high,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,计划资源或活动，尚未生产正式资源；需专业复核、媒体治理、数据安全审查、学生正文审查和平台验证。
