asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V0312-INC-P1G-001,P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划,governance_plan,output,明确P1-T1/P1-T2成组补拆边界、候选节点、关系预案和门禁,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,已接续生成补拆验证报告和增量样表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md
A-V0312-INC-P1G-002,P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告,governance_report,output,说明P1-T1/P1-T2为什么成组拆、拆成哪些节点、如何接入V0.3.12和V0.4风险治理,P1-T1;P1-T2;P1T1-N01-P1T1-N06;P1T2-N01-P1T2-N06,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验和内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md
A-V0312-INC-P1G-003,P1-T1详细能力节点主数据增量样表V0.3.12,csv_output,output,记录P1-T1本轮6个详细能力节点候选,P1T1-N01-P1T1-N06,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1详细能力节点主数据增量样表V0.3.12.csv
A-V0312-INC-P1G-004,P1-T2详细能力节点主数据增量样表V0.3.12,csv_output,output,记录P1-T2本轮6个详细能力节点候选,P1T2-N01-P1T2-N06,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T2详细能力节点主数据增量样表V0.3.12.csv
A-V0312-INC-P1G-005,P1-T1_P1-T2关系增量样表V0.3.12,csv_output,output,记录成组关系增量,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2关系增量样表V0.3.12.csv
A-V0312-INC-P1G-006,P1-T1_P1-T2资源活动评价挂接增量样表V0.3.12,csv_output,output,记录成组资源、学习活动和评价产出挂接,P1T1-N01-P1T1-N06;P1T2-N01-P1T2-N06,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2资源活动评价挂接增量样表V0.3.12.csv
A-V0312-INC-P1G-007,P1-T1_P1-T2输入输出物治理增量记录V0.3.12,csv_output,output,记录成组输入材料和输出资产治理状态,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2输入输出物治理增量记录V0.3.12.csv
A-V0312-INC-P1G-008,P1-T1_P1-T2风险治理扩展增量样表V0.4,csv_output,output,记录成组节点和关键资源活动的V0.4风险治理,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,待结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2风险治理扩展增量样表V0.4.csv
A-V0312-INC-P1G-009,P1-T1_P1-T2增量结构校验记录V0.3.12,validation_record,output,记录成组增量结构校验,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,作为内部评审前置依据,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2增量结构校验记录V0.3.12.md
A-V0312-INC-P1G-010,P1-T1_P1-T2增量补拆内部评审报告V0.3.12,internal_review,output,评价成组补拆是否有条件通过结构评审,P1-T1;P1-T2,internal_trial,作为P1-T1/P1-T2成组受控补拆过程资产,用于判断是否短复核或修订,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P1-T1_P1-T2增量补拆内部评审报告V0.3.12.md
A-V0312-INC-P1G-011,P1-T1原文,source_text,source,P1-T1原文输入，含室内采集对象、工具、仿真入口和采集表,P1-T1,source_review_pending,作为P1-T1/P1-T2成组受控补拆过程资产,作为输入依据，不直接作为学生端定稿,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md lines 400-880
A-V0312-INC-P1G-012,P1-T2原文,source_text,source,P1-T2原文输入，含室外塔型、天馈、环境、工具、仿真入口和采集表,P1-T2,source_review_pending,作为P1-T1/P1-T2成组受控补拆过程资产,作为输入依据，不直接作为学生端定稿,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md lines 881-1220
A-V0312-INC-P1G-013,P1-T1媒体image3-image39,media_source,source,室内采集相关设备、工具、仿真截图和表格媒体,P1-T1,source_review_pending,作为P1-T1/P1-T2成组受控补拆过程资产,进入媒体审查、教学化重绘或替换,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image3.png-assets/media/image39.png
A-V0312-INC-P1G-014,P1-T2媒体image40-image93,media_source,source,室外塔型、天馈、工具、仿真截图和室外采集媒体,P1-T2,source_review_pending,作为P1-T1/P1-T2成组受控补拆过程资产,进入媒体审查、教学化重绘或替换,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image40.emf-assets/media/image93.png
