rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P3-T4,任务4：5G网络参数设置,P3,参数配置、授权变更与回退记录类,AU-04 网管、监控与参数信息管理;AU-06 优化实施与变更记录,task_skeleton_only,未详细拆分；项目三链条评审确认其为当前主要缺口；P3-T2和P3-T3已能输入异常线索但P3-T4尚不能承接参数设置动作,参数设置、配置授权、变更依据、执行记录、误操作风险、回退记录和复测衔接尚未形成详细节点,387,23,0,6,2,网管配置操作;邻区增删;参数变更;授权审批;误操作风险;回退记录;截图重绘;复测交接,能补齐项目三从运行监控到参数检查再到参数设置的闭环，并检验参数设置与变更证据能否稳定接入P4优化实施和后续复测链条,与P3-T3参数检查和P4-T1优化实施相邻度高；必须限定为参数设置与变更证据，避免泛化为工程实施清单,推荐作为第八类普通任务增量验证对象；先出实施计划，不直接补拆,91
2,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程识读与协议证据基础类,AU-10 信令分析与复杂问题复盘,task_skeleton_only,未详细拆分；P6-T2已验证复杂问题复盘，但P6-T1基础信令流程尚未展开,信令流程、协议步骤、消息含义、异常入口和低门槛解释尚未形成详细学习节点,428,25,0,3,1,信令流程图;协议消息;术语解释;媒体重绘;低门槛正文;流程到问题映射,能检验课程能力图谱是否能处理高专业门槛流程类知识，并为P6-T2复杂问题复盘提供前置基础,当前项目三链条缺口更急；若优先处理P6-T1，工作会转向概念和流程可视化专项,第二候选；适合在项目三参数设置链条稳定后作为信令基础专项,82
3,P5-T1,任务1 5G全网性能指标采集,P5,全网性能指标采集与口径确认类,AU-09 全网性能提升与复测,task_skeleton_only,未详细拆分；P5-T3已验证性能提升结果验证，但P5-T1指标采集入口尚未展开,全网指标采集、统计口径、数据来源、采集周期和数据可信度尚未详细验证,1224,15,0,14,2,全网指标;采集口径;数据来源;统计周期;指标解释;数据可信度;采集记录,能补齐P5-T3验证之前的数据入口，检验指标采集口径如何转化为资源、活动、评价和后续复测依据,体量大且专业口径强；当前先补项目三闭环更有助于稳定跨项目关系,第三候选；适合在P3-T4后补齐P5项目入口,80
4,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施与过程记录类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,task_skeleton_only,未详细拆分；P4-T1已验证优化实施，P5-T3已验证提升结果，但P5-T2过程实施尚未展开,全网性能提升动作、过程记录、适用边界、多指标协同和复测交接尚未详细验证,709,7,4,8,2,提升实施;过程记录;适用边界;多指标协同;跨区域影响;复测交接,能连接P5-T1指标采集和P5-T3提升验证，形成P5项目内部链条,与P4-T1实施类主题重复度较高；不宜在P3-T4之前继续选择实施类任务,第四候选；待P3-T4和P5-T1后再考虑,78
5,P3-T1,任务1：5G网管架构和功能,P3,网管架构认知与功能入口类,AU-04 网管、监控与参数信息管理,task_skeleton_only,未详细拆分；项目三评审确认它是P3-T2入口基础，但优先级低于P3-T4,网管架构、功能模块、账号权限入口、系统边界和厂家差异尚未形成低门槛学习节点,310,27,0,11,0,网管架构;系统功能;账号边界;厂家差异;截图重绘;认知入口,能为P3-T2运行监控和P3-T4参数设置提供基础认知入口，减少学生直接面对网管界面的理解负担,偏基础认知，不直接补齐项目三操作闭环；若先做它，结构验证价值低于P3-T4,第五候选；可在P3-T4实施计划中作为必要前置边界处理，不单独优先,74
6,P1-T1,任务1：室内环境信息采集,P1,室内场景信息采集与现场记录类,AU-01 场景需求识别与信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集和客户沟通，但室内现场采集尚未展开,室内环境勘查、点位记录、障碍物判断、楼宇场景和现场记录治理尚未详细验证,481,37,74,5,0,室内环境;点位记录;建筑遮挡;现场照片;隐私边界;媒体重绘,能补齐P1项目现场信息采集入口，检验照片、平面环境和现场记录类资源如何治理,与当前项目三闭环关系较远；图片多且可能涉及真实场景隐私和媒体重绘,第六候选；适合后续与P1-T2合并规划,72
7,P1-T2,任务2：室外环境信息采集,P1,室外场景信息采集与路线记录类,AU-01 场景需求识别与信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集和客户沟通，但室外环境采集尚未展开,室外站点环境、路线记录、周边遮挡、覆盖场景和采集证据尚未详细验证,378,37,4,6,0,室外环境;站点周边;路线记录;现场照片;地图截图;隐私边界,能补齐P1项目室外现场采集能力，与P1-T1共同形成场景识别和信息采集基础,与P1-T1高度相关，单独优先价值不高；图片治理和地图截图合规风险需要专项处理,第七候选；建议与P1-T1作为同一现场采集专题规划,70
8,P3-T2,任务2：5G网络运行监控,P3,运行监控、告警筛选与指标看板类,AU-04 网管、监控与参数信息管理,detailed_nodes_merged_v037,已作为第七类普通任务增量验证对象并合并V0.3.7；项目三链条评审已接续,已覆盖，不作为第八类普通任务首选,1125,27,343,4,2,已覆盖;运行监控;告警筛选;指标看板;大表治理,已验证运行监控、告警、指标、日志和分流入口类任务的主数据承接能力,仍需专业复核、媒体审查和教材正文重构，但不再作为新增任务类型首选,已覆盖；作为P3-T4补拆的重要前置证据,66
9,P4-T3,任务3：5G网络优化报告输出,P4,报告输出与职业表达类,AU-08 优化报告与职业表达,detailed_nodes_merged_v036,已作为第六类普通任务增量验证对象并合并V0.3.6,已覆盖，不作为第八类普通任务首选,308,3,17,16,6,已覆盖;报告输出;职业表达;证据链,已验证报告输出、证据组织和职业表达类任务的主数据承接能力,仍需报告模板、典型答案和平台交付审查，但不影响本轮候选排除,已覆盖，不作为第八类普通任务首选,62
10,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,detailed_nodes_merged_v035,已作为第五类普通任务增量验证对象并合并V0.3.5；项目四链条V0.3.6已通过条件评审,已覆盖，不作为第八类普通任务首选,613,38,78,13,2,已覆盖;工程实施;变更记录;复测交接,已验证优化实施、责任边界、变更记录和复测交接类任务,与P3-T4有相邻关系，但P4-T1不是本轮新增对象,已覆盖，不作为第八类普通任务首选,60
