asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V03-001,5G网络优化教材（高级).docx,input_textbook,input,原始输入教材,COURSE-5G-NETOPT,source_received,作为结构抽取和试拆来源,继续做章节、任务、媒体和内容质量诊断,/Users/ny/Downloads/5G网络优化教材（高级).docx
A-V03-002,extracted/textbook.md,extracted_text,input_derivative,整本教材文本母本,COURSE-5G-NETOPT,extracted,支撑任务清单、节点拆分和内容补强,后续需做段落级引用ID治理,extracted/textbook.md
A-V03-003,reports/task_inventory.csv,structure_data,input_derivative,18个任务骨架来源,P1-P6;P1-T1-P6-T2,parsed,支撑全书骨架图谱,后续与V0.3节点主表保持同步,reports/task_inventory.csv
A-V03-004,assets/media/,media_pool,input_derivative,原教材媒体池,media_asset nodes,pending_media_review,仅作为待审媒体，不默认发布,逐项审查、重绘、替换或禁用,assets/media/
A-V03-005,P2/P4/P5/P6 V0.2字段表,graph_master_source,output,四任务详细节点主来源,30 detail_capability nodes,pending_professional_review,支撑V0.3详细节点主数据,后续扩展更多任务前先复用字段规范,reports/P2-T3详细能力节点字段表V0.2.csv;reports/P4-T2详细能力节点字段表V0.2.csv;reports/P5-T3详细能力节点字段表V0.2.csv;reports/P6-T2详细能力节点字段表V0.2.csv
A-V03-006,课程能力图谱V2关系边表.csv,graph_relation_source,output,关系主表来源,EV03 edges,pending_professional_review,支撑节点邻域和关系评审,后续关系边应从字段表或平台事件自动生成,reports/课程能力图谱V2关系边表.csv
A-V03-007,task_workbench_3_5a1_two_period_sample,direct_presentation_sample,output,P4-T2纵向深样章,P4-T2;P4T2-N01-P4T2-N08,review_ready_pending_external,作为直接呈现样本嵌入整体原型,等待一线试看和专业复核,samples/task_workbench_3_5a1_two_period_sample/
A-V03-008,digital_textbook_overall_prototype overall-0.2,overall_prototype,output,整书级整体原型,COURSE-5G-NETOPT;CG;P;T;four-task layer,qa_passed_pending_human_review,验证课程、项目、图谱、教师、资源、出版流转,人工评审图谱页和整体流转,samples/digital_textbook_overall_prototype/
A-V03-009,course_capability_graph_v2_relation_review,graph_review_tool,output,关系可视化评审工具,30 detail nodes;182 relation edges,qa_passed_internal_review,独立评审节点关系，不直接作为学生端主界面,保留为专家/教师/编辑评审工具,samples/course_capability_graph_v2_relation_review/
A-V03-010,课程能力图谱主数据治理方案.md,governance_design,output,V0.3治理说明,all V0.3 tables,current,解释输入治理、输出治理和图谱主数据门禁,后续作为批量生产前置门禁,reports/课程能力图谱主数据治理方案.md
A-V03A-INC-P2T2-001,P2-T2增量补拆内部评审报告,governance_report,output,评审旧版P2-T2六节点过碎问题并提出V0.3A四节点修订版,P2-T2,internal_review,作为P2-T2增量修订依据,人工确认是否采用V0.3A作为当前推荐表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P2-T2增量补拆内部评审报告.md
