rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,task_only,未详细拆分,AU-06优化实施与变更记录尚未形成稳定详细能力节点;跨专业优化动作和工程变更链条尚未验证,613,38,78,13,2,工程实施;参数变更;跨专业协同;变更记录;媒体重绘;专业责任边界;方案适用范围,能检验V0.3.4主数据能否承接真正的优化实施和工程变更类任务；区别于已验证的数据采集、问题处理、参数检查、结果验证和信令复盘,专业分支复杂且图片多；容易把优化方案拆成天馈、无线、承载、核心网操作清单；必须控制为职业任务节点,推荐作为第五类普通任务增量验证对象,90
2,P3-T4,任务4：5G网络参数设置,P3,参数配置与变更记录类,AU-06 优化实施与变更记录;AU-04 网管、监控与参数信息管理,task_only,未详细拆分,参数设置和变更回退尚未验证；P3-T3只验证参数检查，不等于验证参数配置,387,23,0,6,2,网管配置操作;邻区增删;参数变更;误操作风险;配置授权;回退记录;截图重绘,能检验从参数检查到参数设置的动作转换，验证变更授权、配置回退和误操作风险能否进入风险治理层,与P3-T3同属参数链条，类型差异弱于P4-T1；若先做它，容易把第五类验证收窄为参数专项,第二候选；若P4-T1风险过大可退而选择,84
3,P4-T3,任务3：5G网络优化报告输出,P4,报告输出与职业表达类,AU-08 优化报告与职业表达,task_only,未详细拆分,AU-08仍只有P4-T2局部支撑和P1-T3沟通闭环支撑，完整优化报告输出任务尚未验证,308,3,17,16,6,报告结构;职业表达;客户沟通;结论边界;发布口径;案例引用;模板治理,能检验成果交付、职业表达和对外发布边界，适合后续把学生正文、报告模板和评价量规接入主数据,与P4-T2深样章距离近，独立新任务类型价值不如P4-T1；容易变成报告格式清单,第三候选；建议在工程实施类验证后做表达类专项,79
4,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,task_only,未详细拆分,AU-09已有P5-T3验证但实施环节不足；AU-06仍未通过实施任务验证,709,7,4,8,2,全网策略实施;性能提升动作;跨区域影响;复测闭环;策略适用边界,能连接P5-T3性能提升验证，检验“实施动作 -> 复测验证 -> 未闭环回流”的全网性能提升闭环,与P5-T3关系较近，且全网策略专业口径强；不宜在P4-T1之前优先,候选保留，适合作为AU-09实施链补充,76
5,P3-T2,任务2：5G网络运行监控,P3,运行监控与告警指标类,AU-04 网管、监控与参数信息管理,task_only,未详细拆分,运行监控、告警筛选和指标监测类任务尚未被主数据验证,1125,27,343,0,2,网管监控;告警筛选;指标看板;大表治理;媒体截图;平台化数据结构,能检验监控告警类任务和大量表格数据如何进入图谱主数据，对后续平台数据回收和学习记录有价值,原文体量和表格信号过大，容易把图谱变成指标表和告警列表；作为第五类会拉大工作量,候选保留，建议后续专项治理,72
6,P1-T1,任务1：室内环境信息采集,P1,室内场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_only,未详细拆分,AU-01已有P1-T3投诉信息采集；室内环境采集对象尚未验证,481,37,74,5,0,室内场景信息;站点环境;楼宇结构;图片治理;采集记录;隐私与位置边界,能补充P1-T3之外的室内场景采集对象，检验图片、楼宇位置和环境表格治理,与P1-T3同属信息采集类，新类型价值不如P4-T1；图片和场景资料治理负担较高,候选保留，暂不作为第五类首选,70
7,P1-T2,任务2：室外环境信息采集,P1,室外场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_only,未详细拆分,AU-01已有P1-T3投诉信息采集；室外站点和道路环境采集尚未验证,389,15,42,5,0,室外站点环境;道路环境;位置数据;照片脱敏;现场采集安全,能补充室外场景与站点信息采集，和P2-T1位置数据风险形成呼应,仍属AU-01信息采集，类型差异不足；位置数据和图片脱敏需细化字段,候选保留，暂缓,68
8,P5-T1,任务1 5G全网性能指标采集,P5,全网指标采集类,AU-09 全网性能提升与复测,task_only,未详细拆分,全网性能指标采集作为P5-T3前置数据源尚未详细拆分,1224,15,0,8,2,全网指标采集;数据口径;KPI来源;平台数据;指标脱敏;趋势基线,能补齐P5-T3验证前置的数据源和指标采集链，检验全网KPI来源治理,内容体量大且与P5-T3链路接近；容易重复性能验证而非暴露新任务类型,候选保留，暂缓,66
9,P3-T1,任务1：5G网管架构和功能,P3,网管架构与功能认知类,AU-04 网管、监控与参数信息管理,task_only,未详细拆分,网管基础认知尚未拆分，但不一定适合作为普通任务增量验证,284,9,28,2,0,网管架构;功能入口;系统边界;概念图重绘;术语解释,能为P3-T2、P3-T3、P3-T4提供先修支撑，适合做资源卡和术语层补充,偏认知性和先修性，难以验证职业任务闭环；不适合作为第五类首选,暂缓，适合作为资源层补充,61
10,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程基础类,AU-10 信令分析与复杂问题复盘,task_only,前置支撑已识别但未详细拆分,AU-10已有P6-T2主验证；P6-T1作为先修支撑尚未拆分,583,8,25,5,1,信令流程;协议概念;流程图重绘;先修知识;术语密度,能补充P6-T2前置基础，支撑信令问题分析教材正文和资源卡建设,偏基础流程讲解，验证新任务类型价值低于工程实施类；容易写成协议讲义,暂缓，作为P6-T2资源层补充更合适,59
