v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV031A-INC-P3T3-001,P3-T3,任务3：5G网络参数检查,P3T3-N01,明确参数检查场景与检查对象,decomposes,任务拆分详细节点,P3-T3补拆进入明确参数检查场景与检查对象节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-002,P3-T3,任务3：5G网络参数检查,P3T3-N02,识读容量、覆盖与功率参数口径,decomposes,任务拆分详细节点,P3-T3补拆进入识读容量、覆盖与功率参数口径节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-003,P3-T3,任务3：5G网络参数检查,P3T3-N03,完成无线侧参数查询、导出与差异比较,decomposes,任务拆分详细节点,P3-T3补拆进入完成无线侧参数查询、导出与差异比较节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-004,P3-T3,任务3：5G网络参数检查,P3T3-N04,完成传输侧参数查询与承载参数核对,decomposes,任务拆分详细节点,P3-T3补拆进入完成传输侧参数查询与承载参数核对节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-005,P3-T3,任务3：5G网络参数检查,P3T3-N05,完成核心网参数查询与业务控制参数核对,decomposes,任务拆分详细节点,P3-T3补拆进入完成核心网参数查询与业务控制参数核对节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-006,P3-T3,任务3：5G网络参数检查,P3T3-N06,形成参数异常清单与后续处理建议,decomposes,任务拆分详细节点,P3-T3补拆进入形成参数异常清单与后续处理建议节点。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-007,P3-T2,任务2：5G网络运行监控,P3T3-N01,明确参数检查场景与检查对象,precedes,直接递进,运行监控发现异常后进入参数检查场景和对象确认。,P3-T2,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-008,P3T3-N01,明确参数检查场景与检查对象,P3T3-N02,识读容量、覆盖与功率参数口径,precedes,直接递进,先明确问题场景和检查对象，再识读相关参数和公式口径。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-009,P3T3-N02,识读容量、覆盖与功率参数口径,P3T3-N03,完成无线侧参数查询、导出与差异比较,precedes,并列检查分支,无线侧参数查询和差异比较需要先理解容量、覆盖、功率及关键参数口径。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-010,P3T3-N02,识读容量、覆盖与功率参数口径,P3T3-N04,完成传输侧参数查询与承载参数核对,precedes,并列检查分支,传输侧承载参数核对需要先理解任务场景、带宽和承载参数口径。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-011,P3T3-N02,识读容量、覆盖与功率参数口径,P3T3-N05,完成核心网参数查询与业务控制参数核对,precedes,并列检查分支,核心网控制和QoS参数核对需要先理解参数用途、边界和业务影响。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-012,P3T3-N03,完成无线侧参数查询、导出与差异比较,P3T3-N06,形成参数异常清单与后续处理建议,precedes,检查结果汇聚,无线侧参数差异检查结果进入参数异常清单，不能直接等同于故障结论。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-013,P3T3-N04,完成传输侧参数查询与承载参数核对,P3T3-N06,形成参数异常清单与后续处理建议,precedes,检查结果汇聚,传输侧承载参数核对结果进入参数异常清单，并标明需补查的承载证据。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-014,P3T3-N05,完成核心网参数查询与业务控制参数核对,P3T3-N06,形成参数异常清单与后续处理建议,precedes,检查结果汇聚,核心网业务控制和QoS参数核对结果进入参数异常清单，并保留专业复核状态。,P3-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-015,P2T3-N06,归纳问题类型与原因链,P3T3-N01,明确参数检查场景与检查对象,supports,支撑判断,测试数据分析归纳出的参数类疑点可以触发P3-T3参数检查。,P2-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-016,P5T3-N06,判断未闭环指标与二次分析入口,P3T3-N01,明确参数检查场景与检查对象,supports,问题回流,性能提升验证中未闭环指标可回流到参数检查，排除配置或承载参数问题。,P5-T3,P3-T3,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-017,P3T3-N03,完成无线侧参数查询、导出与差异比较,P3-T4,任务4：5G网络参数设置,supports,支撑判断,无线侧参数差异检查结果可作为后续参数设置任务的依据。,P3-T3,P3-T4,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-018,P3T3-N06,形成参数异常清单与后续处理建议,P3-T4,任务4：5G网络参数设置,precedes,直接递进,参数异常清单确认后进入参数设置或变更记录任务。,P3-T3,P3-T4,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,1,current
EV031A-INC-P3T3-019,P3T3-N06,形成参数异常清单与后续处理建议,P4-T1,任务1：5G网络优化方案实施,supports,支撑判断,参数异常清单和处理建议可作为优化方案实施的输入依据。,P3-T3,P4-T1,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-020,P3T3-N06,形成参数异常清单与后续处理建议,P4T2-N01,识别验证场景,supports,支撑判断,已处理的参数异常需要在结果验证阶段确定复测场景和验证口径。,P3-T3,P4-T2,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,2,current
EV031A-INC-P3T3-021,P3T3-N01,明确参数检查场景与检查对象,AU-04,网管、监控与参数信息管理,maps_to_ability,能力挂接,参数检查场景和对象确认主挂AU-04，用于能力单元统计和资源组织。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-022,P3T3-N02,识读容量、覆盖与功率参数口径,AU-04,网管、监控与参数信息管理,maps_to_ability,能力挂接,容量、覆盖与功率参数口径识读主挂AU-04，用于能力单元统计和资源组织。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-023,P3T3-N03,完成无线侧参数查询、导出与差异比较,AU-04,网管、监控与参数信息管理,maps_to_ability,能力挂接,无线侧参数查询和差异比较主挂AU-04，用于能力单元统计和资源组织。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-024,P3T3-N04,完成传输侧参数查询与承载参数核对,AU-04,网管、监控与参数信息管理,maps_to_ability,能力挂接,传输侧承载参数核对主挂AU-04，用于能力单元统计和资源组织。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-025,P3T3-N05,完成核心网参数查询与业务控制参数核对,AU-04,网管、监控与参数信息管理,maps_to_ability,能力挂接,核心网参数核对主挂AU-04，用于能力单元统计和资源组织。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,内部试拆,1,current
EV031A-INC-P3T3-026,P3T3-N06,形成参数异常清单与后续处理建议,AU-05,网络问题定位与方案制定,maps_to_ability,能力挂接,参数异常清单和处理建议主挂AU-05，用于评价问题定位与后续方案制定能力。,P3-T3,not_applicable,v031a_increment,reports/P3-T3增量补拆修订说明V0.3.1A.md,待专业复核,1,current
