project_id,project_title,task_id,task_title,start_line,end_line,line_count,section_count,image_count,table_line_count,quiz_signal_count,case_signal_count
P1,项目一：5G网络信息采集,P1-T1,任务1：室内环境信息采集,400,880,481,6,37,74,5,0
P1,项目一：5G网络信息采集,P1-T2,任务2：室外环境信息采集,881,1258,378,3,37,4,6,0
P1,项目一：5G网络信息采集,P1-T3,任务3：投诉信息采集,1259,1595,337,0,1,31,48,1
P2,项目二、5G网络测试,P2-T1,任务1: DT/CQT测试准备和执行,1596,1957,362,0,9,41,187,2
P2,项目二、5G网络测试,P2-T2,任务2: 5G网络测试问题处理,1958,2082,125,0,1,21,72,2
P2,项目二、5G网络测试,P2-T3,任务3: 5G网络测试数据分析,2083,2398,316,0,16,0,54,2
P3,项目三：5G网络信息管理,P3-T1,任务1：5G网管架构和功能,2399,2708,310,6,27,0,11,0
P3,项目三：5G网络信息管理,P3-T2,任务2：5G网络运行监控,2709,3833,1125,8,27,343,4,2
P3,项目三：5G网络信息管理,P3-T3,任务3：5G网络参数检查,3834,4800,967,8,39,79,6,2
P3,项目三：5G网络信息管理,P3-T4,任务4：5G网络参数设置,4801,5187,387,8,23,0,6,2
P4,项目四：5G端到端网络优化,P4-T1,任务1：5G网络优化方案实施,5188,5800,613,8,38,78,13,2
P4,项目四：5G端到端网络优化,P4-T2,任务2：5G网络优化结果验证,5801,7052,1252,8,63,28,12,3
P4,项目四：5G端到端网络优化,P4-T3,任务3：5G网络优化报告输出,7053,7360,308,7,3,17,16,6
P5,项目五：5G全网性能提升,P5-T1,任务1 5G全网性能指标采集,7361,8584,1224,8,15,0,14,2
P5,项目五：5G全网性能提升,P5-T2,任务2 5G全网性能提升实施,8585,9293,709,8,7,4,8,2
P5,项目五：5G全网性能提升,P5-T3,任务3 5G全网性能提升验证,9294,9637,344,8,20,0,26,12
P6,项目六：5G信令分析,P6-T1,任务1 5G关键信令流程及解析,9638,10065,428,8,25,0,3,1
P6,项目六：5G信令分析,P6-T2,任务2 5G信令问题分析及优化,10066,10373,308,7,15,0,5,1
