binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV036-INC-P3T2-001,P3T2-N01,明确监控任务与账号权限边界,P3T2-C01,运行监控任务情境卡,resource_card,P3,P3-T2,task_card;text_card,case_intro;task_analysis,阅读任务情境并判断本次监控需要查看哪些对象和数据。,监控任务与权限边界单,监控任务与权限边界单,planned,pending_professional_review,medium,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,情境卡用于启动运行监控任务，不呈现真实账号信息。
BV036-INC-P3T2-002,P3T2-N01,明确监控任务与账号权限边界,P3T2-W01,权限边界判断表,worksheet,P3,P3-T2,boundary_table;worksheet,permission_boundary_checking,根据角色、操作集和管理资源判断可看、可做和不可做事项。,监控任务与权限边界单,监控任务与权限边界单,planned,pending_data_security_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,表格必须使用教学模拟账号和脱敏字段。
BV036-INC-P3T2-003,P3T2-N01,明确监控任务与账号权限边界,P3T2-ACT01,权限边界判断活动,learning_activity,P3,P3-T2,interactive_activity,permission_boundary_checking,判断若权限不足或越权时应如何处理。,权限边界判断记录,监控任务与权限边界单,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,活动只训练边界判断，不训练真实后台账号操作。
BV036-INC-P3T2-004,P3T2-N02,筛选当前告警并判断优先级,P3T2-C02,告警级别与状态读法卡,resource_card,P3,P3-T2,knowledge_card;reference_card,alert_reading,读取告警级别、状态、对象和发生时间。,当前告警筛选记录,当前告警筛选记录,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,告警级别和优先级判断需专业教师确认。
BV036-INC-P3T2-005,P3T2-N02,筛选当前告警并判断优先级,P3T2-W02,当前告警筛选表,worksheet,P3,P3-T2,table;worksheet,alert_filtering;priority_judgement,从当前告警样例中筛出需要优先关注的告警。,当前告警筛选记录,当前告警筛选记录,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,表格使用教学化数据，不直接引用真实网管告警。
BV036-INC-P3T2-006,P3T2-N02,筛选当前告警并判断优先级,P3T2-ACT02,告警优先级筛选活动,learning_activity,P3,P3-T2,interactive_activity,priority_judgement,按级别、状态、影响范围和时间顺序排列告警优先级。,告警优先级排序记录,当前告警筛选记录,planned,pending_teaching_validation,medium,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,后续可做拖拽排序或标注练习，避免只做选择题。
BV036-INC-P3T2-007,P3T2-N03,追溯历史告警与典型案例线索,P3T2-C03,历史告警追溯卡,resource_card,P3,P3-T2,timeline_card;knowledge_card,historical_alarm_tracing,比较当前告警和历史告警的时间、对象和重复情况。,历史告警追溯卡,历史告警追溯卡,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,追溯卡必须脱敏并保留日志数据安全边界。
BV036-INC-P3T2-008,P3T2-N03,追溯历史告警与典型案例线索,P3T2-CASE01,三类典型告警案例卡,resource_card,P3,P3-T2,case_card;comparison_table,case_comparison,将小区关断、光功率异常和GPS时钟异常作为教学案例线索进行比较。,典型告警线索归纳表,历史告警追溯卡,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,案例需脱敏、复核和教学化改写。
BV036-INC-P3T2-009,P3T2-N03,追溯历史告警与典型案例线索,P3T2-W03,历史告警追溯记录,worksheet,P3,P3-T2,worksheet;timeline_table,historical_alarm_tracing,填写告警是否持续、是否复现、是否需要升级分析。,历史告警追溯记录,历史告警追溯卡,planned,pending_data_security_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,历史告警记录不得暴露真实站点、账号、IP或组织信息。
BV036-INC-P3T2-010,P3T2-N04,创建或选择性能指标查询模板,P3T2-C04,性能指标类别与用途速查卡,resource_card,P3,P3-T2,reference_card;table,indicator_category_reading,根据监控问题选择接入、保持、移动性、资源或可用类指标。,性能指标查询配置单,性能指标查询配置单,planned,pending_professional_review,high,reports/P3-T2详细能力节点主数据增量样表V0.3.6.csv,指标类别和用途需结合教材来源及专业复核说明。
