task_id,task_title,phase2_role,node_id,node_name,student_title,student_learning_goal,student_action,student_output,assessment_output,resource_type,learning_activity_type,primary_ability_unit_id,secondary_ability_unit_ids,inbound_relation_count,outbound_relation_count,relation_types,binding_count,audit_status,risk_level,media_handling_status,professional_risk_type,content_status,prototype_target,source_files
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N01,明确DT/CQT测试任务与验收口径,先弄清这次测试要证明什么,我能区分DT和CQT的任务目标，确认测试对象、业务类型、指标口径、所需数据和验收边界。,阅读测试任务说明，圈出测试对象、业务类型、需要采集的数据和需要达成的测试口径。,测试任务与指标口径确认单,测试任务与指标口径确认单,text_card;concept_diagram;worksheet;comparison_table,case_intro;task_analysis;data_checking,AU-02,AU-01;AU-03,2,3,任务拆分详细节点；直接递进；支撑判断；能力挂接,3,pending_professional_review,medium,redraw_required,terminology;procedure;data_source,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N02,准备测试资料、工具设备与入场许可,把测试前该准备的东西查全,我能根据测试计划准备工参、邻区表、仿真报告、FTP信息、测试终端、车辆、人员和入场许可，并知道哪些信息不能直接公开。,按资料、工具、人员车辆、客户接口、入场许可和数据安全边界填写测试准备核对单。,测试准备核对单,测试准备核对单,checklist;table;worksheet;scenario_card,data_checking;risk_checking;process_ordering,AU-02,AU-01,3,2,任务拆分详细节点；直接递进；能力挂接；前置基础,3,pending_editorial_review,high,not_applicable,procedure;authorization;privacy,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N03,配置测试软硬件并完成连通性检查,先确认设备和软件真的能采集,我能按连接关系检查测试手机、GPS、扫频仪、笔记本、采集软件、license和数据保存环境，判断是否具备开始测试条件。,按设备连接图和软件状态提示完成连通性检查，记录异常并判断是否需要转入P2-T2问题处理。,设备连接与软件配置检查记录,设备连接与软件配置检查记录,process_table;checklist;redrawn_image;worksheet,process_ordering;data_checking;risk_checking,AU-02,AU-03,2,5,任务拆分详细节点；直接递进；支撑判断；前置基础；能力挂接；问题回流,3,pending_media_review,high,redraw_required,procedure;tool_screenshot;data_source,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;assets/media/image79.png;assets/media/image80.png;assets/media/image81.png;assets/media/image82.png
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N04,规划DT路线与CQT测试场景,把测试路线和测试点设计清楚,我能根据站点开通、道路、重叠区、投诉区域、CQT室内外场景和近中远点要求，形成可执行测试路线和测试点计划。,在路线规划表中标注DT路线、行驶方向、重叠区、CQT室内外场景和测试点选择理由。,测试路线与场景规划表,测试路线与场景规划表,route_map;table;worksheet;scenario_card,route_planning;boundary_checking;scenario_mapping,AU-02,AU-03,5,3,任务拆分详细节点；支撑判断；直接递进；能力挂接；前置基础,3,pending_professional_review,high,redraw_required,procedure;threshold;data_source,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N05,执行DT路测采集并记录异常事件,边路测边保证数据可用,我能在DT路测过程中确认设备运行、GPS打点、业务测试和LOG记录状态，遇到中断、未知PCI或异常事件时做记录并触发后续处理。,按DT采集流程执行测试记录，填写设备状态、异常时间地点、现场情况和是否转入问题处理。,DT采集与异常事件记录,DT采集与异常事件记录,process_card;worksheet;case_card;checklist,data_collection;exception_recording;risk_checking,AU-02,AU-03;AU-05,3,3,任务拆分详细节点；直接递进；前置基础；能力挂接；问题回流,3,pending_professional_review,high,redraw_required,procedure;case_logic;data_source,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N06,执行CQT定点业务测试并记录质量,在固定场景把业务质量测完整,我能按CQT场景、测试时间、测试点、主被叫次数、数据业务要求和近中远点要求记录业务质量。,按CQT测试记录表完成语音、数据业务、场景位置、测试卡和测试人员信息的教学化记录。,CQT业务测试记录,CQT业务测试记录,scenario_card;worksheet;table;checklist,scenario_testing;data_checking;risk_checking,AU-02,AU-03,3,2,任务拆分详细节点；直接递进；前置基础；能力挂接,3,pending_professional_review,high,not_applicable,procedure;threshold;privacy,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T1,任务1：DT/CQT测试准备和执行,测试采集主线入口：把测试任务、场景、路线、设备和LOG采集组织成可分析数据包。,P2T1-N07,保存测试LOG并移交测试资料包,把采集结果交给后续分析的人能用,我能按测试任务保存LOG、命名文件、汇总测试点、设备、卡号、异常事件和业务质量信息，并形成可移交的测试资料包。,整理LOG、路线图、测试点、异常记录和CQT记录，形成交付清单并说明后续分析入口。,测试数据交付包,测试数据交付包,report_template;checklist;worksheet;data_package,data_archiving;handoff;quality_checking,AU-02,AU-03,3,5,任务拆分详细节点；直接递进；能力挂接；支撑判断,3,pending_professional_review,high,not_applicable,data_source;procedure;publication_boundary,项目二闭环复制验证待生成轻量教材样稿,后续项目二闭环原型：测试采集主线/资源中心/教师视图,reports/P2-T1基于V0.4主数据补拆验证报告.md;extracted/textbook.md
P2-T2,任务2：5G网络测试问题处理,异常处理分支：当设备、软件、数据完整性或现场协调异常出现时，保障测试数据可用。,P2T2-N01,判断测试异常现象与影响范围,先看现场发生了什么,能说清测试现场出现了什么异常、影响哪项测试、是否需要立刻处理。,阅读现场情境，填写异常现象、影响范围和初步类型。,测试异常现象判断单,测试异常现象判断单,text_card;case_card;classification_table,case_intro;problem_classification,AU-03,AU-05,3,2,任务拆分详细节点；直接递进；能力挂接；问题回流,1,pending_professional_review,medium,not_applicable,procedure;case_logic,项目二闭环复制验证待生成异常分支教材样稿,后续项目二闭环原型：异常处理分支/资源中心/教师视图,reports/P2-T2增量补拆内部评审报告.md
P2-T2,任务2：5G网络测试问题处理,异常处理分支：当设备、软件、数据完整性或现场协调异常出现时，保障测试数据可用。,P2T2-N02,按排查路径处理设备、软件与数据问题,按路径排查问题,能按设备连接、供电、软件授权、驱动端口、数据保存的路径完成排查并记录证据。,根据异常现象选择排查分支，完成排查记录和下一步处理动作。,测试问题排查记录单,测试问题排查记录单,text_card;process_table;flowchart;redrawn_image;worksheet,process_ordering;troubleshooting;data_checking,AU-03,AU-05,2,4,直接递进；支撑判断；能力挂接；问题回流,4,pending_media_review,high,redraw_required,tool_screenshot;hardware_safety;data_quality,项目二闭环复制验证待生成异常分支教材样稿,后续项目二闭环原型：异常处理分支/资源中心/教师视图,reports/P2-T2增量补拆内部评审报告.md;assets/media/image83.png
P2-T2,任务2：5G网络测试问题处理,异常处理分支：当设备、软件、数据完整性或现场协调异常出现时，保障测试数据可用。,P2T2-N03,完成现场协调与责任升级,知道该找谁、怎么说,能区分项目内部、客户接口人、业主阻拦和后台支撑等协调对象，按合规路径升级问题。,根据现场情境选择责任人、升级路径和合规表达。,现场协调升级记录,现场协调升级记录,scenario_card;matching;worksheet,role_matching;communication_routing,AU-05,AU-03,1,2,直接递进；能力挂接,1,pending_professional_review,medium,not_applicable,work_process;communication,项目二闭环复制验证待生成异常分支教材样稿,后续项目二闭环原型：异常处理分支/资源中心/教师视图,reports/P2-T2增量补拆内部评审报告.md
