dimension,P2-T3 5G网络测试数据分析,P4-T2 5G网络优化结果验证,P5-T3 5G全网性能提升验证,横向评审结论
任务角色,前置数据分析任务,单次优化结果验收深样章,全网性能持续提升验证任务,三者不是重复关系而是形成前后递进
主岗位过程,JP-03;JP-04,JP-06,JP-07,JP-07需拆分说明持续提升和复杂复盘两个方向
主能力单元,AU-03;AU-05,AU-07;AU-08,AU-09,AU-10仍需P6验证
当前节点数,8,8,7,节点数不应机械统一
学生核心动作,读LOG和指标并判断异常,用证据判断优化是否达标,选择数据源并验证全网提升是否闭环,三类动作覆盖数据分析-验收-复测闭环
典型产出,数据分析任务单;指标边界表;异常清单;整改建议卡;测试数据分析报告,覆盖/移动性/体验判断;依据链分类;四段式验收结论;职业表达修正,KPI对比表;五类效果判断记录;未闭环问题清单;全网性能提升验证报告,产出均可评价但需统一量规字段
资源转化重点,指标读法卡;LOG导入流程卡;邻区漏配证据链卡;问题分类互动,情境任务卡;微知识卡;证据观察材料;学习单;反馈讲评,数据源选择图;KPI对比表;五类效果判断卡;未闭环判断互动;报告模板,资源形态应服务学习动作而不是追求题型多样
媒体治理风险,非通用软件截图和指标阈值需复核,仿真截图和流程图需标注或重绘,大量仿真/信令/路测截图需重绘或标注,媒体治理仍是正式发布门禁
专业复核风险,LOG、指标阈值、邻区漏配归因需复核,验收阈值、达标口径和结论边界需复核,五类性能验证口径、阈值和案例结论需复核,三任务都不能写成专业审核通过
字段治理状态,13字段旧映射表且已写入V2表,主要在V2旧12字段和样章数据中,59字段V0.1表,R1完整,字段成熟度不一致是下一步主要治理问题
对V2的验证价值,证明V2可迁移到非P4-T2前置任务,提供当前最成熟的深样章验证,证明AU-09基本成立并暴露AU-10边界,V2方向成立但仍需P6补足
下一步处理,迁移到V0.2字段表,迁移到V0.2字段表并保留样章映射,保留V0.1试拆并按V0.2补字段,先统一字段再继续批量扩展
