backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P2T1-001,node_master,P2T1-N01,P2-T1,detail_capability,明确DT/CQT测试任务与验收口径,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial;student_text；terminology;procedure;data_source,V0.4,professional;editorial;student_text,terminology;procedure;data_source,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,source_adapted,仅用于训练DT/CQT任务确认和指标口径识读；NSA/SA内容只作背景资源。,medium,adapted,not_ready,text,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/编辑/学生正文/教学验证等对应门禁。,按任务风险提交专业和编辑复核，再判断是否进入主数据合并建议。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-002,node_master,P2T1-N02,P2-T1,detail_capability,准备测试资料、工具设备与入场许可,high风险；审核状态=pending_editorial_review；审核类型=professional;editorial;data_security;teaching_validation；procedure;authorization;privacy,V0.4,professional;editorial;data_security;teaching_validation,procedure;authorization;privacy,professional_expert;editor;data_security_officer;teaching_reviewer,yes,name;phone;location;organization,yes,pending,yes,consent_required,no,personal_info;location;work_order,pending,none,privacy;escalation,needs_editorial_review,teaching_only,客户接口人和入场许可只能作教学模拟，不得使用真实联系方式或真实入场文件。,teaching_simulation,仅用于训练测试准备和授权边界；不得作为真实项目入场许可模板直接发布。,high,adapted;teaching_simulation;anonymized,not_ready,form,original_textbook;ai_rewritten;teaching_simulation,personal_info;work_order,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/编辑/数据安全/教学验证等对应门禁。,补充模拟许可样例和脱敏规则后再进入后续合并评审。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-003,node_master,P2T1-N03,P2-T1,detail_capability,配置测试软硬件并完成连通性检查,high风险；审核状态=pending_media_review；审核类型=professional;media;editorial;teaching_validation；procedure;tool_screenshot;data_source,V0.4,professional;media;editorial;teaching_validation,procedure;tool_screenshot;data_source,professional_expert;media_designer;editor;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,source_adapted,仅用于训练设备连接和连通性检查；不固化为特定厂家软件操作标准。,high,redrawn;adapted,not_ready,screenshot,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/媒体/编辑/教学验证等对应门禁。,将原软件截图重绘为教学化流程图并提交专业复核。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-004,node_master,P2T1-N04,P2-T1,detail_capability,规划DT路线与CQT测试场景,high风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security;teaching_validation；procedure;threshold;data_source,V0.4,professional;editorial;data_security;teaching_validation,procedure;threshold;data_source,professional_expert;editor;data_security_officer;teaching_reviewer,yes,location,yes,pending,yes,pending,no,location;work_order,pending,none,none,not_applicable,teaching_only,路线和测试点应使用教学模拟或脱敏地图，不能公开真实敏感位置。,teaching_simulation,仅用于训练路线规划和场景选择；不得作为真实路测路线或客户场地位置发布。,high,teaching_simulation;anonymized;redrawn,not_ready,form,original_textbook;ai_rewritten;teaching_simulation,professional_conclusion,after_redaction,pending,pending,revision_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/数据安全/编辑/教学验证等对应门禁。,制作模拟路线图并标注安全边界后再进入后续合并评审。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-005,node_master,P2T1-N05,P2-T1,detail_capability,执行DT路测采集并记录异常事件,high风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security;teaching_validation；procedure;case_logic;data_source,V0.4,professional;editorial;data_security;teaching_validation,procedure;case_logic;data_source,professional_expert;editor;data_security_officer;teaching_reviewer,yes,location;terminal_id;work_order_id,yes,pending,yes,pending,no,location;work_order,pending,none,none,not_applicable,teaching_only,DT路测涉及车辆、道路、设备供电和现场异常，学生端必须标注实训安全和模拟数据边界。,teaching_simulation,仅用于训练DT采集记录和异常事件记录；不得引导学生自行上路测试。,high,adapted;teaching_simulation;anonymized,not_ready,worksheet,original_textbook;ai_rewritten;teaching_simulation,professional_conclusion;work_order,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/数据安全/编辑/教学验证等对应门禁。,补充实训安全边界和模拟异常记录后再进入后续合并评审。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-006,node_master,P2T1-N06,P2-T1,detail_capability,执行CQT定点业务测试并记录质量,high风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security;teaching_validation；procedure;threshold;privacy,V0.4,professional;editorial;data_security;teaching_validation,procedure;threshold;privacy,professional_expert;editor;data_security_officer;teaching_reviewer,yes,location;terminal_id;phone,yes,pending,yes,pending,yes,personal_info;recording;location;work_order,pending,none,privacy,needs_editorial_review,teaching_only,CQT拨测记录不能包含真实测试卡、真实号码、真实客户场地或未经授权录音。,teaching_simulation,仅用于训练CQT场景测试和业务质量记录；正式教材需模拟或脱敏。,high,adapted;teaching_simulation;anonymized,not_ready,worksheet,original_textbook;ai_rewritten;teaching_simulation,personal_info;recording;professional_conclusion,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/数据安全/编辑/教学验证等对应门禁。,补充模拟测试卡和测试场景后再进入后续合并评审。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-007,node_master,P2T1-N07,P2-T1,detail_capability,保存测试LOG并移交测试资料包,high风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security;platform;teaching_validation；data_source;procedure;publication_boundary,V0.4,professional;editorial;data_security;platform;teaching_validation,data_source;procedure;publication_boundary,professional_expert;editor;data_security_officer;publisher_platform;teaching_reviewer,yes,location;terminal_id;work_order_id,yes,pending,yes,pending,no,location;work_order,pending,none,none,not_applicable,teaching_only,测试LOG和交付包不得包含真实网络敏感数据、真实路线和未脱敏终端标识。,source_adapted,仅用于训练资料归档和后续分析入口；正式资源包需脱敏与平台门禁。,high,adapted;anonymized;teaching_simulation,not_ready,report_template,original_textbook;ai_rewritten;teaching_simulation,professional_conclusion;work_order,after_redaction,pending,pending,not_required,review_pending,pending,not_started,not_ready,仍需完成专业/数据安全/编辑/平台/教学验证等对应门禁。,定义测试资料包脱敏规则和平台字段后再进入后续合并评审。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-008,binding_master,P2T1-TBL01,P2-T1,resource_card,测试资料与工具设备核对表,high风险；设备清单容易误升为能力节点；工具规格和软件环境需专业复核,V0.4,professional;editorial;teaching_validation,procedure;data_source,professional_expert;editor;teaching_reviewer,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,source_adapted,用于训练准备核对，不作为设备采购或企业标准清单。,medium,adapted,not_ready,table,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业/编辑/教学验证等对应门禁。,将工具设备清单转为教学化核对表并提交专业复核。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-009,binding_master,P2T1-PERM01,P2-T1,resource_card,入场许可与客户接口人核对卡,high风险；涉及客户接口人、入场许可和场地授权,V0.4,professional;editorial;data_security;legal;teaching_validation,authorization;privacy;procedure,professional_expert;editor;data_security_officer;legal_compliance;teaching_reviewer,yes,name;phone;organization;location,yes,pending,yes,consent_required,no,personal_info;location;work_order,pending,none,privacy;escalation,needs_editorial_review,teaching_only,只能使用模拟接口人和模拟许可，不得复用真实客户信息。,teaching_simulation,用于训练入场许可边界，不作为真实授权文书。,high,teaching_simulation;anonymized,not_ready,form,teaching_simulation;ai_rewritten,personal_info;work_order,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成数据安全/法务/编辑/教学验证等对应门禁。,制作模拟许可表并删除真实联系方式字段。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
BF-V04-P2T1-010,binding_master,P2T1-IMG79-82,P2-T1,media_review_object,测试软件界面与设备连接截图重绘对象,high风险；原软件截图和设备连接图不可直接进入正式数字教材,V0.4,professional;media;editorial;copyright,procedure;tool_screenshot,professional_expert;media_designer;editor,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,no,not_applicable,source_adapted,仅作为重绘来源，不能替代教学化流程图。,high,redrawn,not_ready,screenshot,original_textbook,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_applicable,not_applicable,not_ready,仍需完成专业/媒体/版权/编辑门禁。,重绘为去厂商化的教学流程图或界面示意后再使用。,completed,V04-BATCH-P2T1-001,P2-T1新增测试准备、执行、路线、软件截图和实训安全风险，需要V0.4结构化治理。
