card_id,card_type,title,graph_node_ids,required,estimated_minutes,student_action,evidence_output,source,review_status,copyright_status,next_cards
P4T2-C01,scenario,视频卡顿是不是优化没做好？,识别优化验证场景,yes,3,阅读场景并写出初步判断,初步问题判断文本,教材原文情境+AI教学重构,待专家审核,原教材授权待确认,P4T2-C02
P4T2-C02,interaction,问题可能属于哪一类？,"区分覆盖、切换、性能问题",yes,3,选择问题类型并可修改,问题类型选择记录,AI教学重构,待专家审核,自生成结构化内容,P4T2-C03/P4T2-C05/P4T2-C07
P4T2-C03,knowledge,覆盖验证看什么,理解覆盖验证指标,yes,3,识别SS-RSRP和SS-SINR作用,指标含义判断,教材原文+AI教学重构,待专家审核,派生内容待确认,P4T2-C04
P4T2-C04,evidence,优化前后覆盖指标对比,判断覆盖优化效果,yes,3,标注支持覆盖改善的指标,覆盖证据标注,教材表格重构,待专家审核,原教材授权待确认,P4T2-C05
P4T2-C05,knowledge,切换验证看什么,理解切换事件与流程,yes,3,理解A/B类事件和切换触发含义,切换事件识别,教材原文+AI教学重构,待专家审核,派生内容待确认,P4T2-C06
P4T2-C06,interaction,切换流程是否合理？,判断切换验证流程合理性,yes,4,排序切换验证步骤或选择异常点,流程排序结果,教材流程重构,待专家审核,派生内容待确认,P4T2-C07
P4T2-C07,knowledge,端到端性能验证看什么,理解端到端性能指标,yes,3,区分时延速率容量掉线作用,指标作用匹配,教材原文+AI教学重构,待专家审核,派生内容待确认,P4T2-C08
P4T2-C08,evidence,业务体验与性能指标对照,判断性能优化效果,yes,3,判断哪些指标支持业务体验结论,性能证据判断,教材内容重构,待专家审核,派生内容待确认,P4T2-C09
P4T2-C09,evidence,仿真截图能说明什么,使用仿真结果辅助验证,yes,2,识别截图可支持和不可支持的判断,仿真证据选择,教材图片资源,待编辑审核,原教材授权待确认,P4T2-C10
P4T2-C10,task,写出优化结果验证结论,形成优化结果验证结论,yes,4,填写结构化任务单,结构化短报告,AI教学重构,待专家审核,自生成结构化内容,P4T2-C11
P4T2-C11,feedback,你的证据链完整吗？,修正证据链与表达,yes,2,对照参考框架修正结论,修订记录,AI教学重构,待专家审核,自生成结构化内容,P4T2-C12
P4T2-C12,teacher,课堂讲评与学情观察,组织讲评与观察学情,yes,0,教师查看模拟学情和讲评建议,模拟学情看板,AI教学重构,待教师审核,自生成结构化内容,
