binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV03-0001,P2T3-N01,明确分析任务与数据来源,P2T3-C01,P2T3-C01,resource_card,P2,P2-T3,text_card;worksheet;table,case_intro;data_reading,核对任务说明、数据来源和场景，填写分析任务单。,数据分析任务单,完成的数据分析任务单,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师确认任务单字段是否覆盖网优数据分析真实入口。
BV03-0002,P2T3-N01,明确分析任务与数据来源,P2T3-C02,P2T3-C02,resource_card,P2,P2-T3,text_card;worksheet;table,case_intro;data_reading,核对任务说明、数据来源和场景，填写分析任务单。,数据分析任务单,完成的数据分析任务单,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师确认任务单字段是否覆盖网优数据分析真实入口。
BV03-0003,P2T3-N01,明确分析任务与数据来源,完成的数据分析任务单,完成的数据分析任务单,assessment_output,P2,P2-T3,text_card;worksheet;table,case_intro;data_reading,核对任务说明、数据来源和场景，填写分析任务单。,数据分析任务单,完成的数据分析任务单,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,学生能独立填写四项关键信息，并能口头说明为什么这些信息会影响后续指标判断。
BV03-0004,P2T3-N02,完成LOG导入与报告导出,P2T3-C03,P2T3-C03,resource_card,P2,P2-T3,text_card;worksheet;redrawn_image;report_template,process_ordering;data_reading,按流程排序导入步骤，核对导出报告字段清单。,导入导出流程记录,导入导出流程记录和字段核对表,planned,pending_media_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需确认重绘流程图不误导真实软件操作边界。
BV03-0005,P2T3-N02,完成LOG导入与报告导出,P2T3-C04,P2T3-C04,resource_card,P2,P2-T3,text_card;worksheet;redrawn_image;report_template,process_ordering;data_reading,按流程排序导入步骤，核对导出报告字段清单。,导入导出流程记录,导入导出流程记录和字段核对表,planned,pending_media_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需确认重绘流程图不误导真实软件操作边界。
BV03-0006,P2T3-N02,完成LOG导入与报告导出,导入导出流程记录和字段核对表,导入导出流程记录和字段核对表,assessment_output,P2,P2-T3,text_card;worksheet;redrawn_image;report_template,process_ordering;data_reading,按流程排序导入步骤，核对导出报告字段清单。,导入导出流程记录,导入导出流程记录和字段核对表,planned,pending_media_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,学生能按正确顺序完成流程，并能指出缺字段会导致哪些判断无法完成。
BV03-0007,P2T3-N03,识读关键指标与判断边界,P2T3-C05,P2T3-C05,resource_card,P2,P2-T3,text_card;table;chart;worksheet;assessment_item,data_reading;metric_annotation,阅读指标表，标出每个指标能支持的判断类型和边界。,指标读法与边界表,指标读法与边界表,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师复核指标边界表，避免固化不适用于全部场景的阈值。
BV03-0008,P2T3-N03,识读关键指标与判断边界,P2T3-C06,P2T3-C06,resource_card,P2,P2-T3,text_card;table;chart;worksheet;assessment_item,data_reading;metric_annotation,阅读指标表，标出每个指标能支持的判断类型和边界。,指标读法与边界表,指标读法与边界表,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师复核指标边界表，避免固化不适用于全部场景的阈值。
BV03-0009,P2T3-N03,识读关键指标与判断边界,P2T3-C07,P2T3-C07,resource_card,P2,P2-T3,text_card;table;chart;worksheet;assessment_item,data_reading;metric_annotation,阅读指标表，标出每个指标能支持的判断类型和边界。,指标读法与边界表,指标读法与边界表,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师复核指标边界表，避免固化不适用于全部场景的阈值。
BV03-0010,P2T3-N03,识读关键指标与判断边界,指标读法与边界表,指标读法与边界表,assessment_output,P2,P2-T3,text_card;table;chart;worksheet;assessment_item,data_reading;metric_annotation,阅读指标表，标出每个指标能支持的判断类型和边界。,指标读法与边界表,指标读法与边界表,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,学生能用自己的话解释指标用途，并能在案例中选择合适指标支撑判断。
BV03-0011,P2T3-N04,判断覆盖类异常,P2T3-C08,P2T3-C08,resource_card,P2,P2-T3,simulation_case;table;chart;worksheet;assessment_item,data_reading;metric_annotation;problem_diagnosis,阅读覆盖指标表和采样点示意图，标出异常点并写出判断理由。,覆盖异常判断记录,覆盖异常判断记录,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师确认案例数据和覆盖判断逻辑是否正确。
BV03-0012,P2T3-N04,判断覆盖类异常,P2T3-C09,P2T3-C09,resource_card,P2,P2-T3,simulation_case;table;chart;worksheet;assessment_item,data_reading;metric_annotation;problem_diagnosis,阅读覆盖指标表和采样点示意图，标出异常点并写出判断理由。,覆盖异常判断记录,覆盖异常判断记录,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师确认案例数据和覆盖判断逻辑是否正确。
BV03-0013,P2T3-N04,判断覆盖类异常,P2T3-C10,P2T3-C10,resource_card,P2,P2-T3,simulation_case;table;chart;worksheet;assessment_item,data_reading;metric_annotation;problem_diagnosis,阅读覆盖指标表和采样点示意图，标出异常点并写出判断理由。,覆盖异常判断记录,覆盖异常判断记录,planned,pending_professional_review,medium,reports/P2-T3详细能力节点字段表V0.2.csv,需专业教师确认案例数据和覆盖判断逻辑是否正确。
