rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P4-T3,任务3：5G网络优化报告输出,P4,报告输出与职业表达类,AU-08 优化报告与职业表达,task_only,未详细拆分,P4-T3尚未细拆；P4-T1实施记录、P4-T2验证结论到P4-T3优化报告的证据链尚未验证,308,3,17,16,6,报告结构;跨任务证据链;结论边界;职业表达;发布口径;资源封装;平台输出;模板治理,能检验V0.3.5能否把P4-T1实施记录和P4-T2验证结论组织为可评价的优化报告；补齐AU-08完整报告输出能力；也能验证数字教材资源输出和呈现层之间的交付边界,与P4-T2深样章距离较近；容易被拆成报告格式模板或大纲；必须突出证据链、结论边界和学生可完成的报告产出,推荐作为第六类普通任务增量验证对象,91
2,P3-T4,任务4：5G网络参数设置,P3,参数配置与变更记录类,AU-06 优化实施与变更记录;AU-04 网管、监控与参数信息管理,task_only,未详细拆分,参数设置和配置变更尚未验证；P3-T3只验证参数检查；P4-T1验证的是优化实施边界而非网管参数配置动作,387,23,0,6,2,网管配置操作;邻区增删;参数变更;误操作风险;配置授权;回退记录;截图重绘,能检验从参数检查到参数设置的动作转换，验证配置授权、回退记录、误操作风险和网管截图治理能否进入主数据,与P3-T3同属参数链条且与P4-T1同属变更链条；作为第六类首选会重复AU-06实施变更主题,第二候选；适合在P4-T3后作为参数配置专项验证,84
3,P3-T2,任务2：5G网络运行监控,P3,运行监控与告警指标类,AU-04 网管、监控与参数信息管理,task_only,未详细拆分,运行监控、告警筛选、指标看板和大规模表格治理尚未被详细验证,1125,27,343,0,2,网管监控;告警筛选;指标看板;大表治理;媒体截图;平台数据结构;学习数据回收,能检验大量监控表格、指标看板和软件截图如何进入课程能力图谱与资源治理，对后续平台数据结构和学习记录回收有价值,原文体量和表格信号过大；容易把能力图谱做成指标表或告警清单；第六类若选它会显著增加治理负担,第三候选；建议后续作为大表和平台数据专项治理对象,81
4,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,task_only,未详细拆分,AU-09已有P5-T3验证但实施环节不足；全网性能提升策略实施尚未详细拆分,709,7,4,8,2,全网策略实施;性能提升动作;跨区域影响;复测闭环;策略适用边界;专业复核,能连接P5-T3性能提升验证，检验全网层面的实施动作、复测验证和未闭环回流是否能稳定挂接,与P5-T3关系近且与P4-T1同属实施类；专业策略口径强，不宜紧接P4-T1再做实施类,候选保留；适合作为AU-09实施链补充,78
5,P1-T1,任务1：室内环境信息采集,P1,室内场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_only,未详细拆分,AU-01已有P1-T3投诉信息采集；室内环境和楼宇场景采集对象尚未验证,481,37,74,5,0,室内场景信息;站点环境;楼宇结构;图片治理;采集记录;隐私与位置边界,能补充P1-T3之外的室内场景采集对象，检验图片、位置、楼宇环境和采集记录治理,与P1-T3同属信息采集类；图片和位置边界治理负担较高；新增类型价值低于报告输出,候选保留；暂不作为第六类首选,72
6,P1-T2,任务2：室外环境信息采集,P1,室外场景与站点信息采集类,AU-01 场景、站点与投诉信息采集,task_only,未详细拆分,AU-01已有P1-T3投诉信息采集；室外站点、道路环境和路线信息尚未验证,389,15,42,5,0,室外站点环境;道路环境;位置数据;照片脱敏;现场采集安全,能补充室外场景与站点信息采集，和P2-T1位置数据、路线规划风险形成呼应,仍属AU-01信息采集；类型差异不足；位置数据和图片脱敏需要更细字段,候选保留；暂缓,70
7,P5-T1,任务1 5G全网性能指标采集,P5,全网指标采集类,AU-09 全网性能提升与复测,task_only,未详细拆分,全网性能指标采集作为P5-T3前置数据源尚未详细拆分,1224,15,0,8,2,全网指标采集;数据口径;KPI来源;平台数据;指标脱敏;趋势基线,能补齐P5-T3验证前置的数据源和指标采集链，检验全网KPI来源治理,体量大且与P5-T3验证链路接近；容易重复性能验证而非暴露新任务类型,候选保留；暂缓,69
8,P3-T1,任务1：5G网管架构和功能,P3,网管架构与功能认知类,AU-04 网管、监控与参数信息管理,task_only,未详细拆分,网管基础认知尚未拆分，但更像先修资源层而非完整职业任务,284,9,28,2,0,网管架构;功能入口;系统边界;概念图重绘;术语解释,能为P3-T2、P3-T3、P3-T4提供先修支撑，适合做资源卡、术语和图示层补充,偏认知性和先修性；难以验证完整职业任务闭环；不适合作为第六类首选,暂缓；适合作为资源层补充,63
9,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程基础类,AU-10 信令分析与复杂问题复盘,task_only,前置支撑已识别但未详细拆分,AU-10已有P6-T2主验证；P6-T1作为信令流程先修支撑尚未详细拆分,583,8,25,5,1,信令流程;协议概念;流程图重绘;先修知识;术语密度,能补充P6-T2前置基础，支撑信令问题分析教材正文和资源卡建设,偏基础流程讲解；验证新任务类型价值低于报告输出和监控类；容易写成协议讲义,暂缓；作为P6-T2资源层补充更合适,61
10,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,detail_nodes_ready,已合并V0.3.5,无；已有六个详细能力节点并已提升进V0.3.5当前推荐主数据,613,38,78,13,2,不作为候选,已作为第五类普通任务完成补拆、结构校验、短内部复核和V0.3.5合并,重复验证会使第六类继续停留在实施变更链条，无法暴露报告输出和证据链风险,排除：已合并V0.3.5,0
11,P4-T2,任务2：5G网络优化结果验证,P4,结果验证类,AU-07 优化结果验证,detail_nodes_ready,已深样章验证,无；已有P4-T2八个详细能力节点、深样章和V0.4风险回填,0,0,0,0,0,不作为候选,已作为纵向深样章验证，不应重复作为第六类普通任务,重复验证会浪费增量验证窗口；但其验证结论应作为P4-T3报告输出的前置证据,排除：已深样章验证,0
12,P2-T1,任务1: DT/CQT测试准备和执行,P2,测试准备与执行类,AU-02 测试准备与测试执行,detail_nodes_ready,已合并V0.3.4并保留至V0.3.5,无；已有七个详细能力节点并已进入当前推荐主数据,362,9,41,187,2,不作为候选,已作为第四类任务完成补拆、关系校正、风险治理和V0.3.4合并,重复验证会导致项目二过度展开,排除：已合并V0.3.4,0
13,P2-T2,任务2: 5G网络测试问题处理,P2,测试问题处理类,AU-03 测试问题处理与数据分析;AU-05 网络问题定位与方案制定,detail_nodes_ready,已验证并合并早期基线,无；P2-T2四节点修订版已合并，V0.4风险补齐已完成,0,0,0,0,0,不作为候选,已验证问题处理分支并进入项目二链条，不应重复选择,重复验证会让普通任务增量偏向P2项目,排除：已验证,0
14,P2-T3,任务3: 5G网络测试数据分析,P2,测试数据分析类,AU-03 测试问题处理与数据分析,detail_nodes_ready,已作为代表任务验证,无；已有八个详细能力节点、V0.2字段迁移、V0.4风险补齐和项目二链条挂接,0,0,0,0,0,不作为候选,已作为首个非P4-T2迁移试拆和P2项目数据分析输出验证,重复验证价值低；但其数据分析结论可作为P4-T3报告证据链远端来源,排除：已验证,0
15,P3-T3,任务3：5G网络参数检查,P3,参数检查与配置管理类,AU-04 网管、监控与参数信息管理,detail_nodes_ready,已合并V0.3.2并保留至V0.3.5,无；已有六个详细能力节点并通过V0.3.1A修订和V0.3.2合并,967,39,79,0,2,不作为候选,已验证复杂参数检查类任务，不应重复选择,重复验证会掩盖报告输出和跨任务证据链缺口,排除：已验证,0
16,P1-T3,任务3：投诉信息采集,P1,投诉信息采集与客户沟通类,AU-01 场景、站点与投诉信息采集,detail_nodes_ready,已合并V0.3.3并保留至V0.3.5,无；已有五个详细能力节点并通过V0.3.2A修订和V0.3.3合并,337,1,31,48,1,不作为候选,已验证客户沟通、隐私、授权、服务承诺和投诉入口类风险,重复验证价值低,排除：已验证,0
17,P5-T3,任务3 5G全网性能提升验证,P5,性能提升验证类,AU-09 全网性能提升与复测,detail_nodes_ready,已作为代表任务验证,无；已有七个详细能力节点和V0.2迁移，支撑AU-09有条件成立,0,0,0,0,0,不作为候选,已验证持续提升和复测闭环，不应作为第六类普通任务候选,重复验证AU-09验证端，不能补报告输出和证据链表达缺口,排除：已代表性试拆,0
18,P6-T2,任务2 5G信令问题分析及优化,P6,信令问题分析与复杂复盘类,AU-10 信令分析与复杂问题复盘,detail_nodes_ready,已作为代表任务验证,无；已有七个详细能力节点和V0.2迁移，支撑AU-10有条件成立,0,0,0,0,0,不作为候选,已验证复杂信令复盘类任务，不应重复选择,重复验证会延缓AU-08报告输出补齐,排除：已代表性试拆,0
