backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P1T3-001,node_master,P1T3-N01,P1-T3,detail_capability,完成投诉应答与处理边界判断,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security；procedure;communication,V0.4,professional;editorial;data_security,procedure;communication,professional_expert;editor;data_security_officer,yes,other,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,escalation,tone;commitment;escalation,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted,not_ready,none,original_textbook;ai_rewritten,personal_info;customer_feedback;service_commitment,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-002,node_master,P1T3-N02,P1-T3,detail_capability,核实投诉关键信息并填写信息单,high风险；审核状态=pending_editorial_review；审核类型=professional;editorial;data_security；procedure;data_source;privacy,V0.4,professional;editorial;data_security,procedure;data_source;privacy,professional_expert;editor;data_security_officer,yes,name;phone;address;work_order_id;recording,yes,pending,yes,consent_required,yes,personal_info;recording;location;work_order;customer_feedback;service_commitment,pending,none,privacy,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized;teaching_simulation,not_ready,none,original_textbook;ai_rewritten;teaching_simulation,personal_info;customer_feedback;service_commitment,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-003,node_master,P1T3-N03,P1-T3,detail_capability,现场核实投诉场景与业务现象,medium风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security；case_logic;procedure,V0.4,professional;editorial;data_security,case_logic;procedure,professional_expert;editor;data_security_officer,yes,name;phone;location,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,none,privacy,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized;teaching_simulation,not_ready,none,original_textbook;ai_rewritten;teaching_simulation,personal_info;customer_feedback;service_commitment,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-004,node_master,P1T3-N04,P1-T3,detail_capability,形成投诉初判与后续任务入口,high风险；审核状态=pending_professional_review；审核类型=professional;editorial;data_security；case_logic;conclusion;procedure,V0.4,professional;editorial;data_security,case_logic;conclusion;procedure,professional_expert;editor;data_security_officer,yes,location,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,uncertain_conclusion,uncertain_conclusion,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;teaching_simulation,not_ready,none,original_textbook;ai_rewritten;teaching_simulation,personal_info;customer_feedback;service_commitment,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-005,node_master,P1T3-N05,P1-T3,detail_capability,沟通处理结果并形成跟踪闭环,high风险；审核状态=pending_editorial_review；审核类型=professional;editorial;data_security；conclusion;privacy;communication;service_commitment;authorization,V0.4,professional;editorial;data_security,conclusion;privacy;communication;service_commitment;authorization,professional_expert;editor;data_security_officer,yes,name;phone;recording,yes,pending,yes,consent_required,yes,personal_info;recording;location;work_order;customer_feedback;service_commitment,pending,effect_promise;uncertain_conclusion,tone;commitment;privacy;uncertain_conclusion,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized,not_ready,none,original_textbook;ai_rewritten,personal_info;customer_feedback;service_commitment,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-006,binding_master,BV032A-INC-P1T3-001,P1-T3,resource_card,投诉类型与紧急程度判断卡,medium风险；审核状态=pending_professional_review；对象=P1T3-C01；投诉分类来自原文，但分类边界涉及运营商制度，需专业复核。,V0.4,professional;editorial;data_security,none,professional_expert;editor;data_security_officer,no,not_applicable,no,not_needed,no,not_applicable,no,none,pending,escalation,commitment;escalation,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,medium,adapted,not_ready,table;case;text,original_textbook;ai_rewritten,none,not_applicable,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-007,binding_master,BV032A-INC-P1T3-002,P1-T3,resource_card,应答原则与升级边界卡,medium风险；审核状态=pending_editorial_review；对象=P1T3-C02；重点治理服务表达和处理承诺，不把话术当作可直接背诵文本。,V0.4,professional;editorial;data_security,service_commitment,professional_expert;editor;data_security_officer,yes,name,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,escalation,tone;commitment;privacy;escalation,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized,not_ready,service_script;worksheet;text,original_textbook;ai_rewritten,none,not_applicable,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-008,binding_master,BV032A-INC-P1T3-003,P1-T3,assessment_output,投诉受理分类单,medium风险；审核状态=pending_professional_review；对象=P1T3-W01；评价学生能否把投诉入口转化为可处理任务，而不是只背分类名称。,V0.4,professional;editorial;data_security,none,professional_expert;editor;data_security_officer,no,not_applicable,no,not_needed,no,not_applicable,no,none,pending,responsibility;escalation,commitment;liability;escalation,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,medium,adapted,not_ready,worksheet,original_textbook;ai_rewritten,personal_info;customer_feedback;service_commitment;work_order,after_redaction,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-009,binding_master,BV032A-INC-P1T3-004,P1-T3,resource_card,投诉信息字段核对卡,high风险；审核状态=pending_editorial_review；对象=P1T3-C03；把原文表格字段转为教学化字段核对，不直接裸用客户信息。,V0.4,professional;editorial;data_security,none,professional_expert;editor;data_security_officer,yes,name,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,none,privacy,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized;teaching_simulation,not_ready,worksheet;text,original_textbook;ai_rewritten;teaching_simulation,none,not_applicable,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
BF-V04-P1T3-010,binding_master,BV032A-INC-P1T3-005,P1-T3,resource_card,用户投诉信息单教学化表格,high风险；审核状态=pending_editorial_review；对象=P1T3-TBL01；需删除或脱敏真实姓名、地址、电话、工作单位、工单号等个人信息后才能用于正式样章。,V0.4,professional;editorial;data_security,none,professional_expert;editor;data_security_officer,yes,name;phone;address;work_order_id;organization,yes,pending,yes,pending,no,personal_info;location;work_order;customer_feedback;service_commitment,pending,effect_promise,commitment;privacy,needs_editorial_review,teaching_only,需避免越权承诺、责任误判和不确定结论外化。,source_adapted,仅用于训练投诉信息采集、初判入口和服务表达边界；不得作为真实客户处理规则或对外承诺。,high,adapted;anonymized;teaching_simulation,not_ready,work_order;form;table;worksheet,original_textbook;ai_rewritten;teaching_simulation,none,not_applicable,pending,pending,not_required,not_applicable,not_started,not_applicable,not_ready,仍需完成专业/编辑/数据安全/媒体/学生正文/平台/教学验证等对应门禁。,按任务风险提交对应复核，并在回填样表通过后再判断是否进入合并建议。,completed,V04-BATCH-P1T3-001,P1-T3暴露客户信息、电话录音、客户授权、服务承诺和反馈表达风险，需要结构化治理字段。
