binding_id,node_id,node_name,binding_target_id,binding_target_title,binding_type,project_id,task_id,resource_type,learning_activity_type,student_action,student_output,assessment_output,binding_status,audit_status,risk_level,source_file,notes
BV04-INC-P2T1-001,P2T1-N01,明确DT/CQT测试任务与验收口径,P2T1-C01,DT/CQT任务目标与口径卡,resource_card,P2,P2-T1,text_card;comparison_table;concept_diagram,task_analysis;data_reading,阅读DT/CQT定义和任务要求，区分路测、定点业务测试、采集数据和验收口径。,测试任务与指标口径确认单,测试任务与指标口径确认单,planned,pending_professional_review,medium,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,NSA/SA内容只作为背景概念，不作为P2-T1能力节点。
BV04-INC-P2T1-002,P2T1-N01,明确DT/CQT测试任务与验收口径,P2T1-W01,测试任务与指标口径确认单,assessment_output,P2,P2-T1,worksheet;rubric,task_analysis;data_checking,填写测试对象、业务类型、需要采集的数据、指标口径和验收边界。,测试任务与指标口径确认单,测试任务与指标口径确认单,planned,pending_editorial_review,medium,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,评价学生能否先明确测试任务，而不是直接开始设备操作。
BV04-INC-P2T1-003,P2T1-N01,明确DT/CQT测试任务与验收口径,P2T1-IMG74-78,组网方式背景图重绘对象,media_review_object,P2,P2-T1,redrawn_image;concept_diagram,concept_reading,对照重绘后的SA/NSA背景图，说明其与本任务测试口径的关系。,测试任务与指标口径确认单,测试任务与指标口径确认单,planned,pending_media_review,medium,assets/media/image74.png;assets/media/image75.png;assets/media/image76.png;assets/media/image77.png;assets/media/image78.png,原图仅作重绘来源，不能直接替代测试任务学习材料。
BV04-INC-P2T1-004,P2T1-N02,准备测试资料、工具设备与入场许可,P2T1-TBL01,测试资料与工具设备核对表,resource_card,P2,P2-T1,table;checklist;worksheet,data_checking;risk_checking,按资料、工具、人员车辆、软件、服务器和测试模板六类核对准备状态。,测试准备核对单,测试准备核对单,planned,pending_editorial_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,设备清单下沉为核对表，避免把GPS、扫频仪、逆变器等拆成节点。
BV04-INC-P2T1-005,P2T1-N02,准备测试资料、工具设备与入场许可,P2T1-PERM01,入场许可与客户接口人核对卡,resource_card,P2,P2-T1,checklist;scenario_card,risk_checking;process_ordering,判断CQT测试是否需要提前申请人员名单、测试时段、工作证和客户接口人确认。,测试准备核对单,测试准备核对单,planned,pending_editorial_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,涉及授权和联系方式，正式教材必须模拟或脱敏。
BV04-INC-P2T1-006,P2T1-N02,准备测试资料、工具设备与入场许可,P2T1-SAFE01,测试准备安全边界卡,resource_card,P2,P2-T1,checklist;text_card,risk_checking,指出哪些操作只能在教师或企业导师指导下进行，哪些只能使用模拟材料。,测试准备核对单,测试准备核对单,planned,pending_teaching_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,补充车辆路测、现场入场和设备供电的训练安全边界。
BV04-INC-P2T1-007,P2T1-N03,配置测试软硬件并完成连通性检查,P2T1-C03,测试设备连接流程卡,resource_card,P2,P2-T1,process_table;checklist,process_ordering;data_checking,按连接顺序检查测试手机、GPS、扫频仪、笔记本、采集软件、license和存储空间。,设备连接与软件配置检查记录,设备连接与软件配置检查记录,planned,pending_professional_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,连接流程需要专业复核，避免把特定厂家软件写成通用流程。
BV04-INC-P2T1-008,P2T1-N03,配置测试软硬件并完成连通性检查,P2T1-W02,设备连接与软件配置检查记录,assessment_output,P2,P2-T1,worksheet;checklist,risk_checking;data_checking,记录设备连接、GPS打点、测试任务配置、FTP业务和LOG保存路径是否可用。,设备连接与软件配置检查记录,设备连接与软件配置检查记录,planned,pending_professional_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,失败项可触发P2-T2设备、软件与数据问题处理。
BV04-INC-P2T1-009,P2T1-N03,配置测试软硬件并完成连通性检查,P2T1-IMG79-82,测试软件界面与设备连接截图重绘对象,media_review_object,P2,P2-T1,redrawn_image;screenshot;process_diagram,process_ordering,根据重绘图识别软件安装、设备连接、创建任务和保存LOG的关键状态。,设备连接与软件配置检查记录,设备连接与软件配置检查记录,planned,pending_media_review,high,assets/media/image79.png;assets/media/image80.png;assets/media/image81.png;assets/media/image82.png,原软件截图需重绘为教学化界面示意，不能裸用。
BV04-INC-P2T1-010,P2T1-N04,规划DT路线与CQT测试场景,P2T1-C04,DT路线规划原则卡,resource_card,P2,P2-T1,text_card;route_map;table,route_planning;boundary_checking,根据站点开通、主干道、重叠区、孤岛站点、连续覆盖和行驶方向选择DT路线。,测试路线与场景规划表,测试路线与场景规划表,planned,pending_professional_review,high,reports/P2-T1详细能力节点主数据增量样表V0.4.csv,路线应使用教学模拟地图或脱敏路线。
