backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P1G-001,node_master,P1T1-N01,P1-T1,detail_capability,明确室内信息采集任务与用途,medium风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,task_boundary;student_text,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,medium,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内采集任务说明卡,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-002,node_master,P1T1-N02,P1-T1,detail_capability,识别室内采集对象和字段类别,high风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,data_field;personal_info;site_location,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,yes,site_location;property_owner_contact;photo_metadata,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内采集字段分类表,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-003,node_master,P1T1-N03,P1-T1,detail_capability,选择并使用室内采集工具,high风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,tool_safety;simulation_boundary,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内采集工具选择单,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-004,node_master,P1T1-N04,P1-T1,detail_capability,完成室内设备与配套信息采集记录,high风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,site_photo;data_security;measurement_safety,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,yes,site_location;property_owner_contact;photo_metadata,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内信息采集记录表,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-005,node_master,P1T1-N05,P1-T1,detail_capability,核查室内采集数据完整性与异常项,medium风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,data_quality;field_consistency,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,medium,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内信息完整性核查单,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-006,node_master,P1T1-N06,P1-T1,detail_capability,输出室内信息采集成果并衔接后续任务,medium风险；室内环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,task_handoff;data_security,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,yes,site_location;property_owner_contact;photo_metadata,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,medium,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室内采集成果包,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-007,node_master,P1T2-N01,P1-T2,detail_capability,明确室外信息采集任务与用途,medium风险；室外环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,task_boundary;student_text,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,medium,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室外采集任务说明卡,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-008,node_master,P1T2-N02,P1-T2,detail_capability,识别室外采集对象和场景类别,high风险；室外环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,site_location;environment_data;data_security,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,yes,site_location;property_owner_contact;photo_metadata,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室外采集字段分类表,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-009,node_master,P1T2-N03,P1-T2,detail_capability,识别塔型、天馈和室外设备信息,high风险；室外环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,media;professional_term;site_photo,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,塔型与天馈识别表,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
BF-V04-P1G-010,node_master,P1T2-N04,P1-T2,detail_capability,完成室外环境与覆盖信息采集记录,high风险；室外环境信息采集受控补拆候选节点，涉及位置、照片、设备、现场安全或数据安全风险，需专业、媒体、数据安全和学生正文复核。,V0.4,professional;editorial;media;data_security;student_text,site_photo;location_data;field_safety,professional_expert;editor;media_editor;data_security_reviewer;course_teacher,no,not_applicable,yes,pending,yes,pending,no,site_location;equipment_photo;property_owner_contact;simulation_boundary,review_pending,none,none,not_applicable,no,不涉及客户服务承诺，但不得写成已通过数据安全、媒体、平台或教学验证。,source_adapted,仅用于训练环境信息采集和记录；正式使用前需脱敏、媒体审查和专业复核。,high,adapted,not_ready,site_form;field_photo;tool_diagram;worksheet,original_textbook;ai_structuring,室外信息采集记录表,after_review,pending,pending,review_pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体审查、数据安全脱敏、学生正文转译、平台验证和真实教学验证。,先完成P1-T1/P1-T2增量结构校验和内部评审，再判断是否短复核或修订。,increment_trial,P1G-V0312-INCREMENT,P1-T1/P1-T2新增环境信息采集、现场安全、位置照片、业主信息和数据安全风险，需要V0.4结构化治理。
