评审对象,评审维度,评审问题,评分1-5,主要问题,修改建议,是否阻断下一阶段
阶段2整书原型,整体闭环,项目四是否形成P4-T1方案实施到P4-T2结果验证再到P4-T3报告输出的教学闭环,,,,
阶段2整书原型,学生可学性,学生能否看懂先学什么、为什么学、做到什么程度算完成,,,,
阶段2整书原型,教师可教性,教师能否据此组织课堂、安排任务、判断学生学习结果,,,,
P4-T1轻量样稿,教材正文质量,方案实施部分是否写成学生能读懂的教材正文而不是大纲或操作清单,,,,
P4-T2深样章,深度样章质量,P4-T2是否仍可作为项目四中最强的质量锚点,,,,
P4-T3轻量样稿,教材正文质量,报告输出部分是否能支撑学生形成职业化表达和证据链报告,,,,
课程能力图谱,图谱支撑作用,图谱是否真实连接任务、资源、活动、评价和教师带教,,,,
课程能力图谱,关系清晰度,节点之间的前置、递进、支撑、回流关系是否清晰,,,,
资源中心,资源治理,资源、活动、评价、审核状态是否能支撑出版社平台上传和后续编辑,,,,
教师带教视图,课堂组织,教师页是否足以说明课堂节奏、提问、讲评、验收和自学布置,,,,
出版编辑视图,出版门禁,质量检测、媒体审查、平台接口、数据回收、版本更新等边界是否表达清楚,,,,
专业准确性,通信专业风险,案例数据、阈值、指标解释、优化建议和结论口径是否存在明显专业风险,,,,
媒体与版权,媒体治理,原教材截图、仿真软件截图、站点/客户/测试数据是否存在发布风险,,,,
阶段判断,下一步选择,当前是否可以选择第二个项目级闭环做复制验证,,,,
阶段判断,阻断事项,如果暂不能进入第二个项目级闭环，最主要阻断点是什么,,,,
