rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P3-T2,任务2：5G网络运行监控,P3,运行监控、告警筛选与指标看板类,AU-04 网管、监控与参数信息管理,task_skeleton_only,未详细拆分；仅有任务骨架、少量关系参与，无详细能力节点和资源挂接,运行监控、告警筛选、指标看板、大表治理和平台数据结构尚未被详细验证,1125,27,343,4,2,网管监控;告警筛选;指标看板;大表治理;软件截图重绘;数据结构;学习记录回收,能检验课程能力图谱是否能处理大规模监控表、指标看板、告警证据与运行态数据，是P4链条稳定后最需要补的类型缺口,体量大且表格信号密集，容易把图谱做成指标表或告警清单；必须先做实施计划，限定拆分窗口和字段口径,推荐作为第七类普通任务增量验证对象；先出实施计划，不直接补拆,89
2,P3-T4,任务4：5G网络参数设置,P3,参数配置、授权变更与回退记录类,AU-04 网管、监控与参数信息管理;AU-06 优化实施与变更记录,task_skeleton_only,未详细拆分；P3-T3验证参数检查，P4-T1验证优化实施，但参数配置动作尚未验证,参数设置、配置授权、回退记录、误操作风险和网管截图治理尚未形成详细节点,387,23,0,6,2,网管配置操作;邻区增删;参数变更;授权审批;误操作风险;回退记录;截图重绘,能补齐从参数检查到参数设置的动作转换，检验配置授权和回退证据能否进入主数据,与P3-T3参数检查和P4-T1优化实施主题重合度较高；若作为第七类首选，会继续停留在参数/变更链条,第二候选；适合在P3-T2大表监控类验证后做参数配置专项,84
3,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程识读与协议证据基础类,AU-10 信令分析与复杂问题复盘,task_skeleton_only,未详细拆分；P6-T2已验证复杂问题分析，但P6-T1基础信令流程尚未展开,信令流程、协议步骤、消息含义和问题分析前置基础尚未形成低门槛学习节点,428,25,0,3,1,信令流程图;协议消息;流程解析;专业术语;媒体重绘;低门槛解释,能检验课程能力图谱能否处理高专业门槛的流程类基础知识，并支撑P6-T2问题复盘,P6-T2已覆盖复杂复盘，新增类型价值弱于P3-T2；专业术语密度高，学生端正文难度大,第三候选；适合后续作为信令基础知识可视化专项,80
4,P5-T1,任务1 5G全网性能指标采集,P5,全网性能指标采集与口径确认类,AU-09 全网性能提升与复测,task_skeleton_only,未详细拆分；P5-T3已验证性能提升结果验证，但P5-T1指标采集尚未展开,全网指标采集、统计口径、数据来源和采集记录尚未详细验证,1224,15,0,14,2,全网指标;采集口径;数据来源;统计周期;指标解释;数据可信度,能补齐P5-T3验证之前的数据入口，检验指标采集口径与后续验证节点的衔接,体量大，且P5-T3已覆盖AU-09主线，新增能力单元价值不如P3-T2,第四候选；适合在监控类和参数配置类之后补齐P5项目入口,78
5,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施与过程记录类,AU-09 全网性能提升与复测;AU-06 优化实施与变更记录,task_skeleton_only,未详细拆分；P4-T1已验证实施变更，P5-T3已验证提升结果,全网性能提升实施动作、过程记录和适用边界尚未详细验证,709,7,4,8,2,提升实施;过程记录;适用边界;多指标协同;复测交接,能连接P5-T1指标采集和P5-T3提升验证，形成P5项目内部链条,与P4-T1优化实施和P5-T3验证重复度较高；不宜在第七类继续选实施类,第五候选；待P5入口和监控类稳定后再考虑,76
6,P1-T1,任务1：室内环境信息采集,P1,室内场景信息采集类,AU-01 场景、站点与投诉信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集和客户沟通,室内环境、站点/楼宇信息、现场记录和测点资料尚未详细验证,481,37,74,5,0,室内场景;楼宇信息;测点记录;现场照片;表格治理;隐私边界,能补AU-01非投诉类现场信息采集，支撑后续DT/CQT和优化任务入口,图片和表格较多，且与P1-T3同属信息采集，类型差异不如P3-T2,第六候选；适合后续补齐P1项目入口,74
7,P1-T2,任务2：室外环境信息采集,P1,室外场景信息采集类,AU-01 场景、站点与投诉信息采集,task_skeleton_only,未详细拆分；P1-T3已验证投诉信息采集和客户沟通,室外站点、路线、环境信息和现场记录尚未详细验证,378,37,4,6,0,室外场景;站点信息;路线环境;现场记录;媒体重绘,能补AU-01室外信息采集，支撑测试准备和网络优化前置材料,与P1-T1/P1-T3同属信息采集；新增类型价值和紧迫性低于P3-T2,第七候选；可与P1-T1合并规划，不单独优先,72
8,P3-T1,任务1：5G网管架构和功能,P3,网管系统认知与功能导航类,AU-04 网管、监控与参数信息管理,task_skeleton_only,未详细拆分；P3-T2/P3-T3/P3-T4均需要它作为基础，但自身偏认知入口,网管架构、功能模块、权限入口和界面导航尚未形成详细节点,310,27,0,11,0,网管架构;功能导航;权限边界;软件截图;术语解释,能为P3-T2运行监控和P3-T4参数设置提供系统入口基础,偏基础认知，职业任务产出弱；若先做会变成系统介绍，不如直接验证P3-T2,第八候选；可作为P3-T2实施计划中的前置节点补充,70
9,P4-T3,任务3：5G网络优化报告输出,P4,报告输出、证据链表达与交付口径类,AU-08 优化报告与职业表达,detailed_nodes_merged_v036,已作为第六类普通任务增量验证对象并合并V0.3.6,P4-T3已形成6个详细节点、30条关系、19条挂接，当前不是新增类型缺口,308,3,17,16,6,报告结构;证据链;结论边界;职业表达;发布口径,已补齐P4链条中报告输出环节，适合后续做专业复核和资源生产，不适合再作为第七类候选,重复验证价值低；继续做会从主数据治理转向页面或资源生产,已覆盖，不作为第七类普通任务首选,62
10,P4-T1,任务1：5G网络优化方案实施,P4,优化实施与工程变更类,AU-05 网络问题定位与方案制定;AU-06 优化实施与变更记录,detailed_nodes_merged_v035,已作为第五类普通任务增量验证对象并合并V0.3.5；项目四链条V0.3.6已通过条件评审,P4-T1已形成详细节点并支撑P4-T2/P4-T3闭环，当前缺口转为专业复核和媒体治理,613,38,78,13,2,工程实施;参数变更;跨专业协同;变更记录;责任边界,已验证工程实施和变更记录类主数据承接能力,重复验证价值低；后续重点是复核与资源治理，不是再选为新增任务,已覆盖，不作为第七类普通任务首选,60
11,P4-T2,任务2：5G网络优化结果验证,P4,结果验证深样章与验收判断类,AU-07 优化结果验证与验收判断,deep_sample_and_v02_representative,已作为深样章和V0.2代表任务；项目四链条V0.3.6已通过条件评审,P4-T2不是未验证缺口，当前问题在真实教学验证、媒体治理和专家复核,1252,63,28,12,3,结果验证;验收判断;未闭环识别;深样章呈现,已支撑任务级教材样章和P4项目链条中间环节,体量大且已深展开；继续选择会误入页面迭代,已覆盖，不作为第七类普通任务首选,58
12,P2-T1,任务1: DT/CQT测试准备和执行,P2,测试准备与执行类,AU-02 测试准备与测试执行,detailed_nodes_merged_v034,已作为第四类普通任务增量验证对象并合并V0.3.4,已验证测试准备、设备连接、路线规划和数据采集入口,362,9,41,187,2,工具设备;现场测试;路线规划;数据采集;实训安全,已补齐AU-02关键链路，支撑P2-T2/P2-T3,已覆盖；测评信号密集，继续做不增加第七类类型价值,已覆盖，不作为第七类普通任务首选,56
