backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P4T1-001,node_master,P4T1-N01,P4-T1,detail_capability,明确优化对象与实施边界,medium风险；需确认前序整改建议和参数异常清单是否足以进入实施,V0.4,professional;editorial;student_text,procedure;data_source,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,not_applicable,source_adapted,仅用于训练优化对象和实施边界确认；不代表真实项目已经具备实施条件。,medium,adapted,not_ready,text,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、学生正文和教学验证门禁。,补充教学化情境和专业复核意见后再判断是否进入主数据合并建议。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-002,node_master,P4T1-N02,P4-T1,detail_capability,区分优化动作类型与责任边界,high风险；可能误把天线、无线、承载、核心网真实操作写成学生动作,V0.4,professional;editorial;teaching_validation,procedure;authorization;publication_boundary,professional_expert;editor;teaching_reviewer,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,none,none,not_applicable,teaching_only,必须避免将工程授权动作写成学生可自行执行。,source_adapted,仅训练动作类型和责任边界判断；不得作为真实工程授权说明。,high,adapted,not_ready,table,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业责任边界和教学验证门禁。,由专业教师确认四类优化动作的责任边界和学生可训练范围。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-003,node_master,P4T1-N03,P4-T1,detail_capability,读取关键参数与变更依据,high风险；涉及网管或仿真软件截图、参数口径和变更依据,V0.4,professional;media;editorial;student_text,tool_screenshot;terminology;data_source,professional_expert;media_designer;editor,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,none,none,not_applicable,teaching_only,参数解释和界面说明未经复核不得作为学生正式材料。,source_adapted,仅用于训练参数依据识读；不得裸用原软件截图或真实参数。,high,adapted;redrawn,not_ready,screenshot;table,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,pending,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核、媒体重绘和学生正文门禁。,重绘参数界面并提交专业教师确认参数含义和适用边界。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-004,node_master,P4T1-N04,P4-T1,detail_capability,制定实施步骤与风险回退检查,high风险；实施步骤可能被误读为真实工程操作流程,V0.4,professional;editorial;teaching_validation,procedure;authorization;publication_boundary,professional_expert;editor;teaching_reviewer,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,none,none,not_applicable,teaching_only,学生材料只能训练受控实施思路，不得引导越权操作真实网络。,source_adapted,仅用于教学模拟场景下的步骤排序和风险回退训练。,high,adapted;teaching_simulation,not_ready,worksheet,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需确认实施步骤是否符合授权和教学安全边界。,补充回退条件、影响范围和复核人要求后提交内部评审。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-005,node_master,P4T1-N05,P4-T1,detail_capability,记录实施结果与变更凭据,high风险；变更记录可能包含真实网元、参数、站点或工程记录,V0.4,professional;editorial;data_security;teaching_validation,procedure;data_source;authorization,professional_expert;editor;data_security_officer;teaching_reviewer,no,not_applicable,pending,pending,yes,pending,no,location;work_order,pending,none,none,not_applicable,teaching_only,变更记录模板必须使用教学模拟或脱敏数据，不得暴露真实网元和工程记录。,teaching_simulation,仅用于训练变更记录完整性和证据归集；真实工程记录不得公开。,high,adapted;teaching_simulation;anonymized,not_ready,form,original_textbook;ai_rewritten;teaching_simulation,work_order;professional_conclusion,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成数据安全、专业和教学验证门禁。,制作教学模拟变更记录模板并明确脱敏规则。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-006,node_master,P4T1-N06,P4-T1,detail_capability,形成复测验证入口并交接P4-T2,medium风险；容易把已实施误写成已达标,V0.4,professional;editorial;student_text;teaching_validation,case_logic;conclusion;data_source,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,uncertain_conclusion,none,not_applicable,teaching_only,学生端必须区分已实施、待验证和已达标三种状态。,source_adapted,仅用于形成复测验证入口；最终达标判断必须进入P4-T2。,medium,adapted,not_ready,worksheet,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需完成专业复核和学生正文门禁。,与P4-T2验证任务对齐复测指标和交接材料口径。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-007,binding_master,P4T1-IMG01,P4-T1,media_asset_review,原教材仿真软件截图组,high风险；image228至image232等截图涉及非通用仿真软件界面,V0.4,media;professional;editorial,tool_screenshot;procedure;publication_boundary,media_designer;professional_expert;editor,no,not_applicable,no,not_needed,yes,pending,no,none,not_required,none,none,not_applicable,no,原截图不得直接作为正式学生端媒体。,source_adapted,仅作为内部分析和重绘来源；不得裸进正式资源包。,high,redrawn,not_ready,screenshot,original_textbook,professional_conclusion,after_review,pending,pending,pending,not_applicable,not_applicable,not_started,not_ready,仍需媒体审查、去厂商化重绘和专业确认。,形成教学化参数界面重绘稿并记录来源边界。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-008,binding_master,P4T1-CASE01,P4-T1,resource_card,CSI-RS配置问题案例材料,high风险；案例涉及参数配置、信令和速率变化结论,V0.4,professional;editorial;student_text,case_logic;conclusion;data_source,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,uncertain_conclusion,none,not_applicable,teaching_only,案例只能用于教学分析，不得写成通用优化处方。,source_adapted,用于说明参数配置不一致可能影响性能；需专业复核适用边界。,high,adapted,not_ready,case,original_textbook;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需专业复核案例逻辑和指标口径。,提交通信专业教师复核CSI-RS案例表达和适用范围。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-009,binding_master,P4T1-W05,P4-T1,assessment_output,优化实施变更记录模板,high风险；变更记录训练对象可能被误认为真实工程记录模板,V0.4,professional;editorial;data_security;teaching_validation,procedure;authorization;data_source,professional_expert;editor;data_security_officer;teaching_reviewer,no,not_applicable,pending,pending,yes,pending,no,location;work_order,pending,none,none,not_applicable,teaching_only,模板必须明确教学模拟和脱敏边界。,teaching_simulation,仅用于课堂训练变更记录完整性；不得直接用于真实网络变更。,high,teaching_simulation;anonymized,not_ready,form,ai_rewritten;teaching_simulation,work_order;professional_conclusion,after_redaction,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需数据安全和教学验证门禁。,生成教学模拟样表并由专业教师确认字段是否合理。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
BF-V04-P4T1-010,binding_master,P4T1-W06,P4-T1,assessment_output,复测验证交接清单,medium风险；交接材料可能误导为优化结果已经通过,V0.4,professional;editorial;student_text,conclusion;data_source,professional_expert;editor;course_teacher,no,not_applicable,no,not_needed,no,not_applicable,no,none,not_required,uncertain_conclusion,none,not_applicable,teaching_only,必须说明交接清单不是验收结论。,source_adapted,用于衔接P4-T2验证场景识别；不得替代结果验证。,medium,adapted,not_ready,worksheet,ai_rewritten;teaching_simulation,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_applicable,not_started,not_ready,仍需与P4-T2验证任务口径对齐。,补充P4-T2复测指标和数据源选择规则后再进入评审。,completed,V04-BATCH-P4T1-001,P4-T1新增优化实施、参数变更、工程责任和复测交接风险，需要V0.4结构化治理。
