rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P5-T1,任务1 5G全网性能指标采集,P5,全网指标采集与指标口径治理类,AU-09,V0.3.9中仅有项目任务骨架，尚无详细能力节点、资源活动评价挂接和风险治理记录,未作为普通任务完成补拆验证；仅通过P5-T3验证链间接受到关注,全网性能指标采集、指标口径、统计周期、数据源可信度、网管/平台截图教学化均未形成节点级治理,1224,15,0,14,2,指标口径;统计周期;数据源可信度;采集边界;网管截图重绘;低门槛读数正文,补齐P5项目入口，验证全网指标采集类任务能否被图谱化、教材化和活动化组织，并支撑P5-T3验证链条,指标解释和阈值不能自行定稿；必须保留专业复核、媒体审查和教学验证门禁,推荐作为第十类普通任务增量验证对象；先形成实施计划，不直接补拆、不进入页面或资源生产,89
2,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施与方案执行类,AU-09,V0.3.9中仅有项目任务骨架，尚无详细能力节点,未完成补拆验证；与P5-T3存在方案实施到效果验证的跨任务关系,提升方案执行、参数/策略调整、实施记录、回退边界和复测交接尚未图谱化,709,7,4,8,2,方案适用边界;实施责任;变更记录;回退策略;复测交接,可补齐P5项目中段，使指标采集、提升实施和验证闭环更完整,应在P5-T1指标入口稳定后再做，否则实施节点缺少数据基线支撑,第二候选；建议在P5-T1之后推进,83
3,P3-T1,任务1：5G网管架构和功能,P3,网管架构认知与系统功能入口类,AU-04,V0.3.9中仅有项目任务骨架，P3-T2/T3/T4已形成较稳定主链,未完成补拆验证；项目三链条复评已确认P3-T1暂不作为当时首选,网管架构、功能模块、系统入口和后续监控/参数任务的先修关系尚未详细化,310,27,0,11,0,系统架构抽象;软件界面截图;功能入口解释;学生入门门槛,可补齐P3项目入口，改善P3-T2/T3/T4前置认知,项目三主链已较稳定，边际验证价值低于P5-T1,第三候选；后续可作为P3入口补齐，不作为第十类首选,80
4,P1-T1,任务1：室内环境信息采集,P1,室内环境信息采集与现场记录类,AU-01,V0.3.9中仅有项目任务骨架，尚无详细能力节点,未完成补拆验证；P1-T3已覆盖投诉信息采集和隐私服务表达,室内场景、站点/楼宇信息、现场记录、图片标注和数据安全边界未形成节点级治理,481,37,74,5,0,现场安全;位置与隐私数据;图片标注;环境记录真实性;表格采集质量,可补齐P1项目入口，验证现场采集类任务,与P1-T2同属环境采集，建议后续成组规划，避免一次只做室内导致P1项目链不完整,第四候选；建议与P1-T2联动规划后推进,76
5,P1-T2,任务2：室外环境信息采集,P1,室外环境信息采集与路测场景记录类,AU-01,V0.3.9中仅有项目任务骨架，尚无详细能力节点,未完成补拆验证；P1-T3已覆盖投诉入口但未覆盖室外环境采集,室外道路/站点环境、测试路线、场强环境和现场图像治理尚未图谱化,378,37,4,6,0,路线位置数据;现场安全;图片重绘/标注;采集边界;任务真实性,可补齐室外采集任务，为后续测试和优化链提供输入材料,应与P1-T1协同规划，当前单独作为第十类首选的验证价值低于P5-T1,第五候选；建议与P1-T1合并规划,74
6,P5-T3,任务3 5G全网性能提升验证,P5,全网性能提升验证类,AU-09,已有7个详细能力节点、19个媒体资产节点和42条挂接，属于已展开代表任务,已作为V0.2/V2代表任务试拆并进入V0.3.9主数据；仍需专业复核和媒体治理,不是新增任务类型缺口；主要缺口是媒体重绘、专业阈值复核和学生正文,344,20,0,26,12,指标阈值;媒体截图;验证口径;未闭环入口,可作为P5-T1的后续支撑和对照，不适合作为第十类新增对象,已覆盖，继续做它会重复消耗验证轮次,已覆盖，不作为第十类首选,68
7,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程识读与协议证据基础类,AU-10,已有8个详细能力节点和24条挂接，已并入V0.3.9,已完成第九类增量验证、结构校验、内部评审、短复核和V0.3.9合并,主要缺口是专业术语复核、媒体重绘和学生正文，不是新增对象选择缺口,428,25,0,3,1,协议术语;流程图重绘;学生低门槛解释;P6T1-N08边界,已完成本轮验证目标，可作为P5-T1方法参照,重复选择不能扩大任务类型覆盖,已覆盖，不作为第十类首选,66
8,P6-T2,任务2 5G信令问题分析及优化,P6,复杂信令问题分析与复盘类,AU-10,已有7个详细能力节点和25条挂接，P6项目V0.4补齐已覆盖风险治理,已作为V0.2/V2代表任务试拆，并完成P6项目V0.4补齐内部评审,后续缺口是专业复核、媒体重绘、学生正文和平台验证,308,15,0,5,1,信令日志安全;问题分类;接入/切换/掉线排查;优化建议边界,已完成代表性验证，不适合作为下一新增对象,再次选择会重复P6项目，而不是扩展全书覆盖,已覆盖，不作为第十类首选,65
9,P3-T2,任务2：5G网络运行监控,P3,运行监控与告警指标类,AU-04,已有6个详细能力节点和19条挂接，已并入V0.3.7后续基线,已完成第七类增量验证、结构校验、内部评审、短复核和合并,主要剩余为大表治理、软件截图、专业指标口径复核,1125,27,343,4,2,大表拆解;告警指标;软件截图;数据口径,已验证运行监控类任务，不作为新增对象,已覆盖，当前不宜重复,已覆盖，不作为第十类首选,62
10,P3-T4,任务4：5G网络参数设置,P3,参数设置与工程变更类,AU-04;AU-06,已有6个详细能力节点和18条挂接，已并入V0.3.8后续基线,已完成第八类增量验证、结构校验、内部评审、短复核和合并,主要剩余为参数专业复核、媒体审查和变更责任边界,387,23,0,6,2,参数变更;工程授权;回退边界;软件截图,已验证参数设置类任务,已覆盖，不宜重复作为第十类首选,已覆盖，不作为第十类首选,61
11,P3-T3,任务3：5G网络参数检查,P3,参数检查与配置管理类,AU-04;AU-05,已有6个详细能力节点和22条挂接，已并入早期后续基线,已完成增量验证、修订、结构校验、短复核和合并,专业参数、公式和多网元截图仍需复核,967,39,79,6,2,无线/传输/核心网参数;公式;软件截图;专业阈值,已验证参数检查类任务,已覆盖，不宜重复,已覆盖，不作为第十类首选,60
12,P4-T1,任务1：5G网络优化方案实施,P4,优化方案实施与变更记录类,AU-05;AU-06,已有6个详细能力节点和18条挂接，已并入V0.3.5后续基线,已完成第五类增量验证、结构校验、内部评审、短复核和合并,实施责任、工程授权、媒体截图和专业边界仍需复核,613,38,78,13,2,工程授权;参数变更;协同责任;回退记录,已验证优化实施类任务,已覆盖，不作为下一新增对象,已覆盖，不作为第十类首选,58
