rank,task_id,task_title,project_id,task_type,ability_unit_focus,current_graph_status,validated_status,unverified_gap,line_count,image_count,table_line_count,quiz_signal_count,case_signal_count,new_risk_focus,verification_value,main_limit,recommendation,score
1,P3-T1,任务1：5G网管架构和功能,P3,网管架构认知与系统功能入口类,AU-04,V0.3.11中仍仅有项目任务骨架；P3-T2、P3-T3、P3-T4均已形成详细能力节点，项目三入口任务成为唯一骨架缺口,未完成补拆验证；此前多轮候选中作为第二/第三梯队保留，尚未进入受控补拆,网管架构、功能模块、系统入口、监控/参数任务先修关系、软件界面截图教学化和学生入门门槛尚未形成节点级治理,310,27,0,11,0,系统架构抽象;软件界面截图;功能入口解释;学生入门门槛;先修关系,补齐项目三入口，使P3-T1到P3-T2/T3/T4形成完整项目链；验证认知入口类任务如何转化为可学习、可评价、可挂接的能力节点,容易写成软件功能介绍或目录说明；必须转化为学生能完成的识别、匹配、定位和说明动作，且界面截图仍需媒体审查,推荐作为第十一类普通任务增量验证对象；先形成实施计划，不直接补拆、不进入页面或资源生产,90
2,P1-T1,任务1：室内环境信息采集,P1,室内环境信息采集与现场记录类,AU-01,V0.3.11中仅有项目任务骨架；P1-T3已详细化，P1-T1/P1-T2均未补拆,未完成补拆验证；P1-T3已覆盖投诉信息采集和隐私服务表达，但未覆盖室内现场信息采集,室内场景、楼宇/站点信息、现场记录、图片标注、位置与隐私边界、采集质量检查未形成节点级治理,481,37,74,5,0,现场安全;位置与隐私数据;图片标注;环境记录真实性;表格采集质量,可补齐P1项目现场采集入口，验证室内场景信息采集类任务的图谱化表达,与P1-T2同属环境采集，建议成组规划；单独处理P1-T1会使P1项目入口仍不完整,第二候选；建议在P3-T1后与P1-T2联动规划,86
3,P1-T2,任务2：室外环境信息采集,P1,室外环境信息采集与路测场景记录类,AU-01,V0.3.11中仅有项目任务骨架；P1-T1/P1-T2均未补拆，P1-T3已详细化,未完成补拆验证；P1-T3已覆盖投诉入口，但未覆盖室外道路、站点周边和路测前环境采集,室外道路/站点环境、测试路线、场强环境、现场图像治理、路线位置数据和任务真实性尚未图谱化,378,37,4,6,0,路线位置数据;现场安全;图片重绘/标注;采集边界;任务真实性,可补齐室外采集任务，为测试准备、数据分析和优化链条提供现场输入材料,应与P1-T1协同规划；单独处理P1-T2容易造成室内/室外采集字段和风险治理口径不一致,第三候选；建议与P1-T1成组规划后推进,84
4,P5-T1,任务1 5G全网性能指标采集,P5,全网指标采集与指标口径治理类,AU-09,已有8个详细能力节点，已并入V0.3.10并由V0.3.11接续,已完成第十类增量验证、结构校验、内部评审、短复核和主数据合并,专业指标口径、阈值、媒体截图、学生正文和真实教学验证仍未完成，但不是第十一类新增任务对象缺口,1224,15,0,14,2,指标口径;统计周期;数据源可信度;采集边界;网管截图重绘,已补齐P5项目入口，可作为P3-T1补拆的治理参照,重复选择不能扩大任务类型覆盖,已覆盖，不作为第十一类首选,70
5,P5-T2,任务2 5G全网性能提升实施,P5,全网性能提升实施与方案执行类,AU-09,已有9个详细能力节点，已并入V0.3.11,已完成P5-T2补拆验证、结构校验、内部评审、短复核和V0.3.11合并,专业参数、工程授权、媒体重绘、案例脱敏和学生正文仍需后续处理,709,7,4,8,2,方案适用边界;实施责任;变更记录;回退策略;复测交接,已补齐P5项目中段，项目五链条已通过内部评审和V0.4补齐,重复选择会回到刚完成的项目五，不利于剩余骨架任务收口,已覆盖，不作为第十一类首选,69
6,P5-T3,任务3 5G全网性能提升验证,P5,全网性能提升验证类,AU-09,已有7个详细能力节点；P5项目V0.4补齐已补足风险治理口径,已作为V0.2/V2代表任务展开，并完成P5项目V0.4补齐内部评审,主要缺口是媒体重绘、专业阈值复核和学生正文，不是新增任务类型缺口,344,20,0,26,12,指标阈值;媒体截图;验证口径;未闭环入口,项目五链条已稳定到可进入下一轮候选选择,再次选择会重复P5项目,已覆盖，不作为第十一类首选,68
7,P6-T1,任务1 5G关键信令流程及解析,P6,信令流程识读与协议证据基础类,AU-10,已有8个详细能力节点，已并入V0.3.9,已完成第九类增量验证、结构校验、内部评审、短复核和合并,主要缺口是专业术语复核、媒体重绘和学生正文,428,25,0,3,1,协议术语;流程图重绘;学生低门槛解释;P6T1-N08边界,已验证高专业门槛流程类任务,重复选择不能扩大剩余任务覆盖,已覆盖，不作为第十一类首选,66
8,P6-T2,任务2 5G信令问题分析及优化,P6,复杂信令问题分析与复盘类,AU-10,已有7个详细能力节点，P6项目V0.4补齐已覆盖风险治理,已作为V0.2/V2代表任务展开，并完成P6项目V0.4补齐内部评审,后续缺口是专业复核、媒体重绘、学生正文和平台验证,308,15,0,5,1,信令日志安全;问题分类;接入/切换/掉线排查;优化建议边界,已验证复杂复盘类任务,重复选择会回到已补齐项目,已覆盖，不作为第十一类首选,65
9,P3-T2,任务2：5G网络运行监控,P3,运行监控与告警指标类,AU-04,已有6个详细能力节点，已并入V0.3.7后续基线,已完成第七类增量验证、结构校验、内部评审、短复核和合并,主要剩余为大表治理、软件截图、专业指标口径复核,1125,27,343,4,2,大表拆解;告警指标;软件截图;数据口径,已验证运行监控类任务；可作为P3-T1后续指向任务,已覆盖，当前不宜重复,已覆盖，不作为第十一类首选,63
10,P3-T4,任务4：5G网络参数设置,P3,参数设置与工程变更类,AU-04;AU-06,已有6个详细能力节点，已并入V0.3.8后续基线,已完成第八类增量验证、结构校验、内部评审、短复核和合并,主要剩余为参数专业复核、媒体审查和变更责任边界,387,23,0,6,2,参数变更;工程授权;回退边界;软件截图,已验证参数设置类任务,已覆盖，不宜重复作为第十一类首选,已覆盖，不作为第十一类首选,62
