"node_id","node_name","node_layer","basis","job_process","related_tasks","capability_goal","resource_types","learning_activities","assessment_output","audit_status","notes"
"JP-01","明确场景与需求","岗位工作过程","职业教育关键要素改革；专业教学标准","从站点、场景、投诉和业务需求明确问题对象","P1-T1;P1-T2;P1-T3","能把环境、站点和投诉信息转化为后续测试和优化需求","采集表;场景图;投诉记录;任务单","信息核验;投诉线索分类;场景标签整理","需求识别记录;投诉到验证对象映射","待专家复核","替代V1中的项目一目录化表达。"
"JP-02","组织测试与采集数据","岗位工作过程","专业教学标准；赛项规程","设计并执行DT/CQT、业务体验和专项测试","P2-T1","能根据需求准备测试工具、路线、业务和记录方式","测试任务书;路线图;测试工具清单","流程排序;测试准备核对;数据采集记录","测试执行记录","待专家复核","强调测试是工作过程，不只是项目二标题。"
"JP-03","整理数据与识读指标","岗位工作过程","专业教学标准；数字教材标准","整理测试、监控、参数和日志，形成可判断数据基础","P2-T2;P2-T3;P3-T2;P3-T3","能读取覆盖、干扰、切换、容量、体验和监控参数","指标表;日志;监控表;参数表;图表","读表标注;指标匹配;异常识别","数据分析结论;异常清单","待专家复核","连接P2和P3，避免按项目割裂数据能力。"
"JP-04","定位问题与制定方案","岗位工作过程","专业教学标准；国家职业技能标准","定位网络问题并形成可实施优化方案","P2-T2;P3-T3;P4-T1","能基于数据判断问题类型、原因和优化动作","问题清单;参数对比;优化方案卡","问题归因;优化动作匹配;方案选择","优化方案;问题定位依据","待专家复核","需要后续补行业规范和专业教师复核。"
"JP-05","实施优化与记录变更","岗位工作过程","国家职业技能标准；赛项规程","执行参数、工程、容量或策略优化并记录变更","P3-T4;P4-T1","能按方案执行优化动作并保留变更依据","参数设置流程;操作记录;变更表","步骤排序;风险提示;变更记录","优化实施记录","待专家复核","记录变更是后续结果验证的前置条件。"
"JP-06","验证效果与表达结论","岗位工作过程","专业教学标准；数字教材标准","复测优化效果，形成判断、依据、边界和报告表达","P4-T2;P4-T3","能验证是否达标，并形成可提交的职业表达","指标表;结论卡;学习单;报告模板","投诉归类;指标标注;依据分类;结论拼装","验收结论;优化报告","P4-T2已样章QA;专业复核未完成","当前深样章所在主链节点。"
"JP-07","持续提升与复杂复盘","岗位工作过程","专业教学标准；国家职业技能标准","对未闭环问题继续性能提升、信令分析和复盘","P5-T1;P5-T2;P5-T3;P6-T1;P6-T2","能对全网性能和复杂信令问题做持续优化","全网KPI;信令流程图;复盘报告","性能对比;信令流程标注;复杂问题复盘","性能提升验证;信令分析结论","四任务横向评审有条件通过；待专家复核","已由P5-T3验证AU-09，由P6-T2首次验证AU-10；仍不得写成专业审核通过。"
"AU-01","场景、站点与投诉信息采集","能力单元","专业教学标准","JP-01","P1-T1;P1-T2;P1-T3","能采集并整理站点、环境、投诉和场景信息","采集表;投诉单;场景图","采集核验;投诉归类","采集清单;投诉映射","待细化","后续可细拆为室内、室外、投诉三个子节点。"
"AU-02","测试准备与测试执行","能力单元","专业教学标准","JP-02","P2-T1","能完成DT/CQT测试准备和执行","测试任务书;路线图;工具清单","测试准备核对;流程排序","测试执行记录","待细化","适合转化为流程类互动。"
"AU-03","测试问题处理与数据分析","能力单元","专业教学标准","JP-03","P2-T2;P2-T3","能处理测试问题并分析测试数据","测试指标表;问题日志;轨迹图","读表标注;问题归因","测试数据分析结论","待细化","为P4-T2指标读法提供前置能力。"
"AU-04","网管、监控与参数信息管理","能力单元","专业教学标准","JP-03","P3-T1;P3-T2;P3-T3;P3-T4","能识别网管功能、监控运行状态并管理参数","网管结构图;监控表;参数表","运行状态读表;参数检查","监控异常记录;参数异常清单","待细化","需要处理原教材大量表格和仿真截图。"
"AU-05","网络问题定位与方案制定","能力单元","国家职业技能标准","JP-04","P2-T2;P3-T3;P4-T1","能从现象和数据定位问题并选择优化动作","问题清单;方案卡;参数对比","问题归因;动作匹配","优化方案草案","待细化","是从数据到行动的关键能力。"
"AU-06","优化实施与变更记录","能力单元","国家职业技能标准","JP-05","P3-T4;P4-T1","能执行优化方案并保留变更记录","操作流程;变更记录表","步骤排序;风险确认","优化实施记录","待细化","是结果验证的直接前置。"
"AU-07","优化结果验证","能力单元","专业教学标准；数字教材标准","JP-06","P4-T2","能判断优化是否达标，并说明依据和边界","指标表;投诉线索卡;学习单;结论卡","投诉归类;流程排序;指标标注;依据分类","验收结论","已深展开;待专业复核","P4-T2八个深节点挂接于此。"
"AU-08","优化报告与职业表达","能力单元","专业教学标准；数字教材标准","JP-06","P4-T3","能将验证结论整理为优化报告和可讲评表达","报告模板;结论示例;修改量规","报告结构组织;结论修订","优化报告输出样例","待细化","建议从V1的CG-05中拆出为表达能力。"
"AU-09","全网性能提升与复测","能力单元","专业教学标准","JP-07","P5-T1;P5-T2;P5-T3","能采集全网指标、实施性能提升并复测效果","全网KPI;性能对比图;复测记录","性能对比;方案选择;复测判断","性能提升验证结论","P5-T3已试拆；有条件成立；待专业复核和媒体审查","P5-T3七个详细节点挂接于此，承接P4-T2未闭环边界。"
"AU-10","信令分析与复杂问题复盘","能力单元","专业教学标准；赛项规程","JP-07","P6-T1;P6-T2","能解析关键流程并定位复杂信令问题","信令流程图;异常日志;复盘单","流程标注;异常定位;复盘表达","信令分析结论","P6-T2已试拆；有条件成立；待专业复核和媒体审查","P6-T2七个详细节点挂接于此，专业风险高，需信令专家复核。"
"P4T2-N01","识别验证场景","详细能力节点","AU-07","JP-06","P4-T2","能从投诉、场景和优化动作中判断本次验收要验证什么","情境任务卡;投诉线索卡","投诉线索归类","投诉到验证对象映射","样章已实现;待专业复核","P4-T2深展开节点。"
"P4T2-N02","区分改善与达标","详细能力节点","AU-07","JP-06","P4-T2","能说明改善不等于全部验收通过","改善与达标解释卡;边界表达卡","结论边界修正","已达标依据和未闭环边界","样章已实现;待专业复核","支撑职业表达边界。"
