v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV03-0001,CG-01,信息采集,CG-02,网络测试,precedes,课程主链递进,信息采集进入网络测试,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0002,CG-02,网络测试,CG-03,信息管理,precedes,课程主链递进,网络测试进入信息管理,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0003,CG-03,信息管理,CG-04,优化实施,precedes,课程主链递进,信息管理进入优化实施,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0004,CG-04,优化实施,CG-05,结果验证,precedes,课程主链递进,优化实施进入结果验证,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0005,CG-05,结果验证,CG-06,性能提升,precedes,课程主链递进,结果验证进入性能提升,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0006,CG-06,性能提升,CG-07,信令分析,precedes,课程主链递进,性能提升进入信令分析,,,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,1,current
EV03-0007,CG-01,信息采集,P1,项目一：5G网络信息采集,contains,主链挂接项目,项目一：5G网络信息采集挂接到CG-01,,P1-T1;P1-T2;P1-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0008,P1,项目一：5G网络信息采集,P1-T1,任务1：室内环境信息采集,contains,项目包含任务,项目一：5G网络信息采集包含任务1：室内环境信息采集,,P1-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0009,P1,项目一：5G网络信息采集,P1-T2,任务2：室外环境信息采集,contains,项目包含任务,项目一：5G网络信息采集包含任务2：室外环境信息采集,,P1-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0010,P1,项目一：5G网络信息采集,P1-T3,任务3：投诉信息采集,contains,项目包含任务,项目一：5G网络信息采集包含任务3：投诉信息采集,,P1-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0011,CG-02,网络测试,P2,项目二：5G网络测试,contains,主链挂接项目,项目二：5G网络测试挂接到CG-02,,P2-T1;P2-T2;P2-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0012,P2,项目二：5G网络测试,P2-T1,任务1：DT/CQT测试准备和执行,contains,项目包含任务,项目二：5G网络测试包含任务1：DT/CQT测试准备和执行,,P2-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0013,P2,项目二：5G网络测试,P2-T2,任务2：5G网络测试问题处理,contains,项目包含任务,项目二：5G网络测试包含任务2：5G网络测试问题处理,,P2-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0014,P2,项目二：5G网络测试,P2-T3,任务3：5G网络测试数据分析,contains,项目包含任务,项目二：5G网络测试包含任务3：5G网络测试数据分析,,P2-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0015,CG-03,信息管理,P3,项目三：5G网络信息管理,contains,主链挂接项目,项目三：5G网络信息管理挂接到CG-03,,P3-T1;P3-T2;P3-T3;P3-T4,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0016,P3,项目三：5G网络信息管理,P3-T1,任务1：5G网管架构和功能,contains,项目包含任务,项目三：5G网络信息管理包含任务1：5G网管架构和功能,,P3-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0017,P3,项目三：5G网络信息管理,P3-T2,任务2：5G网络运行监控,contains,项目包含任务,项目三：5G网络信息管理包含任务2：5G网络运行监控,,P3-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0018,P3,项目三：5G网络信息管理,P3-T3,任务3：5G网络参数检查,contains,项目包含任务,项目三：5G网络信息管理包含任务3：5G网络参数检查,,P3-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0019,P3,项目三：5G网络信息管理,P3-T4,任务4：5G网络参数设置,contains,项目包含任务,项目三：5G网络信息管理包含任务4：5G网络参数设置,,P3-T4,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0020A,CG-04,优化实施,P4,项目四：5G端到端网络优化,contains,主链挂接项目,项目四：5G端到端网络优化承接优化实施环节,,P4-T1;P4-T2;P4-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0020B,CG-05,结果验证,P4,项目四：5G端到端网络优化,contains,主链挂接项目,项目四：5G端到端网络优化承接结果验证环节,,P4-T1;P4-T2;P4-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0021,P4,项目四：5G端到端网络优化,P4-T1,任务1：5G网络优化方案实施,contains,项目包含任务,项目四：5G端到端网络优化包含任务1：5G网络优化方案实施,,P4-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0022,P4,项目四：5G端到端网络优化,P4-T2,任务2：5G网络优化结果验证,contains,项目包含任务,项目四：5G端到端网络优化包含任务2：5G网络优化结果验证,,P4-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0023,P4,项目四：5G端到端网络优化,P4-T3,任务3：5G网络优化报告输出,contains,项目包含任务,项目四：5G端到端网络优化包含任务3：5G网络优化报告输出,,P4-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0024,CG-06,性能提升,P5,项目五：5G全网性能提升,contains,主链挂接项目,项目五：5G全网性能提升挂接到CG-06,,P5-T1;P5-T2;P5-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0025,P5,项目五：5G全网性能提升,P5-T1,任务1：5G全网性能指标采集,contains,项目包含任务,项目五：5G全网性能提升包含任务1：5G全网性能指标采集,,P5-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0026,P5,项目五：5G全网性能提升,P5-T2,任务2：5G全网性能提升实施,contains,项目包含任务,项目五：5G全网性能提升包含任务2：5G全网性能提升实施,,P5-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0027,P5,项目五：5G全网性能提升,P5-T3,任务3：5G全网性能提升验证,contains,项目包含任务,项目五：5G全网性能提升包含任务3：5G全网性能提升验证,,P5-T3,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0028,CG-07,信令分析,P6,项目六：5G信令分析,contains,主链挂接项目,项目六：5G信令分析挂接到CG-07,,P6-T1;P6-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0029,P6,项目六：5G信令分析,P6-T1,任务1：5G关键信令流程及解析,contains,项目包含任务,项目六：5G信令分析包含任务1：5G关键信令流程及解析,,P6-T1,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0030,P6,项目六：5G信令分析,P6-T2,任务2：5G信令问题分析及优化,contains,项目包含任务,项目六：5G信令分析包含任务2：5G信令问题分析及优化,,P6-T2,course_skeleton,samples/digital_textbook_overall_prototype/data.js,内部试拆,2,current
EV03-0031,P2T3-N01,明确分析任务与数据来源,P2T3-N02,完成LOG导入与报告导出,precedes,直接递进,先明确分析对象、LOG来源和测试场景，才能进入导入与字段确认。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0032,P2T3-N01,明确分析任务与数据来源,P2-T3,P2-T3,maps_to_task,能力挂接,作为本任务的数据分析入口。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,5,current
EV03-0033,P2T3-N02,完成LOG导入与报告导出,P2T3-N01,明确分析任务与数据来源,requires,前置基础,导入前必须知道要分析哪类LOG和业务场景。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0034,P2T3-N02,完成LOG导入与报告导出,P2T3-N03,识读关键指标与判断边界,precedes,直接递进,导出字段后才能解释关键指标。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0035,P2T3-N03,识读关键指标与判断边界,P2T3-N02,完成LOG导入与报告导出,requires,前置基础,只有取得字段后才能识读指标。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0036,P2T3-N03,识读关键指标与判断边界,P2T3-N04,判断覆盖类异常,precedes,直接递进,覆盖异常判断依赖RSRP/SINR等指标读法。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0037,P2T3-N03,识读关键指标与判断边界,P4T2-N03,读覆盖指标,supports,支撑判断,结果验证时需要复用关键指标边界。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0038,P2T3-N03,识读关键指标与判断边界,P4T2-N05,读体验与容量指标,supports,支撑判断,验证结论依赖指标变化解释。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0039,P2T3-N04,判断覆盖类异常,P2T3-N03,识读关键指标与判断边界,requires,前置基础,覆盖判断依赖关键指标边界。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0040,P2T3-N04,判断覆盖类异常,P2T3-N06,归纳问题类型与原因链,precedes,直接递进,覆盖异常证据进入原因链归纳。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0041,P2T3-N04,判断覆盖类异常,P4T2-N03,读覆盖指标,supports,支撑判断,复测时可验证覆盖改善是否达成。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0042,P2T3-N05,判断移动性/邻区异常,P2T3-N03,识读关键指标与判断边界,requires,前置基础,移动性和邻区异常判断依赖指标与日志字段识读。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0043,P2T3-N05,判断移动性/邻区异常,P2T3-N06,归纳问题类型与原因链,precedes,直接递进,邻区或切换异常证据进入原因链归纳。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0044,P2T3-N05,判断移动性/邻区异常,P4T2-N04,读移动性指标,supports,支撑判断,复测时需要验证切换或邻区配置调整效果。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0045,P2T3-N06,归纳问题类型与原因链,P2T3-N04,判断覆盖类异常,requires,前置基础,覆盖异常证据是原因链输入之一。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0046,P2T3-N06,归纳问题类型与原因链,P2T3-N05,判断移动性/邻区异常,requires,前置基础,移动性或邻区异常证据是原因链输入之一。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0047,P2T3-N06,归纳问题类型与原因链,P2T3-N07,制定整改建议,precedes,直接递进,只有形成原因链后才能提出整改建议。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0048,P2T3-N06,归纳问题类型与原因链,P4T2-N06,选择判断依据,supports,支撑判断,复测解释需要回看原问题类型和原因链。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0049,P2T3-N07,制定整改建议,P2T3-N06,归纳问题类型与原因链,requires,前置基础,整改建议必须对应原因链。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0050,P2T3-N07,制定整改建议,P2T3-N08,输出分析报告并连接复测,precedes,直接递进,建议形成后才能进入报告表达。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,内部试拆,1,current
EV03-0051,P2T3-N07,制定整改建议,P4-T1,任务 P4-T1 优化实施前置,supports,支撑判断,整改建议可连接后续方案制定或实施任务。,P2-T3,P4-T1,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0052,P2T3-N08,输出分析报告并连接复测,P2T3-N07,制定整改建议,requires,前置基础,报告结论必须包含整改建议和验证方式。,P2-T3,P2-T3,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
EV03-0053,P2T3-N08,输出分析报告并连接复测,P4T2-N07,形成验收结论,supports,支撑判断,复测报告需要引用原分析结论。,P2-T3,P4-T2,v2_1_relation_review,reports/课程能力图谱V2关系边表.csv,待专业复核,2,current
