edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,evidence_source,review_status,display_priority
E001,P2T3-N01,明确分析任务与数据来源,P2T3-N02,完成LOG导入与报告导出,precedes,直接递进,先明确分析对象、LOG来源和测试场景，才能进入导入与字段确认。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E002,P2T3-N01,明确分析任务与数据来源,P2-T3,P2-T3,maps_to_task,能力挂接,作为本任务的数据分析入口。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,5
E003,P2T3-N02,完成LOG导入与报告导出,P2T3-N01,明确分析任务与数据来源,requires,前置基础,导入前必须知道要分析哪类LOG和业务场景。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E004,P2T3-N02,完成LOG导入与报告导出,P2T3-N03,识读关键指标与判断边界,precedes,直接递进,导出字段后才能解释关键指标。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E005,P2T3-N03,识读关键指标与判断边界,P2T3-N02,完成LOG导入与报告导出,requires,前置基础,只有取得字段后才能识读指标。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E006,P2T3-N03,识读关键指标与判断边界,P2T3-N04,判断覆盖类异常,precedes,直接递进,覆盖异常判断依赖RSRP/SINR等指标读法。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E007,P2T3-N03,识读关键指标与判断边界,P4T2-N03,读覆盖指标,supports,支撑判断,结果验证时需要复用关键指标边界。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E008,P2T3-N03,识读关键指标与判断边界,P4T2-N05,读体验与容量指标,supports,支撑判断,验证结论依赖指标变化解释。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E009,P2T3-N04,判断覆盖类异常,P2T3-N03,识读关键指标与判断边界,requires,前置基础,覆盖判断依赖关键指标边界。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
E010,P2T3-N04,判断覆盖类异常,P2T3-N06,归纳问题类型与原因链,precedes,直接递进,覆盖异常证据进入原因链归纳。,P2-T3,P2-T3,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,内部试拆,1
E011,P2T3-N04,判断覆盖类异常,P4T2-N03,读覆盖指标,supports,支撑判断,复测时可验证覆盖改善是否达成。,P2-T3,P4-T2,textbook:P2-T3;capability_graph_v2:AU-03;trial_split:P2-T3,待专业复核,2
