检查项ID,类别,检查项,最低要求,适用对象,进入第二项目复制验证前是否必须满足,阻断级别
LC-01,项目闭环,项目定位,说明项目解决的岗位任务和学习价值,每个项目,是,高
LC-02,项目闭环,任务角色,标明每个任务是入口、判断、输出、支撑、分支或回流,每个任务,是,高
LC-03,项目闭环,输入证据,说明本任务接收哪些前序材料或外部证据,每个任务,是,高
LC-04,项目闭环,学生动作,每个任务至少有一个可检查学习动作,每个任务,是,高
LC-05,项目闭环,学生产出,每个任务至少有一个可评价产出,每个任务,是,高
LC-06,项目闭环,回流关系,说明证据不足或判断错误时回到哪里补证据,项目级闭环,是,中
LC-07,质量锚点,深样章锚点,至少指定一个任务作为质量锚点,每个项目,是,高
LC-08,轻量样稿,学习情境,用具体案例或工作场景引出任务,轻量任务,是,高
LC-09,轻量样稿,核心问题,让学生知道本任务要解决什么,轻量任务,是,高
LC-10,轻量样稿,学习步骤,一般控制在3到5个关键动作,轻量任务,是,中
LC-11,轻量样稿,结构化支架,至少有一个表格、图示、清单或证据组织支架,轻量任务,是,中
LC-12,轻量样稿,完成标准,说明做到什么程度算完成,轻量任务,是,高
LC-13,轻量样稿,教师讲评点,说明教师应重点追问什么,轻量任务,是,中
LC-14,图谱挂接,节点绑定,资源、活动、评价和产出能回挂能力节点,正式样本,是,高
LC-15,资源治理,资源状态,区分已有样稿、待专业复核、待媒体重绘、不可发布,资源中心,是,高
LC-16,媒体治理,截图边界,原教材截图或软件界面不得默认发布,资源中心,是,高
LC-17,教师视图,课堂路径,说明教师如何组织项目级学习路径,教师视图,是,中
LC-18,教师视图,产出检查,说明教师如何收集和判断学生产出,教师视图,是,中
LC-19,出版门禁,平台边界,说明是否只是挂接位置原型、是否接入真实平台,出版编辑视图,是,高
LC-20,出版门禁,发布阻断,列出专业复核、媒体审查、真实试看、平台接口等阻断项,出版编辑视图,是,高
LC-21,阶段边界,轻量样稿声明,轻量样稿不得称为深样章或正式定稿,所有轻量样稿,是,高
LC-22,阶段边界,工具链边界,一个项目闭环不足以启动生产工具链拆解,阶段判断,是,高
LC-23,第二项目选择,差异验证,第二项目应与项目四任务类型有明显差异,第二项目,是,中
LC-24,第二项目顺序,先计划再页面,第二项目先形成实施计划和映射表，不直接写页面,第二项目,是,高
