"mapping_id","graph_node_id","graph_node_label","node_layer","project_id","project_title","task_id","task_title","task_status","resource_focus","learning_activity","evaluation_output","prototype_role","audit_status","notes"
"M001","CG-01","信息采集","课程主链","P1","项目一：5G网络信息采集","P1-T1","任务1：室内环境信息采集","结构占位","采集表、室内场景图、设备信息记录","室内信息核验","采集信息完整性记录","项目/任务结构占位","待抽取补强","原教材图片较多，需补充读图路径和媒体审查状态。"
"M002","CG-01","信息采集","课程主链","P1","项目一：5G网络信息采集","P1-T2","任务2：室外环境信息采集","结构占位","室外站点信息、环境照片、测试准备材料","室外场景信息整理","室外环境采集清单","项目/任务结构占位","待抽取补强","需区分真实采集材料、仿真截图和教学化重绘资源。"
"M003","CG-01","信息采集","课程主链","P1","项目一：5G网络信息采集","P1-T3","任务3：投诉信息采集","结构占位","投诉记录、用户反馈、场景标签","投诉线索分类","投诉线索到验证对象的初步映射","项目/任务结构占位","待抽取补强","可与P4-T2的投诉线索归类形成前后呼应。"
"M004","CG-02","网络测试","课程主链","P2","项目二、5G网络测试","P2-T1","任务1: DT/CQT测试准备和执行","结构占位","DT/CQT测试任务书、路线、工具准备清单","测试准备与执行流程排序","测试执行记录","项目/任务结构占位","待抽取补强","原教材测评信号较多，但需补答案、解析、能力点和评分规则。"
"M005","CG-02","网络测试","课程主链","P2","项目二、5G网络测试","P2-T2","任务2: 5G网络测试问题处理","结构占位","测试异常、问题定位材料、处理记录","测试问题归因","问题处理记录和依据说明","项目/任务结构占位","待抽取补强","后续可转化为问题现象到处理动作的匹配练习。"
"M006","CG-02","网络测试","课程主链","P2","项目二、5G网络测试","P2-T3","任务3: 5G网络测试数据分析","结构占位","测试指标表、日志、轨迹图","测试数据读表与判断","测试数据分析结论","项目/任务结构占位","待抽取补强","与P4-T2结果验证中的覆盖、移动性、体验指标直接相关。"
"M007","CG-03","信息管理","课程主链","P3","项目三：5G网络信息管理","P3-T1","任务1：5G网管架构和功能","结构占位","网管架构图、功能说明、角色关系","网管功能识别","网管功能用途说明","项目/任务结构占位","待抽取补强","适合做结构图和术语字典资源。"
"M008","CG-03","信息管理","课程主链","P3","项目三：5G网络信息管理","P3-T2","任务2：5G网络运行监控","结构占位","运行监控表、告警、KPI数据","运行状态读表","监控异常识别记录","项目/任务结构占位","待抽取补强","表格行数多，后续应优先治理为可读表和交互读表任务。"
"M009","CG-03","信息管理","课程主链","P3","项目三：5G网络信息管理","P3-T3","任务3：5G网络参数检查","结构占位","参数表、配置截图、检查项","参数一致性检查","参数异常清单","项目/任务结构占位","待抽取补强","需对非通用软件截图做标注、重绘或替换。"
"M010","CG-03","信息管理","课程主链","P3","项目三：5G网络信息管理","P3-T4","任务4：5G网络参数设置","结构占位","参数设置流程、配置前后对比","参数设置步骤确认","参数设置记录","项目/任务结构占位","待抽取补强","后续适合做步骤排序和风险提示类互动。"
"M011","CG-04","优化实施","课程主链","P4","项目四：5G端到端网络优化","P4-T1","任务1：5G网络优化方案实施","结构占位","优化方案、参数调整、工程动作记录","优化动作与问题匹配","优化实施记录","项目四前置任务占位","待抽取补强","是P4-T2结果验证的直接前置任务。"
"M012","CG-05","结果验证","课程主链","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章已完成3.5A-1","五个教学模拟案例、指标表、学习单、教师材料、专业复核表","投诉归类、流程排序、指标标注、依据分类、结论拼装","判断、依据、边界、建议组成的验收结论","整体原型纵向深样章入口","浏览器QA通过；真实一线试看和专业复核未完成","整体原型中应链接或嵌入3.5A-1，不继续打磨任务页面。"
"M013","CG-05","结果验证","课程主链","P4","项目四：5G端到端网络优化","P4-T3","任务3：5G网络优化报告输出","结构占位","验收结论、报告模板、问题闭环记录","报告结构组织","优化报告输出样例","项目四后续任务占位","待抽取补强","可承接P4-T2的结论表达，后续需补报告模板和评价量规。"
"M014","CG-06","性能提升","课程主链","P5","项目五：5G全网性能提升","P5-T1","任务1 5G全网性能指标采集","结构占位","全网KPI、指标采集表、采集口径","性能指标采集","全网指标采集记录","项目/任务结构占位","待抽取补强","与P4-T2结果验证后的持续优化衔接。"
"M015","CG-06","性能提升","课程主链","P5","项目五：5G全网性能提升","P5-T2","任务2 5G全网性能提升实施","结构占位","性能提升方案、实施动作、前后对比","性能提升动作选择","性能提升实施记录","项目/任务结构占位","待抽取补强","后续适合做方案选择与风险判断互动。"
"M016","CG-06","性能提升","课程主链","P5","项目五：5G全网性能提升","P5-T3","任务3 5G全网性能提升验证","结构占位","提升后KPI、对比图、复测记录","性能提升效果验证","提升效果评价结论","项目/任务结构占位","待抽取补强","与P4-T2同属验证类能力，可复用结论表达量规。"
"M017","CG-07","信令分析","课程主链","P6","项目六：5G信令分析","P6-T1","任务1 5G关键信令流程及解析","结构占位","信令流程图、关键字段、解析说明","信令流程识读","信令流程说明","项目/任务结构占位","待抽取补强","适合做流程动画和关键字段标注。"
"M018","CG-07","信令分析","课程主链","P6","项目六：5G信令分析","P6-T2","任务2 5G信令问题分析及优化","结构占位","信令异常、问题定位、优化建议","信令问题定位","信令问题分析结论","项目/任务结构占位","待抽取补强","可作为复杂问题的高级诊断能力节点。"
"M019","P4T2-N01","识别验证场景","P4-T2详细节点","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章内部节点","情境任务卡、投诉线索卡、验证对象卡","投诉线索归类","能把投诉归到覆盖、移动性、业务体验或容量验证对象","3.5A-1深样章节点","教学模拟；待专业复核","训练学生把自然语言投诉转成需要查看的数据类型。"
"M020","P4T2-N02","区分改善与达标","P4-T2详细节点","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章内部节点","改善与达标解释卡、边界表达卡","投诉线索归类后的结论修正","结论中能同时写出已达标依据和未闭环边界","3.5A-1深样章节点","教学模拟；待专业复核","防止学生把局部改善写成全部验收通过。"
"M021","P4T2-N03","读覆盖指标","P4-T2详细节点","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章内部节点","覆盖指标解读卡、覆盖能说明/不能说明卡","验证流程排序","能说明覆盖指标能支持什么、不能单独证明什么","3.5A-1深样章节点","教学模拟；待专业复核","覆盖指标是结果验证的必要材料，但不能替代移动性和体验判断。"
"M022","P4T2-N04","读移动性指标","P4-T2详细节点","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章内部节点","移动性日志卡、验证流程卡","验证流程排序","能排出移动性验证流程并说明每一步看什么数据","3.5A-1深样章节点","教学模拟；待专业复核","适合后续转化为流程排序动画或小游戏。"
"M023","P4T2-N05","读体验与容量指标","P4-T2详细节点","P4","项目四：5G端到端网络优化","P4-T2","任务2：5G网络优化结果验证","深样章内部节点","平均值与尾部体验卡、容量边界卡","指标行标注","能标出通过依据和必须写成边界的指标","3.5A-1深样章节点","教学模拟；待专业复核","强调平均值、95分位和容量负荷不能混用。"
