task_id,task_title,phase2_role,node_id,node_name,student_title,student_learning_goal,student_action,student_output,assessment_output,resource_type,learning_activity_type,primary_ability_unit_id,secondary_ability_unit_ids,inbound_relation_count,outbound_relation_count,relation_types,binding_count,audit_status,risk_level,media_handling_status,professional_risk_type,content_status,prototype_target,source_files
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N01,明确优化对象与实施边界,先弄清这次到底要优化什么,我能根据问题现象和已有整改建议确认优化对象、实施边界和不能直接操作的内容。,阅读任务情境和前序建议，填写优化实施任务单。,优化实施任务单,优化实施任务单,case_card;worksheet;boundary_table,case_intro;task_analysis;boundary_checking,AU-05,AU-06,7,2,任务拆分详细节点；前置基础；支撑判断；直接递进；能力挂接,2,pending_professional_review,medium,not_applicable,procedure;data_source,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;extracted/textbook.md
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N02,区分优化动作类型与责任边界,先判断这件事属于哪类优化动作,我能区分天线、无线、承载网和核心网方向，并说明哪些动作需要工程授权或专业岗位协同。,根据现象和建议选择优化动作类型，填写责任边界表。,优化动作分类与责任边界表,优化动作分类与责任边界表,classification_table;scenario_card;worksheet,problem_classification;risk_checking,AU-06,AU-05,3,2,任务拆分详细节点；支撑判断；直接递进；能力挂接,3,pending_professional_review,high,not_applicable,procedure;authorization;publication_boundary,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;extracted/textbook.md
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N03,读取关键参数与变更依据,会从参数里找出调整依据,我能从教学化参数表或重绘界面中识别支撑优化动作的关键参数，并说明参数能支持什么判断。,标注关键参数、当前状态、建议动作和还缺少的复核信息。,参数依据记录表,参数依据记录表,parameter_table;redrawn_image;worksheet;case_card,parameter_annotation;data_reading;boundary_checking,AU-06,AU-04;AU-05,3,3,任务拆分详细节点；支撑判断；直接递进；能力挂接；问题回流,4,pending_media_review,high,redraw_required,tool_screenshot;terminology;data_source,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;assets/media/image208.png;assets/media/image228.png;assets/media/image229.png;assets/media/image230.png;assets/media/image231.png;assets/media/image232.png
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N04,制定实施步骤与风险回退检查,把优化动作排成可控步骤,我能把拟实施动作排成受控步骤，并补充影响范围、回退条件、复核人和实施前检查。,对实施步骤排序，补充风险、影响范围和回退检查。,实施步骤与回退检查单,实施步骤与回退检查单,process_table;checklist;worksheet,process_ordering;risk_checking;boundary_checking,AU-06,AU-05,2,2,任务拆分详细节点；直接递进；能力挂接,3,pending_professional_review,high,not_applicable,procedure;authorization;publication_boundary,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;extracted/textbook.md
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N05,记录实施结果与变更凭据,把做过什么和为什么做记录清楚,我能记录变更前后参数、操作依据、执行结果、异常备注和后续验证要求，让优化实施可以追溯。,填写优化实施变更记录，并标出需要保留的凭据。,优化实施变更记录,优化实施变更记录,worksheet;record_template;evidence_table,record_completion;evidence_checking,AU-06,AU-07,2,5,任务拆分详细节点；前置支撑；支撑判断；直接递进；能力挂接,2,pending_professional_review,high,not_applicable,procedure;data_source;authorization,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;extracted/textbook.md
P4-T1,任务1：5G网络优化方案实施,实施入口：把前序整改建议、参数异常和优化对象转为受控实施记录与复测交接。,P4T1-N06,形成复测验证入口并交接P4-T2,优化后还要交给验证来判断,我能把实施记录整理成复测验证入口，说明需要复测的场景、指标、数据来源和不能直接下结论的边界。,汇总复测指标、验证场景和交接材料，形成复测验证交接清单。,复测验证交接清单,复测验证交接清单,text_card;worksheet;matching_activity,validation_planning;handoff_checking,AU-07,AU-06,2,3,任务拆分详细节点；前置支撑；直接递进；能力挂接,4,pending_professional_review,medium,redraw_required,case_logic;conclusion;data_source,阶段2轻量教材样稿待生成,整书阶段2原型：项目四闭环页/资源中心/教师视图,reports/P4-T1基于V0.3.4主数据补拆验证报告.md;extracted/textbook.md
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N01,识别验证场景,先弄清这次到底要验收什么,我能把投诉线索转成覆盖、移动性、体验或容量等验证对象。,阅读宿舍区投诉场景，把四条投诉线索归入对应验证对象。,投诉到验证对象映射,投诉到验证对象映射,text_card;simulation_case;worksheet;assessment_item,case_intro;evidence_classification,AU-07,AU-03,10,3,前置基础；支撑判断；直接递进；能力挂接,5,pending_professional_review,medium,not_applicable,data_source;case_logic,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N02,区分改善与达标,分清“有改善”和“能验收”不是一回事,我能把已改善的数据和仍未闭环的数据分开写。,对宿舍区案例中的达标指标和未达标指标做边界表达修正。,已达标依据和未闭环边界,边界表达修正记录,text_card;table;worksheet;rubric;assessment_item,comparison_analysis;correction_revision,AU-07,AU-08,3,5,前置基础；前置支撑；支撑判断；直接递进；能力挂接；问题回流,4,pending_professional_review,medium,not_applicable,conclusion;terminology,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N03,读覆盖指标,读覆盖指标：它能证明什么，不能证明什么,我能看懂覆盖指标能支持覆盖改善，但不能单独证明业务全部恢复。,阅读覆盖指标表和地下食堂案例，标出覆盖达标依据与证据边界。,覆盖指标判断与流程排序,覆盖指标判断与证据边界,text_card;table;chart;worksheet;redrawn_image;assessment_item,data_reading;process_ordering;metric_annotation,AU-07,AU-03,7,5,前置基础；支撑判断；直接递进；能力挂接；资源证据,6,pending_media_review,high,redraw_required,threshold;terminology;tool_screenshot,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
P4-T2,任务2：5G网络优化结果验证,判断中枢：承接实施证据，判断改善、达标、边界和未闭环问题。,P4T2-N04,读移动性指标,读移动性指标：走动时会不会断,我能判断移动路径上的问题不能只看静止点覆盖，还要看切换和保持数据。,按顺序排出移动性验证流程，并判断切换失败或重建偏高说明什么。,移动性验证流程,移动性验证流程和异常阶段判断,text_card;redrawn_image;interactive_animation;mini_game;worksheet;assessment_item,process_ordering;data_reading;problem_diagnosis,AU-07,AU-03;AU-05,7,8,前置基础；支撑判断；直接递进；能力挂接；资源证据,8,pending_media_review,high,redraw_required,procedure;signal_analysis;tool_screenshot,3.5A-1深样章已作为质量锚点,整书阶段2原型：保留深样章入口并作为闭环中枢,reports/P4-T2详细能力节点字段表V0.2.csv
