backfill_record_id,source_table,source_record_id,task_id,object_level,object_title,source_risk_summary,field_schema_version,review_required_type,professional_risk_type,review_owner_role,contains_personal_info,personal_info_type,anonymization_required,anonymization_status,authorization_required,authorization_status,recording_involved,data_security_review_scope,data_security_gate_status,service_commitment_risk_type,customer_communication_review_type,communication_expression_status,external_statement_allowed,service_wording_review_note,case_authenticity_type,case_applicability_boundary,source_sensitivity_level,source_transformation_type,publishability_status,resource_review_object_type,resource_provenance_type,assessment_sensitivity_type,assessment_release_allowed,professional_gate_status,editorial_gate_status,media_gate_status,student_text_gate_status,platform_gate_status,teaching_validation_gate_status,overall_publish_gate_status,gate_blocking_reason,gate_next_action,field_backfill_status,migration_batch_id,schema_change_reason
BF-V04-P6T2-001,node_master,P6T2-N01,P6-T2,detail_capability,明确信令问题分析任务与数据来源,data_source;data_security;procedure;明确日志、信令文件和任务边界，正式发布前需确认数据来源和脱敏口径。,V0.4,professional;data_security;editorial,data_source;data_security;procedure,professional_expert;data_security_reviewer;editor,possible,signaling_or_location_data,required,not_started,required_if_real_data,not_started,no,raw_log_or_signaling_may_contain_sensitive_data,pending,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,case,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;data_security_review_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;review_data_security,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-002,node_master,P6T2-N02,P6-T2,detail_capability,区分覆盖、接入、切换、掉线类问题,terminology;classification;case_logic;问题分类边界需专业教师复核，并补充反例避免学生机械套用。,V0.4,professional;editorial,terminology;classification;case_logic,professional_expert;editor,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,medium,adapted,not_ready,case,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-003,node_master,P6T2-N03,P6-T2,detail_capability,建立接入类问题排查链,procedure;terminology;prerequisite_dependency;接入排查链依赖注册、鉴权和PDU会话先修知识，需明确P6-T1支撑边界。,V0.4,professional;media;editorial,procedure;terminology;prerequisite_dependency,professional_expert;media_editor;editor,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,signaling_flow,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;media_redraw_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;redraw_or_annotate_media,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-004,node_master,P6T2-N04,P6-T2,detail_capability,建立切换类问题信令证据链,procedure;terminology;handover_boundary;切换证据链涉及RRC重配、测量报告和失败原因，需专业复核和媒体重绘。,V0.4,professional;media;editorial,procedure;terminology;handover_boundary,professional_expert;media_editor;editor,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,signaling_flow,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,revision_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;media_redraw_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;redraw_or_annotate_media,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-005,node_master,P6T2-N05,P6-T2,detail_capability,建立掉线类问题复盘链,procedure;classification;evidence_chain;掉线原因复盘需限定无线、核心网和终端边界，避免单因归因。,V0.4,professional;editorial,procedure;classification;evidence_chain,professional_expert;editor,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,signaling_flow,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-006,node_master,P6T2-N06,P6-T2,detail_capability,提出优化建议并说明适用边界,engineering_boundary;service_wording;professional_conclusion;优化建议必须说明适用条件和责任边界，不能写成通用承诺。,V0.4,professional;editorial,engineering_boundary;service_wording;professional_conclusion,professional_expert;editor,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,engineering_recommendation,technical_explanation,pending,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,medium,adapted,not_ready,case,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-007,node_master,P6T2-N07,P6-T2,detail_capability,输出信令问题分析与复盘报告,report_expression;evidence_chain;student_text;复盘报告需检查证据链、职业表达、复测或回流要求，并转译成学生可读正文。,V0.4,professional;editorial;teaching_validation,report_expression;evidence_chain;student_text,professional_expert;editor;teacher_reviewer,no,not_applicable,not_applicable,not_needed,not_applicable,not_applicable,no,none,not_required,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,medium,adapted,not_ready,case,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-008,binding_master,BV03-0085,P6-T2,resource_activity_assessment_binding,P6T2-C01,data_source;data_security;task_boundary;P6T2-N01挂接对象P6T2-C01需按P6-T2复杂信令复盘边界审查。,V0.4,professional;data_security;editorial,data_source;data_security;task_boundary,professional_expert;data_security_reviewer;editor,possible,signaling_or_location_data,required,not_started,required_if_real_data,not_started,no,raw_log_or_signaling_may_contain_sensitive_data,pending,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,resource_card,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;data_security_review_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;review_data_security,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-009,binding_master,BV03-0086,P6-T2,resource_activity_assessment_binding,P6T2-W01,data_source;data_security;task_boundary;P6T2-N01挂接对象P6T2-W01需按P6-T2复杂信令复盘边界审查。,V0.4,professional;data_security;editorial,data_source;data_security;task_boundary,professional_expert;data_security_reviewer;editor,possible,signaling_or_location_data,required,not_started,required_if_real_data,not_started,no,raw_log_or_signaling_may_contain_sensitive_data,pending,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,resource_card,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;data_security_review_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;review_data_security,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
BF-V04-P6T2-010,binding_master,BV03-0087,P6-T2,resource_activity_assessment_binding,问题分析任务单,data_source;data_security;task_boundary;P6T2-N01挂接对象问题分析任务单需按P6-T2复杂信令复盘边界审查。,V0.4,professional;data_security;editorial,data_source;data_security;task_boundary,professional_expert;data_security_reviewer;editor,possible,signaling_or_location_data,required,not_started,required_if_real_data,not_started,no,raw_log_or_signaling_may_contain_sensitive_data,pending,none,none,not_applicable,teaching_only,不作为对外服务承诺，仅用于教学场景。,teaching_simulation,教学模拟或教学化改写材料，仅用于训练信令分析流程，正式发布前需专业复核。,high,adapted,not_ready,resource_card,textbook_derived;ai_rewritten,professional_conclusion,after_review,pending,pending,not_required,review_pending,not_started,internal_review,not_ready,professional_review_pending;student_text_review_pending;teaching_validation_pending;data_security_review_pending,submit_professional_review;submit_editorial_review;prepare_teaching_trial;review_data_security,completed,P6-V04-BACKFILL-20260626,P6项目内部链条V0.4治理补齐
