v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV0312-INC-P1G-001,P1-T1,任务1：室内环境信息采集,P1T1-N01,明确室内信息采集任务与用途,decomposes,任务拆分详细节点,P1-T1补拆进入明确室内信息采集任务与用途节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,2,candidate
EV0312-INC-P1G-002,P1-T1,任务1：室内环境信息采集,P1T1-N02,识别室内采集对象和字段类别,decomposes,任务拆分详细节点,P1-T1补拆进入识别室内采集对象和字段类别节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,3,candidate
EV0312-INC-P1G-003,P1-T1,任务1：室内环境信息采集,P1T1-N03,选择并使用室内采集工具,decomposes,任务拆分详细节点,P1-T1补拆进入选择并使用室内采集工具节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,4,candidate
EV0312-INC-P1G-004,P1-T1,任务1：室内环境信息采集,P1T1-N04,完成室内设备与配套信息采集记录,decomposes,任务拆分详细节点,P1-T1补拆进入完成室内设备与配套信息采集记录节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,5,candidate
EV0312-INC-P1G-005,P1-T1,任务1：室内环境信息采集,P1T1-N05,核查室内采集数据完整性与异常项,decomposes,任务拆分详细节点,P1-T1补拆进入核查室内采集数据完整性与异常项节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,6,candidate
EV0312-INC-P1G-006,P1-T1,任务1：室内环境信息采集,P1T1-N06,输出室内信息采集成果并衔接后续任务,decomposes,任务拆分详细节点,P1-T1补拆进入输出室内信息采集成果并衔接后续任务节点。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,7,candidate
EV0312-INC-P1G-007,P1T1-N01,明确室内信息采集任务与用途,P1T1-N02,识别室内采集对象和字段类别,direct_progression,内部递进,明确室内信息采集任务与用途之后进入识别室内采集对象和字段类别。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,27,candidate
EV0312-INC-P1G-008,P1T1-N02,识别室内采集对象和字段类别,P1T1-N03,选择并使用室内采集工具,direct_progression,内部递进,识别室内采集对象和字段类别之后进入选择并使用室内采集工具。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,28,candidate
EV0312-INC-P1G-009,P1T1-N03,选择并使用室内采集工具,P1T1-N04,完成室内设备与配套信息采集记录,direct_progression,内部递进,选择并使用室内采集工具之后进入完成室内设备与配套信息采集记录。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,29,candidate
EV0312-INC-P1G-010,P1T1-N04,完成室内设备与配套信息采集记录,P1T1-N05,核查室内采集数据完整性与异常项,direct_progression,内部递进,完成室内设备与配套信息采集记录之后进入核查室内采集数据完整性与异常项。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,30,candidate
EV0312-INC-P1G-011,P1T1-N05,核查室内采集数据完整性与异常项,P1T1-N06,输出室内信息采集成果并衔接后续任务,direct_progression,内部递进,核查室内采集数据完整性与异常项之后进入输出室内信息采集成果并衔接后续任务。,P1-T1,P1-T1,v0312_increment,reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证实施计划.md;reports/P1-T1_P1-T2基于V0.3.12主数据成组补拆验证报告.md,内部试拆,31,candidate
