field_name,chinese_name,field_group,required_level,data_type,allowed_values,fill_rule,example,notes,change_type,applies_to
field_schema_version,字段规范版本,基础标识,R1,enum,V0.4,填写字段规范版本,V0.4,V0.4回填表使用该版本值,modify,all_records
review_required_type,需审核类型,审核与风险,R1,enum,none;professional;media;editorial;copyright;platform;data_security;student_text;teaching_validation;publication;legal,可多选并用英文分号分隔,professional;data_security;editorial,V0.4扩展学生正文、教学验证、发布和法务门禁,modify,node;binding;asset
professional_risk_type,专业口径风险类型,审核与风险,R2,enum,none;threshold;case_logic;conclusion;terminology;procedure;data_source;simulation_validity;tool_screenshot;signal_analysis;privacy;communication;service_commitment;authorization;publication_boundary,填写专业或职业表达风险类型，可多选,privacy;communication;service_commitment,V0.4补齐P1-T3实际出现但V0.2不支持的风险类型,modify,node;binding
review_owner_role,审核责任角色,审核与风险,R2,enum,course_teacher;professional_expert;editor;media_designer;publisher_platform;project_owner;data_security_officer;legal_compliance;teaching_reviewer,填写审核责任角色,data_security_officer;editor,V0.4补充数据安全、法务合规和教学验证角色,modify,node;binding;asset
contains_personal_info,是否包含个人信息,数据安全,R1,enum,yes;no;not_applicable,涉及用户、客户、学生或真实人员信息时必须填写,yes,高风险节点和资源必须填写,add,node;binding;resource
personal_info_type,个人信息类型,数据安全,R1,string,name;phone;address;location;work_order_id;recording;terminal_id;customer_level;organization;other;not_applicable,个人信息类型可多选，用英文分号分隔；无个人信息时填写not_applicable,name;phone;address,若contains_personal_info为yes则必须填写具体类型；若为no或not_applicable则填写not_applicable,add,node;binding;resource
anonymization_required,是否需要脱敏,数据安全,R1,enum,yes;no;pending;not_applicable,判断正式进入学生端或资源包前是否必须脱敏,yes,涉及真实或疑似真实个人信息时通常为yes,add,node;binding;resource
anonymization_status,脱敏状态,数据安全,R1,enum,not_needed;required;completed;pending;blocked,记录脱敏处理状态,pending,未完成脱敏不得进入正式学生端或平台发布,add,node;binding;resource
authorization_required,是否需要授权,数据安全,R1,enum,yes;no;pending;not_applicable,判断是否需要客户或数据来源授权,yes,涉及录音、真实投诉、工单等通常需要授权判断,add,node;binding;resource
authorization_status,授权状态,数据安全,R1,enum,not_applicable;teaching_simulated;consent_required;consent_obtained;not_available;pending,记录授权状态,teaching_simulated,教学模拟案例可填teaching_simulated但不得伪装真实授权,add,node;binding;resource
recording_involved,是否涉及录音或音频,数据安全,R1,enum,yes;no;not_applicable,判断是否涉及电话录音、语音材料或音频转写,yes,涉及录音时必须联动授权和脱敏字段,add,node;binding;resource
