v03_edge_id,source_node_id,source_node_name,target_node_id,target_node_name,relation_raw_type,relation_type,relation_summary,source_task_id,target_task_id,edge_scope,source_file,review_status,display_priority,version_status
EV036-INC-P3T2-001,P3-T2,任务2：5G网络运行监控,P3T2-N01,明确监控任务与账号权限边界,decomposes,任务拆分详细节点,P3-T2补拆进入监控任务与账号权限边界节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-002,P3-T2,任务2：5G网络运行监控,P3T2-N02,筛选当前告警并判断优先级,decomposes,任务拆分详细节点,P3-T2补拆进入当前告警筛选和优先级判断节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-003,P3-T2,任务2：5G网络运行监控,P3T2-N03,追溯历史告警与典型案例线索,decomposes,任务拆分详细节点,P3-T2补拆进入历史告警和典型案例线索追溯节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-004,P3-T2,任务2：5G网络运行监控,P3T2-N04,创建或选择性能指标查询模板,decomposes,任务拆分详细节点,P3-T2补拆进入性能指标模板和查询范围确认节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-005,P3-T2,任务2：5G网络运行监控,P3T2-N05,查询指标并识别异常变化,decomposes,任务拆分详细节点,P3-T2补拆进入指标查询和异常变化识别节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-006,P3-T2,任务2：5G网络运行监控,P3T2-N06,结合日志形成监控结论与后续入口,decomposes,任务拆分详细节点,P3-T2补拆进入日志追溯、监控结论和后续入口判断节点。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-007,P3T2-N01,明确监控任务与账号权限边界,P3T2-N02,筛选当前告警并判断优先级,precedes,直接递进,先明确账号权限和查看边界，再进入当前告警筛选。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,2,current
EV036-INC-P3T2-008,P3T2-N02,筛选当前告警并判断优先级,P3T2-N03,追溯历史告警与典型案例线索,precedes,直接递进,当前告警无法说明完整过程时，需要追溯历史告警和典型案例线索。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,2,current
EV036-INC-P3T2-009,P3T2-N04,创建或选择性能指标查询模板,P3T2-N05,查询指标并识别异常变化,precedes,直接递进,先确定指标类别、测量对象、时间范围和统计粒度，再读取指标异常。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,2,current
EV036-INC-P3T2-010,P3T2-N02,筛选当前告警并判断优先级,P3T2-N06,结合日志形成监控结论与后续入口,supports,支撑判断,当前告警筛选结果是形成监控结论和后续分流的证据之一。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,3,current
EV036-INC-P3T2-011,P3T2-N03,追溯历史告警与典型案例线索,P3T2-N06,结合日志形成监控结论与后续入口,supports,支撑判断,历史告警和典型案例线索支撑判断问题是否持续、复现或需升级分析。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,3,current
EV036-INC-P3T2-012,P3T2-N05,查询指标并识别异常变化,P3T2-N06,结合日志形成监控结论与后续入口,supports,支撑判断,指标异常识别结果支撑监控结论和后续任务入口判断。,P3-T2,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,3,current
EV036-INC-P3T2-013,P3-T1,任务1：5G网络管理架构与功能认知,P3T2-N01,明确监控任务与账号权限边界,requires,前置基础,网管架构和功能认知是理解账号权限和监控边界的前置基础。,P3-T1,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-014,P2T3-N03,识读关键指标与判断边界,P3T2-N04,创建或选择性能指标查询模板,supports,支撑判断,关键指标读法支撑选择性能指标类别和查询口径。,P2-T3,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-015,P2T3-N03,识读关键指标与判断边界,P3T2-N05,查询指标并识别异常变化,supports,支撑判断,关键指标判断边界支撑识别异常变化并避免过度结论。,P2-T3,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-016,P2T3-N06,归纳问题类型与原因链,P3T2-N06,结合日志形成监控结论与后续入口,supports,支撑判断,数据分析中归纳的问题类型和原因链支撑运行监控结论分流。,P2-T3,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-017,P5T3-N06,判断未闭环指标与二次分析入口,P3T2-N04,创建或选择性能指标查询模板,feedback,问题回流,未闭环指标需要回到运行监控侧重新确认指标查询口径。,P5-T3,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,5,current
EV036-INC-P3T2-018,P5T3-N06,判断未闭环指标与二次分析入口,P3T2-N05,查询指标并识别异常变化,feedback,问题回流,未闭环指标可回流到指标查询和异常变化识别环节继续观察。,P5-T3,P3-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,5,current
EV036-INC-P3T2-019,P3T2-N06,结合日志形成监控结论与后续入口,P3T3-N01,确认参数检查对象与问题场景,precedes,直接递进,监控结论发现参数或配置疑点后进入参数检查场景确认。,P3-T2,P3-T3,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,2,current
EV036-INC-P3T2-020,P3T2-N06,结合日志形成监控结论与后续入口,P3-T4,任务4：5G无线网络参数设置,precedes,直接递进,监控结论确认需要参数设置或调整时进入参数设置任务。,P3-T2,P3-T4,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-021,P3T2-N06,结合日志形成监控结论与后续入口,P4T1-N01,明确优化对象与实施边界,precedes,直接递进,监控结论确认需实施整改时进入优化对象和实施边界确认。,P3-T2,P4-T1,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-022,P3T2-N06,结合日志形成监控结论与后续入口,P5T3-N03,建立优化前后KPI对比基线,feedback,问题回流,需要持续观察或复测的监控结论进入优化前后KPI对比基线。,P3-T2,P5-T3,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,5,current
EV036-INC-P3T2-023,P3T2-N06,结合日志形成监控结论与后续入口,P6T2-N01,明确信令问题分析任务与数据来源,precedes,直接递进,复杂接入、切换、掉线或信令类问题进入信令复盘任务。,P3-T2,P6-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-024,P3T2-N06,结合日志形成监控结论与后续入口,P4T2-N01,识别验证场景,supports,支撑判断,运行监控结论可为后续结果验证场景识别提供问题来源。,P3-T2,P4-T2,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,5,current
EV036-INC-P3T2-025,P3T2-N01,明确监控任务与账号权限边界,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N01主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-026,P3T2-N02,筛选当前告警并判断优先级,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N02主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-027,P3T2-N03,追溯历史告警与典型案例线索,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N03主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-028,P3T2-N04,创建或选择性能指标查询模板,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N04主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-029,P3T2-N05,查询指标并识别异常变化,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N05主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-030,P3T2-N06,结合日志形成监控结论与后续入口,AU-04,网管、监控与参数信息管理,maps_to,能力挂接,P3T2-N06主挂AU-04，用于能力统计、资源组织和评价归集。,P3-T2,AU-04,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,内部试拆,1,current
EV036-INC-P3T2-031,P3T2-N06,结合日志形成监控结论与后续入口,AU-05,问题定位与原因分析,maps_to,能力挂接,P3T2-N06按问题分流辅挂AU-05，用于连接原因分析能力。,P3-T2,AU-05,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-032,P3T2-N06,结合日志形成监控结论与后续入口,AU-09,性能提升与持续验证,maps_to,能力挂接,P3T2-N06按持续观察和复测需求辅挂AU-09。,P3-T2,AU-09,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
EV036-INC-P3T2-033,P3T2-N06,结合日志形成监控结论与后续入口,AU-10,信令分析与复杂问题复盘,maps_to,能力挂接,P3T2-N06按复杂问题分流辅挂AU-10。,P3-T2,AU-10,v036_increment,reports/P3-T2基于V0.3.6主数据补拆验证报告.md,待专业复核,4,current
