asset_id,asset_name,asset_type,source_or_output,governance_role,graph_binding,review_status,current_use,next_action,path
A-V0310-INC-P5T2-001,P5-T2基于V0.3.10主数据补拆验证实施计划,governance_plan,output,明确P5-T2补拆边界、候选节点、关系预案和门禁,P5-T2;P5T2-N01-P5T2-N09,internal_plan,作为P5-T2受控补拆执行依据,已接续生成补拆验证报告和增量样表,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2基于V0.3.10主数据补拆验证实施计划.md
A-V0310-INC-P5T2-002,P5-T2基于V0.3.10主数据补拆验证报告,verification_report,output,记录P5-T2补拆验证结果和边界,P5-T2;P5T2-N01-P5T2-N09,candidate_generated,作为P5-T2增量结构说明,进入结构校验和内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2基于V0.3.10主数据补拆验证报告.md
A-V0310-INC-P5T2-003,P5-T2详细能力节点主数据增量样表V0.3.10,node_increment_table,output,9个P5-T2详细能力节点候选增量,P5T2-N01-P5T2-N09,candidate_generated,作为节点增量候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2详细能力节点主数据增量样表V0.3.10.csv
A-V0310-INC-P5T2-004,P5-T2关系增量样表V0.3.10,edge_increment_table,output,P5-T2内部、P5-T1输入、P5-T3输出和能力挂接关系候选增量,P5-T1;P5-T2;P5-T3;AU-09,candidate_generated,作为关系增量候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2关系增量样表V0.3.10.csv
A-V0310-INC-P5T2-005,P5-T2资源活动评价挂接增量样表V0.3.10,binding_increment_table,output,P5-T2资源、活动、评价候选挂接,P5T2-N01-P5T2-N09,candidate_generated,作为挂接增量候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2资源活动评价挂接增量样表V0.3.10.csv
A-V0310-INC-P5T2-006,P5-T2输入输出物治理增量记录V0.3.10,asset_increment_table,output,P5-T2输入输出物治理记录,P5-T2,candidate_generated,作为资产治理候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2输入输出物治理增量记录V0.3.10.csv
A-V0310-INC-P5T2-007,P5-T2风险治理扩展增量样表V0.4,risk_increment_table,output,P5-T2专业、工程授权、媒体、数据安全和学生正文风险治理,P5-T2;P5T2-N01-P5T2-N09,candidate_generated,作为V0.4风险旁挂候选,结构校验,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2风险治理扩展增量样表V0.4.csv
A-V0310-INC-P5T2-008,P5-T2增量结构校验记录V0.3.10,structure_validation_report,output,记录P5-T2五张增量样表结构校验结果,P5-T2,planned_output,待生成结构校验记录,生成后进入内部评审,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2增量结构校验记录V0.3.10.md
A-V0310-INC-P5T2-009,P5-T2增量补拆内部评审报告V0.3.10,internal_review_report,output,评审P5-T2补拆质量、风险和后续是否短复核,P5-T2,planned_output,待生成内部评审报告,评审后决定是否短复核或修订,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/reports/P5-T2增量补拆内部评审报告V0.3.10.md
A-V0310-INC-P5T2-010,P5-T2原文片段,source_text,source,P5-T2补拆的教材原文依据,P5-T2;P5T2-N01-P5T2-N09,source_used,作为补拆和风险判断来源,正式教材使用前需学生正文转译和专业复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/extracted/textbook.md lines 8585-9293
A-V0310-INC-P5T2-011,image318 8维5步法全网性能提升方法图,media_asset,source,P5-T2原文媒体对象，需审查、重绘、标注或替换,P5-T2;P5T2-N02,pending_media_review,仅作为内部分析和教学化重绘来源,不得直接进入正式资源包，先完成媒体审查和专业复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image318.png
A-V0310-INC-P5T2-012,image319 接入类指标提升方案图,media_asset,source,P5-T2原文媒体对象，需审查、重绘、标注或替换,P5-T2;P5T2-N02,pending_media_review,仅作为内部分析和教学化重绘来源,不得直接进入正式资源包，先完成媒体审查和专业复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image319.png
A-V0310-INC-P5T2-013,image320 掉线优化流程图,media_asset,source,P5-T2原文媒体对象，需审查、重绘、标注或替换,P5-T2;P5T2-N03,pending_media_review,仅作为内部分析和教学化重绘来源,不得直接进入正式资源包，先完成媒体审查和专业复核,/Users/ny/Downloads/5G网络优化教材端到端生产演练_2026-06-22/assets/media/image320.png
